smiles,melting_point
C=O,-92
CNN,-52.4
C(=O)O,8.3
CCl,-97.6
CN,-93.4
C=CCl,-153.84
C1CO1,-111.7
CN(C)C,-117.08
CC1CO1,-112.13
CCC(=O)C,-86.67
CC(=O)C=C,-7
C=CC(=O)O,13.56
COC(=O)C=C,-75.6
C1=CC=C(C=C1)[N+](=O)[O-],5.7
CC1=CC=C(C=C1)[N+](=O)[O-],51.7
C1=CC=C(C=C1)CCl,-39.4
C=CC=O,-87.8
C=CCCl,-134.5
C=CC#N,-83.51
C(CN)N,8.5
C=CCO,-129
CC1=CC(=CC=C1)O,11.8
C1=CC=C(C=C1)O,40.91
CCCCN,-50
CCN(CC)CC,-114.7
CCOC(=O)C,-83.6
[C-]#N.[Na+],563
C1CN1,-71.5
CC1=C(C=C(C=C1)N=C=O)N=C=O,20.5
C=CC(=O)Cl,-42
[P-3].[P-3].[Zn+2].[Zn+2].[Zn+2],420
CCC(C)(OO)OOC(C)(CC)OO,82
CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,-60
[Na],97.82
FH,-83.57
OS(=O)(=O)O,10.31
[N+](=O)(O)[O-],-41.6
P(Cl)(Cl)Cl,-112
F,-219.67
ClCl,-101.5
[AsH3],-116
OS(=O)(=O)Cl,-80
O=P(Cl)(Cl)Cl,1.25
O=Cl[O],-59
B.B,-165
[N]=O,-163.6
C[N+](=O)[O-],-29
[NH4+].[N+](=O)([O-])[O-],170
C1N2CN3CN1CN(C2)C3,250
OO,0.43
[K+].[O-][Cl+2]([O-])[O-],368
[N+](=O)([O-])[O-].[K+],334
[O-]Cl(=O)(=O)=O.[K+],525
[O-]Cl(=O)=O.[Na+],248
[N+](=O)([O-])[O-].[Na+],308
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],-25
[GeH4],-165
B(F)(F)F,-127
C(=C(F)F)(F)F,-131.2
B(Cl)(Cl)Cl,-107.3
C(=C(F)F)(C(=C(F)F)F)F,-132
BrBr,-7.2
[SeH2],-65.73
CC(=C)C=C,-145.95
C=C(Cl)Cl,-96.93
C[Si](C)(C)O[Si](C)(C)C,-66
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Fe],-20.5
FBr(F)(F)(F)F,-60.5
O=S(Cl)Cl,-104.5
Cl[Ti](Cl)(Cl)Cl,-24.1
CCOC=C,-115.8
[SiH4],-185
[Si]#[Si],-133
[SiH2](Cl)Cl,-122
C[Si](Cl)Cl,-93
C[Si](Cl)(Cl)Cl,-90
C=C[Si](Cl)(Cl)Cl,-95
CC[Si](Cl)(Cl)Cl,-105.6
C[Si](C)(C)C,-99.06
[Si](Cl)(Cl)(Cl)Cl,-70
[C-]#[O+],-205.02
C(=O)=O,-56.558
N(=O)[O],-11.2
CO,-97.6
O=S=O,-75.48
Br,-86.8
[HH],-259.2
C=C,-169.2
CCC,-189.7
C,-182.566
C1=CC=CC=C1,6
CC1=CC=CC=C1,-94.9
C(=S)=S,-111.7
CCCC,-138.3
CCC,-187.6
C,-182.566
NN,1.54
[SiH](Cl)(Cl)Cl,-126.5
CC(C)OP(=O)(C)F,-57
CC(C(C)(C)C)OP(=O)(C)F,-42
CCOP(=O)(C#N)N(C)C,-50
C(CCl)SCCCl,14.4
C(CSCCCl)SCCCl,56
C(CSCCCl)OCCSCCCl,45
C(=C/[As](Cl)Cl)\Cl,0.1
CCN(CCCl)CCCl,-34
C(CCl)N(CCCl)CCCl,-4
C(=C(F)F)(C(F)(F)F)C(F)(F)F,-130
C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,164
C(=O)(Cl)Cl,-118
C(#N)Cl,-6.55
C#N,-13.28
C([N+](=O)[O-])(Cl)(Cl)Cl,-64
N,-77.73
P,-133.8
Cl,-114.22
S,-85.49
C1CCCCC1,6.47
COP(=O)(C)OC,-50
CC(=O)NC1=CC=C(C=C1)O,168
CC(=O)OC1=CC=CC=C1C(=O)O,135
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C.[Cl-].[Cl-],300
C(C(=O)O)NCP(=O)(O)O,189.5
