smiles,vapor density
C=O,1.04
CNN,1.6
C(=O)O,1.6
CCl,1.8
CN,1.07
C=CCl,2.2
C1CO1,1.49
CN(C)C,2
CC1CO1,2
CCC(=O)C,2.42
CC(=O)C=C,2.41
C=CC(=O)O,2.5
COC(=O)C=C,3
C1=CC=C(C=C1)[N+](=O)[O-],4.3
CC1=CC=C(C=C1)[N+](=O)[O-],4.72
C1=CC=C(C=C1)CCl,4.4
C=CC=O,1.94
C=CCCl,2.64
C=CC#N,1.83
C(CN)N,2.07
C=CCO,2
CC1=CC(=CC=C1)O,3.72
C1=CC=C(C=C1)O,3.24
CCCCN,2.52
CCN(CC)CC,3.49
CCOC(=O)C,3.04
[C-]#N.[Na+],1.7
C1CN1,1.48
CC1=C(C=C(C=C1)N=C=O)N=C=O,6
C=CC(=O)Cl,3.63
CCC(C)(OO)OOC(C)(CC)OO,2
F,0.7
OS(=O)(=O)O,3.4
[N+](=O)(O)[O-],2.2
P(Cl)(Cl)Cl,4.75
FF,1.695
ClCl,2.48
[AsH3],2.66
OS(=O)(=O)Cl,4.02
O=P(Cl)(Cl)Cl,5.3
O=Cl[O],2.3
B.B,0.96
[N]=O,1.04
C[N+](=O)[O-],2.11
C1N2CN3CN1CN(C2)C3,4.9
OO,1
[GeH4],2.65
B(F)(F)F,2.38
C(=C(F)F)(F)F,3.87
B(Cl)(Cl)Cl,4.03
BrBr,5.51
[SeH2],2.8
CC(=C)C=C,2.35
C=C(Cl)Cl,3.44
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Fe],6.74
FBr(F)(F)(F)F,6.1
O=S(Cl)Cl,4.1
Cl[Ti](Cl)(Cl)Cl,6.5
CCOC=C,2.5
[SiH4],1.3
C[Si](Cl)Cl,3.97
C[Si](Cl)(Cl)Cl,5.17
C=C[Si](Cl)(Cl)Cl,5.61
CC[Si](Cl)(Cl)Cl,5.6
[Si](Cl)(Cl)(Cl)Cl,5.9
[C-]#[O+],0.98
C(=O)=O,1.5
N(=O)[O],1.58
CO,1.11
O=S=O,2.25
Br,2.8
[HH],0.07
C=C,0.98
CCC,1.56
C,0.6
C1=CC=CC=C1,2.77
CC1=CC=CC=C1,3.1
C(=S)=S,2.67
CCCC,2.046
CCC,1.6
C,0.6
NN,1.1
[SiH](Cl)(Cl)Cl,4.67
CC(C)OP(=O)(C)F,4.86
CC(C(C)(C)C)OP(=O)(C)F,6.3
CCOP(=O)(C#N)N(C)C,5.63
CCSCCCl,4.27
C(CCl)SCCCl,5.5
C(=C/[As](Cl)Cl)\Cl,7.1
CCN(CCCl)CCCl,5.9
CN(CCCl)CCCl,5.9
C(CCl)N(CCCl)CCCl,7.1
C(=C(F)F)(C(F)(F)F)C(F)(F)F,6.3
C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,11.6
C(=O)(Cl)Cl,3.4
C(#N)Cl,1.98
C#N,0.932
C([N+](=O)[O-])(Cl)(Cl)Cl,5.7
P,1.17
Cl,1.268
S,1.189
C1CCCCC1,2.98
CC(=O)NC1=CC=C(C=C1)O,5.2
