smiles,vapor_pressure
C=O,3890
CNN,50
C(=O)O,42.6
CCl,4300
CN,2650
C=CCl,2980
CN(C)C,1610
CC1CO1,538
CCC(=O)C,90.6
CC(=O)C=C,83.9
C=CC(=O)O,3.97
COC(=O)C=C,86.6
C1=CC=C(C=C1)[N+](=O)[O-],0.3
C1=CC=C(C=C1)CCl,1.23
C=CC=O,274
C=CCCl,368
C=CC#N,109
C(CN)N,12.1
C=CCO,25.4
CC1=CC(=CC=C1)O,0.11
C1=CC=C(C=C1)O,0.3513
CCCCN,92.9
CCN(CC)CC,57.07
CCOC(=O)C,93.2
C1CN1,213
CC1=C(C=C(C=C1)N=C=O)N=C=O,0.023
C=CC(=O)Cl,93
FH,917
OS(=O)(=O)O,0.0000593
[N+](=O)(O)[O-],63.1
P(Cl)(Cl)Cl,120
ClCl,5830
OS(=O)(=O)Cl,1
C[N+](=O)[O-],35.8
C1N2CN3CN1CN(C2)C3,0.00061
OO,1.97
C(=C(F)F)(F)F,24500
BrBr,212
CC(=C)C=C,550
C=C(Cl)Cl,227
FBr(F)(F)(F)F,406
CCOC=C,515
C[Si](Cl)Cl,429
C[Si](Cl)(Cl)Cl,167
C=C[Si](Cl)(Cl)Cl,65.9
CC[Si](Cl)(Cl)Cl,47.2
C[Si](C)(C)C,718
[Si](Cl)(Cl)(Cl)Cl,236
C(=O)=O,48300
N(=O)[O],900
CO,127
Br,18410
C=C,52100
CCC,0.493
C,466000
C1=CC=CC=C1,94.8
CC1=CC=CC=C1,28.4
CCCC,1820
C,466000
NN,14.4
CC(C)OP(=O)(C)F,2.86
CC(C(C)(C)C)OP(=O)(C)F,0.41
CCOP(=O)(C#N)N(C)C,0.07
CCSCCCl,3.4
C(CCl)SCCCl,0.11
C(CSCCCl)SCCCl,0.0000035
C(CSCCCl)OCCSCCCl,0.000003
C(=C/[As](Cl)Cl)\Cl,0.58
CCN(CCCl)CCCl,0.25
CN(CCCl)CCCl,0.17
C(CCl)N(CCCl)CCCl,0.011
C(=C(F)F)(C(F)(F)F)C(F)(F)F,1740
C(=O)(Cl)Cl,1420
C(#N)Cl,1230
C#N,742
C([N+](=O)[O-])(Cl)(Cl)Cl,24
P,29300
Cl,35424
C1CCCCC1,96.9
COP(=O)(C)OC,0.962
CC(=O)NC1=CC=C(C=C1)O,0.0000629
CC(=O)OC1=CC=CC=C1C(=O)O,0.0000252
C(C(=O)O)NCP(=O)(O)O,0.000000098
