smiles,solubility
Clc1cccc(c1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,-8.4200001
CCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],-8.414355099
CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCC)CCC.[Cl-],-8.414355099
C=CCN(CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F)CC=C,-8.411013505
FC(c1cccc(c1)C(n1cncn1)(c1ccccc1)c1ccccc1)(F)F,-8.3999996
N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H]1[C@H](C1(C)C)C=C(Br)Br,-8.3999996
CCCCCCCCCCCCCCCC,-8.3999996
Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)(O)c1ccc(c(c1)C(F)(F)F)Cl,-8.385256623
CCOC(=O)CCCCCCCCC(c1ccc(cc1)I)C,-8.376413208
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)C=C(C(=O)c2c(c3C)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,-8.374113388
[O-]C(=O)C(=O)[O-].Clc1cccc(c1)C1(CC[NH+](CC1)C(CCC(=O)c1ccccc1)F)C(=O)[NH+]1CCCC1,-8.372515236
CO[C@H]([C@@H]([C@H]1O[C@@]2(CC[C@@](O2)(C)[C@H]2CC[C@@](O2)(CC)[C@@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@@](O)(CO)[C@@H](C[C@@H]2C)C)C[C@@H]([C@H]1C)O)C)[C@@H](C(=O)O)C,-8.349524225
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.3299999
Clc1cc(Cl)c(cc1c1ccc(c(c1Cl)Cl)Cl)Cl,-8.3199997
Clc1c(Cl)cc(c(c1Cl)c1ccc(c(c1Cl)Cl)Cl)Cl,-8.3000002
CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](C(C)C)C(C)C.[Cl-],-8.287333411
Clc1ccc(nc1)OCCCCCNCCSSCCNCCCCCOc1ccc(cn1)Cl.Cl.Cl,-8.28220656
c1ccc2c(c1)c1cc3ccccc3c3c1c2ccc3,-8.2299995
Clc1ccc(c(c1)Cl)Cc1cc(ccc1O)C(CC(C)(C)C)(C)C,-8.224437629
CC[N+](C1c2ccccc2c2c1cccc2)(CCCCCCCCCC[N+](C1c2ccccc2c2c1cccc2)(CC)CC)CC.[Br-].[Br-],-8.198091315
CC(Nc1ccnc2c1ccc(c2)Cl)CN1CCN(CC1)CC(Nc1ccnc2c1ccc(c2)Cl)C,-8.19387684
c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3,-8.1899996
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@H]([C@@]2([C@]1(C)CC[C@@H](C2)OC(=O)CCC(=O)O)O)OC(=O)C)C)C,-8.180970934
N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H]1[C@H](C1(C)C)/C=C(/C(F)(F)F)\Cl,-8.1800003
N(CC1CCC(CC1)CNCCC1CCCCC1)CCC1CCCCC1.Cl.Cl,-8.178152151
C1CCCCCC(C1)NCC1CCC(CC1)CNC1CCCCCCC1.Cl.Cl,-8.178152151
CCCCCCCCCCCCCCCCCCCC,-8.1700001
CC(CC(C)(C)C)(NCC1CCC(CC1)CNC(CC(C)(C)C)(C)C)C.Cl.Cl,-8.144741192
C1CCC(CC1)CCNCC1CCC(=CC1)CNCCC1CCCCC1.CC(=O)O.CC(=O)O,-8.135362184
Clc1ccc2c(c1)/C(=C/CCN1CCCCC1)/c1c(S2)cccc1,-8.133055994
CCCCCCCCC=C([NH2+]Cc1ccccc1Cl)[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-8.118242683
CC[NH+](CCOC(=O)C(c1ccc2c(c1)cccc2)c1ccc2c(c1)cccc2)CC.[Cl-],-8.101052559
O=C1N(c2ccccc2)N(C(=O)C1C1(C2C(=O)N(N(C2=O)c2ccccc2)c2ccccc2)C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)c1ccccc1,-8.063091116
BrCCN(c1ccc(cc1)OC(=O)c1ccccc1C(C)C)CCBr,-8.040945873
CC[C@@]12CN3CCc4c([C@@](C[C@@H]([C@H]2O1)C3)(C(=O)OC)c1cc2c(cc1OC)N([C@@H]1[C@@]32CCN2[C@H]3[C@@](CC)(C=CC2)[C@H]([C@]1(O)C(=O)OC)OC(=O)C)C)[nH]c1c4cccc1,-8.029412242
COc1ccc(cc1)CCCC[NH2+]CCSSCC[NH2+]CCCCc1ccc(cc1)OC.[Cl-].[Cl-],-8.021587696
N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H]1[C@H](C1(C)C)C=C(Cl)Cl,-8.0200005
CCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)O)cccc2,-8.019623727
N#CC(c1cccc2c1cccc2)(C(C)C)CC[NH+](CC=C(C)C)CC=C(C)C.[Cl-],-8.012497131
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,-8.0100002
c1ccc2c(c1)ccc1c2c2cccc3c2c1ccc3,-8
N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H](C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,-8
CCC1=C[C@@H]2CN(C1)Cc1c3ccccc3[nH]c1[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N([C@@H]1[C@@]32CCN2[C@H]3[C@@](CC)(C=CC2)[C@H]([C@]1(O)C(=O)OC)OC(=O)C)C,-7.968782462
CCCCCCCCCCCCCC,-7.96
CC[NH+](CCCCCCCCCCCC1(c2ccccc2)C(=O)Oc2c1cccc2)CC.[Cl-],-7.946501933
Cc1ccc2c3c1CCc3c1c(c2)c2ccccc2cc1,-7.9200001
Clc1c(c2ccccc2)c(Cl)c(c(c1Cl)Cl)Cl,-7.9200001
Clc1cc(Cl)c(cc1c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl,-7.9200001
Cc1ccc2c(c1)ccc1c2cc2cccc3c2c1CC3,-7.9200001
Clc1ccc(c(c1)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,-7.9200001
Clc1ccc(c(c1)c1ccc(c(c1Cl)Cl)Cl)Cl,-7.9099998
CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(C)C.[Cl-],-7.903704189
CCCCCCCCCCCCCC(=O)OCCCN1CCCCC1C,-7.903584094
FC(c1ccccc1C[NH2+]CC12CCC(CC1)(CC2)C[NH2+]Cc1ccccc1C(F)(F)F)(F)F.[Cl-].[Cl-],-7.901725612
CN(CCC=C1c2cc(Br)ccc2Sc2c1cc(Br)cc2)C.Cl,-7.901328682
Brc1ccccc1CNCC1CCC(CC1)CNCc1ccccc1Br.Cl.Cl,-7.899652518
Brc1ccc(cc1)CNCC1CCC(CC1)CNCc1ccc(cc1)Br.Cl.Cl,-7.899652518
Brc1cc(Br)c(c(c1)c1cc(Br)cc(c1O)Br)OP(=O)(O)O,-7.895697951
Brc1cc(O)c(c(c1)Br)c1c(Br)cc(cc1OP(=O)(O)O)Br,-7.89552185
CCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],-7.894071769
Clc1ccc(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,-7.8899999
C[NH+](CCOC(C1c2ccccc2c2c1cccc2)C1c2ccccc2c2c1cccc2)C.[Cl-],-7.884950343
CCN(CCN1c2ccccc2Sc2c1cc(cc2)C(C)(C)C)CC.Cl,-7.874521815
