smiles,logvp
C=O,8.266164437
CNN,3.912023005
C(=O)O,3.751854253
CCl,8.366370302
CN,7.882314919
C=CCl,7.999678579
CN(C)C,7.383989458
CC1CO1,6.28785856
CCC(=O)C,4.506454213
CC(=O)C=C,4.429625613
C=CC(=O)O,1.378766095
COC(=O)C=C,4.461299816
C1=CC=C(C=C1)[N+](=O)[O-],-1.203972804
C1=CC=C(C=C1)CCl,0.207014169
C=CC=O,5.613128106
C=CCCl,5.908082938
C=CC#N,4.691347882
C(CN)N,2.493205453
C=CCO,3.234749174
CC1=CC(=CC=C1)O,-2.207274913
C1=CC=C(C=C1)O,-1.04611472
CCCCN,4.531523646
CCN(CC)CC,4.044278585
CCOC(=O)C,4.534747722
C1CN1,5.361292166
CC1=C(C=C(C=C1)N=C=O)N=C=O,-3.772261063
C=CC(=O)Cl,4.532599493
FH,6.821107472
OS(=O)(=O)O,-9.732901252
[N+](=O)(O)[O-],4.14472077
P(Cl)(Cl)Cl,4.787491743
ClCl,8.670772279
OS(=O)(=O)Cl,0
C[N+](=O)[O-],3.577947893
C1N2CN3CN1CN(C2)C3,-7.402051601
OO,0.678033543
C(=C(F)F)(F)F,10.1064284
BrBr,5.356586275
CC(=C)C=C,6.309918278
C=C(Cl)Cl,5.424950017
FBr(F)(F)(F)F,6.00635316
CCOC=C,6.244166901
C[Si](Cl)Cl,6.061456919
C[Si](Cl)(Cl)Cl,5.117993812
C=C[Si](Cl)(Cl)Cl,4.188138442
CC[Si](Cl)(Cl)Cl,3.854393893
C[Si](C)(C)C,6.576469569
[Si](Cl)(Cl)(Cl)Cl,5.463831805
C(=O)=O,10.78518684
N(=O)[O],6.802394763
CO,4.844187086
Br,9.820649274
C=C,10.86092023
CCC,-0.707246105
C,13.05194091
C1=CC=CC=C1,4.551769409
CC1=CC=CC=C1,3.346389145
CCCC,7.50659178
NN,2.667228207
CC(C)OP(=O)(C)F,1.050821625
CC(C(C)(C)C)OP(=O)(C)F,-0.891598119
CCOP(=O)(C#N)N(C)C,-2.659260037
CCSCCCl,1.223775432
C(CCl)SCCCl,-2.207274913
C(CSCCCl)SCCCl,-12.56274759
C(CSCCCl)OCCSCCCl,-12.71689827
C(=C/[As](Cl)Cl)\Cl,-0.544727175
CCN(CCCl)CCCl,-1.386294361
CN(CCCl)CCCl,-1.771956842
C(CCl)N(CCCl)CCCl,-4.509860006
C(=C(F)F)(C(F)(F)F)C(F)(F)F,7.461640392
C(=O)(Cl)Cl,7.258412151
C(#N)Cl,7.114769448
C#N,6.609349243
C([N+](=O)[O-])(Cl)(Cl)Cl,3.17805383
P,10.2853428
Cl,10.47514484
C1CCCCC1,4.573679519
COP(=O)(C)OC,-0.038740828
CC(=O)NC1=CC=C(C=C1)O,-9.673964394
CC(=O)OC1=CC=CC=C1C(=O)O,-10.58866656
C(C(=O)O)NCP(=O)(O)O,-16.13829836
