dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,100,L1Loss(),"[1.4881497266557482, 1.3671615939670139, 1.2672440497080486, 1.4355417887369792, 1.4568929126084114]"
esol,300,5,100,L1Loss(),"[1.1409479882982043, 0.9913625081380208, 0.9145362981160482, 1.1641382371054756, 1.1264819237629222]"
esol,300,5,100,L1Loss(),"[0.654888096915351, 0.6292525842454698, 0.6847648090786405, 0.7458215173085531, 0.6396236220120334]"
esol,300,5,100,L1Loss(),"[0.652837036980523, 0.5888636059231228, 0.6805456882052952, 0.7481356604894003, 0.6656305191275307]"
esol,300,5,100,L1Loss(),"[0.5809993216726514, 0.5863585657543606, 0.5419943523406983, 0.5972449064254761, 0.5759828447770442]"
esol,300,5,100,L1Loss(),"[0.5980978253152636, 0.5862002660168542, 0.48465779463450115, 0.5396157422330644, 0.5443828057350041]"
esol,300,5,100,L1Loss(),"[0.5603776706589593, 0.5382424465815226, 0.4885909080505371, 0.5428450028101603, 0.5206918747939727]"
esol,300,5,100,L1Loss(),"[0.5344316832224528, 0.5253570144706302, 0.517148093647427, 0.48690072298049925, 0.5171655889124597]"
esol,300,5,100,L1Loss(),"[0.48179148117701215, 0.5047896820969052, 0.4747576438056098, 0.5107172478569878, 0.5060990056277371]"
esol,300,5,100,L1Loss(),"[0.4766967549588945, 0.49180890685982176, 0.4575082439846463, 0.4697527241706848, 0.5008822978855755]"
esol,300,5,100,L1Loss(),"[0.6513181145985921, 0.6614085960388184, 0.5773886320326064, 0.6170279166433547, 0.5939529929392138]"
esol,300,5,100,L1Loss(),"[0.5855811757511563, 0.6348625527487861, 0.5422360208299425, 0.5725456648402744, 0.5613989157823739]"
esol,300,5,100,L1Loss(),"[0.5513462858729893, 0.511882996029324, 0.4733144855499268, 0.47950473335054183, 0.5158467090602489]"
esol,300,5,100,L1Loss(),"[0.5315425279405382, 0.5129687407281663, 0.5047894827524821, 0.4835549134678311, 0.529433012533818]"
esol,300,5,100,L1Loss(),"[0.5612509102291531, 0.47723094125588733, 0.4757902299033271, 0.5112944465213352, 0.48404972301180665]"
esol,300,5,100,L1Loss(),"[0.4650336315896776, 0.4330293791823917, 0.46750406689114044, 0.4619723497496711, 0.4395814745436681]"
