dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,100,MSELoss(),"[6.962656696950357, 7.425777164969857, 4.871581250288355, 6.658351327490619, 4.60243169769986]"
freesolv,300,5,100,MSELoss(),"[6.191213772991511, 4.7889779158464565, 3.919316749873124, 6.319493091012549, 3.482653596019017]"
freesolv,300,5,100,MSELoss(),"[5.2431913360835996, 5.260970829040047, 4.217202734759473, 5.362135158749077, 3.45912181694089]"
freesolv,300,5,100,MSELoss(),"[6.292416429895115, 4.346340629998155, 3.679638359490342, 5.251160809374231, 2.8653227063535733]"
freesolv,300,5,100,MSELoss(),"[2.7491550896111434, 3.9185079739788384, 3.78483341247078, 3.61019104484498, 3.4919006687994223]"
freesolv,300,5,100,MSELoss(),"[1.2153164270355945, 2.045844040517732, 1.8088318832277313, 2.5925599346010704, 1.5006552154326256]"
freesolv,300,5,100,MSELoss(),"[1.2383425554891272, 1.7492449602742834, 1.9514069444551243, 1.3126190365768793, 1.6115914014459567]"
freesolv,300,5,100,MSELoss(),"[1.0181234840332993, 1.6850220988115927, 1.6936731713963307, 1.2718754265252061, 1.546651171363947]"
freesolv,300,5,100,MSELoss(),"[0.841383138040858, 1.2563854127418337, 1.82161190002922, 1.008746905589667, 1.5479319941906529]"
freesolv,300,5,100,MSELoss(),"[0.994454503998043, 1.1450903284268117, 1.2412830412857176, 0.9268847488042876, 1.2073240134552234]"
freesolv,300,5,100,MSELoss(),"[3.1429005119744247, 2.9159968518835355, 3.4405495951494833, 2.9529183455339565, 3.1502332414379555]"
freesolv,300,5,100,MSELoss(),"[0.9289923915712852, 2.047512204628291, 1.48559816615788, 1.3368246724286417, 1.7975780332588966]"
freesolv,300,5,100,MSELoss(),"[0.8801806667658287, 1.4930743119848056, 1.421265789842981, 1.1395920730951263, 1.3051095071838785]"
freesolv,300,5,100,MSELoss(),"[0.854796875180222, 1.2632760250662256, 1.1423220897284079, 0.9522529211569959, 1.4103060095137312]"
freesolv,300,5,100,MSELoss(),"[1.147511602386715, 1.0993064069372462, 1.8550794706569882, 1.0688119197454977, 0.8506086656169696]"
freesolv,300,5,100,MSELoss(),"[1.108848496684878, 1.2478561251182256, 1.1177537122110681, 0.9249781210591473, 1.6635486775909671]"
