dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,100,L1Loss(),"[0.7533590454525417, 0.8487564044528537, 0.7209368620978461, 0.8839770115746393, 0.7615656642661746]"
esol,300,5,100,L1Loss(),"[0.7599289883507623, 0.7267674785190158, 0.6898248714870877, 0.7234816869099935, 0.7408975924689339]"
esol,300,5,100,L1Loss(),"[0.5477960968017578, 0.606607174343533, 0.5575404442681207, 0.5835724745856391, 0.6731038387651486]"
esol,300,5,100,L1Loss(),"[0.5638994026184082, 0.5139468945397271, 0.5467997868855794, 0.5424372302161322, 0.5941267769767324]"
esol,300,5,100,L1Loss(),"[0.5555247969097561, 0.49624362627665203, 0.4836563014984131, 0.4967384758260515, 0.4804923072260382]"
esol,300,5,100,L1Loss(),"[0.4299747594197591, 0.4590386454264323, 0.4680681027306451, 0.43184311111768087, 0.4682144173441479]"
esol,300,5,100,L1Loss(),"[0.47524698045518665, 0.5340747239192327, 0.46034312460157606, 0.47308058460553487, 0.45226139749199284]"
esol,300,5,100,L1Loss(),"[0.44987459633085464, 0.46215897772047254, 0.4545024188359578, 0.429649825029903, 0.4675705579934141]"
esol,300,5,100,L1Loss(),"[0.44542818731731837, 0.4459506171279483, 0.450717953575982, 0.4827776877085368, 0.491992103895952]"
esol,300,5,100,L1Loss(),"[0.4816585658656226, 0.4745160228676266, 0.45851988474527994, 0.47272888898849486, 0.5001426562338673]"
esol,300,5,100,L1Loss(),"[0.500572705798679, 0.5407717928621504, 0.5062903594970704, 0.5585592345396677, 0.4604592165757906]"
esol,300,5,100,L1Loss(),"[0.6836595955159929, 0.5351115916834938, 0.5974612220128377, 0.529025386704339, 0.4967353971519134]"
esol,300,5,100,L1Loss(),"[0.5016313513782289, 0.45813688344425624, 0.48170191711849636, 0.480339093208313, 0.45209622015511935]"
esol,300,5,100,L1Loss(),"[0.9479372821251552, 0.9565629184246063, 0.8763565964168972, 0.7562173530790541, 1.2646413584637748]"
esol,300,5,100,L1Loss(),"[0.619868471092648, 0.6194172551896837, 0.751902470058865, 0.7150180317295922, 0.6263834395597685]"
esol,300,5,100,L1Loss(),"[0.47012994501325817, 0.47614528470569184, 0.4886804495917426, 0.46209616985585955, 0.4219907719133184]"
