dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,100,L1Loss(),"[2.404448089108973, 2.6085352404364226, 3.2478602660026437, 1.8257483982504439, 2.309625820850763]"
scgas,300,5,100,L1Loss(),"[1.511118267654279, 1.5311298368813155, 1.8541786098371729, 1.75551761810436, 1.4660174051920574]"
scgas,300,5,100,L1Loss(),"[1.113782445225147, 0.8862975266846743, 1.0472523599218861, 1.1968086609153248, 1.1631696532372715]"
scgas,300,5,100,L1Loss(),"[0.9070655752759461, 0.8661656990066752, 1.0212661040114055, 1.0946544997036196, 1.0449680016965281]"
scgas,300,5,100,L1Loss(),"[1.0730502627311496, 0.8597438183697788, 1.0186698965651997, 1.2131035150919418, 1.0065450343955942]"
scgas,300,5,100,L1Loss(),"[0.7801115753453806, 0.7076145551421426, 0.9166753788450065, 0.909965548452852, 0.7936487068124369]"
scgas,300,5,100,L1Loss(),"[0.697890080443216, 0.7294703516093167, 0.8647777418498971, 0.9066578561041553, 0.7608648092568326]"
scgas,300,5,100,L1Loss(),"[0.7111598373553075, 0.6582520708248213, 0.7310733513078049, 0.9045893906505867, 0.717907308721218]"
scgas,300,5,100,L1Loss(),"[0.6269782180086189, 0.5786194297013345, 0.6557627906842715, 0.6756633108880322, 0.6093945860051785]"
scgas,300,5,100,L1Loss(),"[0.6139096951265948, 0.580228981840146, 0.6481529274898178, 0.7084319935094842, 0.6045069921584356]"
scgas,300,5,100,L1Loss(),"[1.0180166401994337, 0.8531954025486848, 1.0721620509784513, 1.2043571305587302, 1.0482180718661978]"
scgas,300,5,100,L1Loss(),"[0.8861766430216098, 0.7492524617678159, 1.1318014923894228, 0.9511076414949509, 0.7868127109242135]"
scgas,300,5,100,L1Loss(),"[0.7187936415366076, 0.7339882307238393, 1.0663271134759515, 0.8181679738140523, 0.6266295569283622]"
scgas,300,5,100,L1Loss(),"[0.6306746246617868, 0.64184421022217, 1.1865533778827482, 0.7045478654220114, 0.5677912900236999]"
scgas,300,5,100,L1Loss(),"[0.7324975914911392, 0.8235512070841603, 0.8324182898789407, 0.6561106052981714, 0.5189854368871573]"
scgas,300,5,100,L1Loss(),"[0.6276898515333823, 0.8057564819013917, 0.7796027646807951, 0.6595323387712371, 0.48530947756605086]"
