dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,300,L1Loss(),"[1.8765865836556501, 1.6053849167711154, 1.9537419596994956, 1.8185695437934455, 1.8014355761404255]"
freesolv,300,5,300,L1Loss(),"[1.6685354878583292, 1.2199514944722334, 1.4919829180860145, 1.351882634200449, 1.445484514454849]"
freesolv,300,5,300,L1Loss(),"[1.745722733144685, 1.5890571714386226, 1.6533181798739696, 1.7503265621155266, 1.6475189660341685]"
freesolv,300,5,300,L1Loss(),"[1.6608380295160248, 1.2399392916461613, 1.4217520886518824, 1.4665502112681472, 1.5329293039918857]"
freesolv,300,5,300,L1Loss(),"[1.565343991977962, 1.636362331120048, 1.6052831514613835, 1.4505596611443468, 1.397759412081187]"
freesolv,300,5,300,L1Loss(),"[0.9843341947540524, 1.022920188002699, 0.8629142280638687, 0.7752589879073496, 0.9268887197698346]"
freesolv,300,5,300,L1Loss(),"[0.9591747644379383, 0.9623399869663509, 0.8285531171663539, 0.8998696184533788, 1.034913663645737]"
freesolv,300,5,300,L1Loss(),"[0.9392121833140455, 0.9039124466302827, 0.7532596738319698, 0.8634090723953848, 0.9285087585449219]"
freesolv,300,5,300,L1Loss(),"[0.7851721996397484, 0.842680397934801, 0.583287982490119, 0.7723438983827126, 0.827701342014866]"
freesolv,300,5,300,L1Loss(),"[0.6800264073169138, 0.751337531983383, 0.4935562704491803, 0.6916421004167692, 0.6359756484286476]"
freesolv,300,5,300,L1Loss(),"[1.3041445514348549, 1.3316942650502122, 1.3184885941152498, 1.276200001634012, 1.221435583274783]"
freesolv,300,5,300,L1Loss(),"[0.7860475675327572, 0.9412950981320358, 0.7456268701027697, 0.6701242341769962, 0.8012265838284529]"
freesolv,300,5,300,L1Loss(),"[0.8465932710902897, 0.7977998388095164, 0.6828200723242572, 0.8009132325179934, 0.7483438089603686]"
freesolv,300,5,300,L1Loss(),"[0.7275502212404266, 0.7802730620376707, 0.5726565188310277, 0.6719457521213321, 0.7132458234106311]"
freesolv,300,5,300,L1Loss(),"[0.6704669561911756, 0.6722733655313807, 0.601887657886415, 0.6479190916526975, 0.635545898939817]"
freesolv,300,5,300,L1Loss(),"[0.6528358159102793, 0.5604793894009328, 0.5553216258371909, 0.6305114866241696, 0.5571341414487999]"
