dataset,epochs,num-folds,SEED,criterion,test_losses
esol,1,5,100,MSELoss(),"[27.922223065350508, 17.54481636209691, 12.400798525129046, 9.72816558349254, 16.70699931299964]"
esol,1,5,100,MSELoss(),"[10.838394969309057, 29.74538140547903, 17.881826227361504, 17.02706417794955, 14.150369606766047]"
esol,1,5,100,MSELoss(),"[8.349913891726672, 24.82887790077611, 14.01679590398615, 13.771160190388308, 10.595680049821443]"
esol,1,5,100,MSELoss(),"[10.317147496504106, 25.957836485745613, 14.48520341352983, 14.645654452049126, 12.31023229337206]"
esol,1,5,100,MSELoss(),"[8.354775893740563, 24.25631472938939, 13.802642267400568, 13.145935705152608, 10.752923516666188]"
esol,1,5,100,MSELoss(),"[8.183017780979766, 23.4947544566372, 13.565386893532493, 12.51335919913599, 10.101869153041466]"
esol,1,5,100,MSELoss(),"[9.916884258934903, 25.666033828467654, 15.133808760209517, 14.778492038532839, 12.783725626328412]"
esol,1,5,100,MSELoss(),"[11.040026775041751, 26.32118787263569, 15.264962491122159, 17.171148267842955, 12.877432954077626]"
esol,1,5,100,MSELoss(),"[9.618244377795286, 25.657287865354302, 14.78778076171875, 15.153195138704978, 11.994407990399528]"
esol,1,5,100,MSELoss(),"[9.456480570802926, 25.494077983655426, 11.187411221590908, 11.817436994132349, 9.546581417906518]"
esol,1,5,100,MSELoss(),"[11.5441844711192, 27.19384123149671, 18.065734308416193, 17.51484188791049, 15.14669444514256]"
esol,1,5,100,MSELoss(),"[8.673679759526847, 11.782529730545846, 11.740202747691761, 11.286060009972523, 9.52545960744222]"
esol,1,5,100,MSELoss(),"[8.831008933473646, 10.469652410139117, 11.329078188809481, 10.3136882458703, 9.08508902905034]"
esol,1,5,100,MSELoss(),"[8.899224880324624, 16.71872189170436, 12.091506264426492, 12.929876424498477, 9.094850577560125]"
esol,1,5,100,MSELoss(),"[8.51586668313335, 5.357003195243969, 7.285284389149059, 8.092142654677568, 5.109386612387264]"
esol,1,5,100,MSELoss(),"[9.052282665693918, 5.997446428265488, 6.621223865855824, 6.56641607769465, 5.604802262549307]"
