dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,200,MSELoss(),"[1.1143427676841862, 7.216889901403297, 2.4042811805221636, 2.537227999779486, 1.3716886043548584]"
esol,300,5,200,MSELoss(),"[1.4477587961683087, 8.926973434916714, 2.3701986630757648, 1.2240463307029323, 1.056452112986629]"
esol,300,5,200,MSELoss(),"[0.9480570811851352, 1.5839279409040485, 0.6323400179545084, 0.7493385013781095, 0.701093830560383]"
esol,300,5,200,MSELoss(),"[0.7282496649844974, 1.2843353706493712, 0.609712012608846, 0.7294654532482749, 0.8115920832282618]"
esol,300,5,200,MSELoss(),"[0.6395201347037858, 3.4938827627583553, 0.7430070612165663, 0.6534271428459569, 0.5063750304673847]"
esol,300,5,200,MSELoss(),"[0.5103995347139882, 1.4674269191005773, 0.544341837035285, 0.4933239786248458, 0.5950038390500205]"
esol,300,5,200,MSELoss(),"[0.653015439416848, 1.0829633788058632, 0.7285533375210232, 0.581910999197709, 1.042285406499877]"
esol,300,5,200,MSELoss(),"[0.6890143413169711, 1.273651079127663, 0.562554923693339, 0.6246906832644814, 0.5937325284445196]"
esol,300,5,200,MSELoss(),"[0.5344183106048435, 1.6941277562526234, 0.5306340667936537, 0.5386676160912764, 0.6631365129374024]"
esol,300,5,200,MSELoss(),"[0.5707432732862585, 4.460801258421781, 0.7600417878892687, 0.6881319221697355, 1.0310413031873846]"
esol,300,5,200,MSELoss(),"[0.73502264770807, 1.3021199786872195, 0.8517211702134874, 0.6455003776048359, 1.0407095517879141]"
esol,300,5,200,MSELoss(),"[0.9262042840321859, 0.9645390719698187, 0.7508333206176758, 0.6478274245011179, 0.7135593991978724]"
esol,300,5,200,MSELoss(),"[0.6788821068464541, 1.054420270417866, 0.9591487911012437, 0.7724401699869257, 0.6399322677599756]"
esol,300,5,200,MSELoss(),"[0.6908452569269666, 1.215788579823678, 0.9762360625796848, 0.6744838639309532, 0.7707134971493169]"
esol,300,5,200,MSELoss(),"[0.6669831638242684, 0.8881813141337612, 0.8474617905086941, 0.6721204582013582, 0.8789750156097842]"
esol,300,5,200,MSELoss(),"[0.46015825341729555, 0.7322704959333989, 0.5827886846330431, 0.7029792007647062, 0.5441981335835797]"
