dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,1,5,100,L1Loss(),"[5.999255241231715, 6.381853103637695, 5.895676633144947, 4.594710344587053, 3.0343464978168466]"
freesolv,1,5,100,L1Loss(),"[5.269354471346227, 7.512918853759766, 4.720324720655169, 3.6515804963953356, 4.979302905854725]"
freesolv,1,5,100,L1Loss(),"[4.608730409203506, 6.814091491699219, 4.216957296643939, 3.3674426359288834, 4.5319061279296875]"
freesolv,1,5,100,L1Loss(),"[4.976518584460747, 6.930399322509766, 4.384133942273198, 3.60122730030733, 4.375147864932106]"
freesolv,1,5,100,L1Loss(),"[4.413609202315167, 6.5099029541015625, 4.072615827832903, 3.317052998262293, 4.238425481887091]"
freesolv,1,5,100,L1Loss(),"[4.700596507002667, 6.873036193847656, 4.2618876476677094, 3.452645066205193, 4.528678530738468]"
freesolv,1,5,100,L1Loss(),"[4.987377631955031, 7.144216156005859, 4.4751522589703, 3.486654483570772, 4.691764104933966]"
freesolv,1,5,100,L1Loss(),"[4.864309171350991, 6.910328674316406, 4.463122873890157, 3.4312784980325137, 4.646796453566778]"
freesolv,1,5,100,L1Loss(),"[4.837086747332317, 6.960357666015625, 4.300749837135782, 3.3546779856962314, 4.533623468308222]"
freesolv,1,5,100,L1Loss(),"[4.941416670636433, 6.955369567871093, 4.4946982714594625, 3.5000981499167048, 4.701028369721913]"
freesolv,1,5,100,L1Loss(),"[5.234078011861661, 7.44881591796875, 4.644266401018415, 3.5824132133932673, 4.90008544921875]"
freesolv,1,5,100,L1Loss(),"[5.4141056712080795, 7.670388031005859, 4.873621025863959, 3.7520594428567327, 5.104901268368676]"
freesolv,1,5,100,L1Loss(),"[5.12088310427782, 7.295095825195313, 4.566792565949109, 3.535379207835478, 4.786481221516927]"
freesolv,1,5,100,L1Loss(),"[5.1074985411109, 7.305615997314453, 4.5405449575307415, 3.541899019129136, 4.7397206624348955]"
freesolv,1,5,100,L1Loss(),"[5.069202330054306, 7.15478515625, 4.574385633274001, 3.545333682789522, 4.66458493187314]"
freesolv,1,5,100,L1Loss(),"[5.184030672399009, 7.334687042236328, 4.660297306216493, 3.614418658088235, 4.699645269484747]"
