dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,1,5,300,MSELoss(),"[24.77099609375, 84.91315205891927, 26.745836046006943, 52.34270685369318, 17.004839114866396]"
freesolv,1,5,300,MSELoss(),"[55.42911258820565, 24.30600929260254, 45.64890052532328, 109.65414663461539, 24.743151081607873]"
freesolv,1,5,300,MSELoss(),"[52.746645035282256, 22.274080276489258, 42.71608970905172, 105.25767164963942, 22.796876622611517]"
freesolv,1,5,300,MSELoss(),"[53.828629032258064, 23.427289962768555, 44.917497306034484, 109.19371619591347, 24.785032182627173]"
freesolv,1,5,300,MSELoss(),"[56.00059853830645, 24.102092742919922, 44.961686759159484, 108.59237905649039, 24.359423927978018]"
freesolv,1,5,300,MSELoss(),"[52.67505670362903, 23.663745880126953, 43.45545275457974, 105.5438701923077, 23.820701427498722]"
freesolv,1,5,300,MSELoss(),"[59.53758978074597, 25.565200805664062, 47.08608903556034, 110.74107947716347, 25.964728045317294]"
freesolv,1,5,300,MSELoss(),"[54.260316910282256, 23.291522979736328, 43.909255455280174, 114.69959435096153, 24.020265419302785]"
freesolv,1,5,300,MSELoss(),"[50.779643397177416, 20.79765510559082, 39.84914634967672, 103.1519305889423, 21.426967628650626]"
freesolv,1,5,300,MSELoss(),"[52.25104744203629, 22.79364776611328, 43.75375892376078, 109.29368239182692, 23.378349819066333]"
freesolv,1,5,300,MSELoss(),"[47.805238785282256, 21.01535415649414, 39.174640523976294, 97.1786639873798, 20.98423582985845]"
freesolv,1,5,300,MSELoss(),"[52.64397208921371, 24.658660888671875, 44.571002828663794, 104.9414813701923, 24.520378253211273]"
freesolv,1,5,300,MSELoss(),"[46.362485824092744, 21.657678604125977, 40.13138133081897, 104.58571213942308, 22.225972743122124]"
freesolv,1,5,300,MSELoss(),"[51.01398689516129, 23.648082733154297, 40.38061944369612, 102.49712665264423, 24.39364630264251]"
freesolv,1,5,300,MSELoss(),"[40.60083401587702, 21.56660270690918, 39.04131869612069, 88.75918344350961, 22.772803433346116]"
freesolv,1,5,300,MSELoss(),"[43.99158108618952, 20.39013671875, 40.29857556573276, 87.69744403545673, 22.96145361527831]"
