dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,100,MSELoss(),"[17.71340617727726, 5.38934326171875, 25.18796003625748, 7.973119419642857, 19.91834863210689]"
freesolv,300,5,100,MSELoss(),"[4.7697627369950455, 6.491545867919922, 5.107424697097467, 13.605740401324104, 14.707965578351702]"
freesolv,300,5,100,MSELoss(),"[2.733061208957579, 7.326039123535156, 5.585867317355409, 10.197814043830423, 7.915099552699497]"
freesolv,300,5,100,MSELoss(),"[3.3917448346207784, 5.627478408813476, 4.1177230562482565, 12.609616717170267, 10.323043641589937]"
freesolv,300,5,100,MSELoss(),"[6.470579007776772, 9.831134033203124, 4.018395443351901, 16.65375877829159, 4.266346250261579]"
freesolv,300,5,100,MSELoss(),"[2.106259974037729, 4.610577392578125, 1.7820559837380234, 4.869548584433163, 2.707835946764265]"
freesolv,300,5,100,MSELoss(),"[2.454878923369617, 5.517292785644531, 1.6360447041842403, 6.493541358498966, 2.567031156449091]"
freesolv,300,5,100,MSELoss(),"[2.829651111509742, 3.939797210693359, 2.322683653052972, 3.2535367068122416, 1.831934928894043]"
freesolv,300,5,100,MSELoss(),"[1.9030780792236328, 6.99859848022461, 1.836734564936891, 2.4240231233484604, 2.0315005438668385]"
freesolv,300,5,100,MSELoss(),"[2.0619381462655415, 7.416073608398437, 1.4884605833462305, 2.6884483449599323, 1.9482018493470692]"
freesolv,300,5,100,MSELoss(),"[4.10969976099526, 13.799249267578125, 9.426269414473554, 10.39614886115579, 3.6966841561453685]"
freesolv,300,5,100,MSELoss(),"[2.4676758835955366, 6.400228881835938, 2.8268459865025113, 5.521050711239085, 1.8063624926975794]"
freesolv,300,5,100,MSELoss(),"[2.0337570469553876, 8.234669494628907, 2.109952522783863, 5.231102797564338, 1.3343885399046398]"
freesolv,300,5,100,MSELoss(),"[1.393544127301472, 7.8096466064453125, 2.8133762077409394, 4.331184858434341, 1.6526696795508975]"
freesolv,300,5,100,MSELoss(),"[0.6497604207294744, 7.275849914550781, 2.36035925514844, 3.0080397101009595, 1.2866775194803874]"
freesolv,300,5,100,MSELoss(),"[0.742866667305551, 5.1216686248779295, 2.550617439406259, 1.6016243429744945, 1.873140573501587]"
