dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,300,MSELoss(),"[3.049229303995768, 7.207062403361003, 4.262683444552952, 5.443738070401278, 12.705745354251585]"
freesolv,300,5,300,MSELoss(),"[7.326632591985887, 2.2162270545959473, 3.429125029465248, 6.549160297100361, 31.94351058991165]"
freesolv,300,5,300,MSELoss(),"[5.1220205983807965, 0.9760220050811768, 3.868145120554957, 11.44085928109976, 16.1354815711273]"
freesolv,300,5,300,MSELoss(),"[6.176633773311492, 1.4514033794403076, 2.572850194470636, 10.460890549879808, 21.12769796609391]"
freesolv,300,5,300,MSELoss(),"[2.1482935259419103, 1.7147583961486816, 4.898310168036099, 14.754642193134014, 17.4624078356659]"
freesolv,300,5,300,MSELoss(),"[3.2179181498865925, 2.2837562561035156, 2.5412255648908944, 7.91650625375601, 20.551065456647816]"
freesolv,300,5,300,MSELoss(),"[3.503136911699849, 1.1463115215301514, 2.685082534263874, 17.3721923828125, 20.359398839907655]"
freesolv,300,5,300,MSELoss(),"[2.418364494077621, 1.1530208587646484, 1.6599615688981681, 10.719700739933895, 9.779070177448796]"
freesolv,300,5,300,MSELoss(),"[5.536928238407258, 0.8313992023468018, 2.215527764682112, 23.08143028846154, 6.578861728036331]"
freesolv,300,5,300,MSELoss(),"[4.1953917472593245, 1.1524869203567505, 2.7141647338867188, 8.894420917217548, 13.655388892550166]"
freesolv,300,5,300,MSELoss(),"[6.8965124314831145, 2.6842827796936035, 5.822267203495421, 10.308999868539663, 8.495520749706433]"
freesolv,300,5,300,MSELoss(),"[2.438414050686744, 1.82631254196167, 3.659838709337958, 2.469847459059495, 5.887439314329307]"
freesolv,300,5,300,MSELoss(),"[2.6682286416330645, 2.249464750289917, 2.847539178256331, 22.145040658804085, 5.346216931177307]"
freesolv,300,5,300,MSELoss(),"[2.9176126295520413, 1.391699194908142, 1.831164919096848, 45.02889310396635, 5.065880367848527]"
freesolv,300,5,300,MSELoss(),"[2.8172696021295365, 1.1517937183380127, 2.767468156485722, 2.1576070051926832, 3.2478676700397013]"
freesolv,300,5,300,MSELoss(),"[2.8368094659620717, 1.1337171792984009, 2.761546693999192, 6.826450054462139, 3.0399879034311494]"
freesolv,300,5,300,MSELoss(),"[3.770330613659274, 2.828012704849243, 5.343946259597252, 5.849276029146635, 4.985000953596306]"
