dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,1,5,100,MSELoss(),"[13.482262516328376, 16.323448444234913, 8.085660352447603, 8.859450548139241, 17.944274421751967]"
scgas,1,5,100,MSELoss(),"[25.272551650301033, 12.069807265950487, 7.136349397036538, 26.328435239833514, 26.274912308673468]"
scgas,1,5,100,MSELoss(),"[19.209779511897935, 9.318981865474155, 7.03953864712764, 20.443219713769103, 18.983437466783588]"
scgas,1,5,100,MSELoss(),"[14.11305446799742, 7.698625098265611, 6.1923276187345575, 16.184580973662662, 14.911537429913372]"
scgas,1,5,100,MSELoss(),"[13.553204177716456, 6.803810023022937, 7.062306860879284, 16.143835076078055, 13.94179156037415]"
scgas,1,5,100,MSELoss(),"[18.66646022971617, 9.115518140173577, 7.137890447935553, 20.100274631550217, 19.139734384964925]"
scgas,1,5,100,MSELoss(),"[17.75977346437787, 8.514434966793308, 6.392852062793858, 19.49869187534116, 17.727306132413904]"
scgas,1,5,100,MSELoss(),"[15.325121118388045, 6.892813833657797, 5.690254866737826, 15.992222148778657, 14.547244532578656]"
scgas,1,5,100,MSELoss(),"[16.77320791821961, 8.85409904950625, 6.733621556061798, 18.607612709811683, 15.984791865965136]"
scgas,1,5,100,MSELoss(),"[18.069942929329127, 8.647306292397635, 6.604828497113085, 18.45389100453739, 17.66372535342262]"
scgas,1,5,100,MSELoss(),"[20.520316307697822, 9.92458653233268, 6.685351027834809, 20.63703432041485, 18.976037680697278]"
scgas,1,5,100,MSELoss(),"[25.502795298165136, 12.804274957985072, 7.378246016605451, 26.531525057996724, 26.533608365221088]"
scgas,1,5,100,MSELoss(),"[12.378065196745986, 7.182866163377638, 6.597942235119921, 12.825094031454695, 11.865867147640307]"
scgas,1,5,100,MSELoss(),"[18.69887269746273, 10.413427060919922, 6.751190958033921, 20.08426156522926, 20.01881792756165]"
scgas,1,5,100,MSELoss(),"[11.656011178952838, 6.470737563789665, 5.519743180519078, 10.915272008904203, 9.48705971646471]"
scgas,1,5,100,MSELoss(),"[9.943218266198395, 5.255440942033545, 5.944447922082755, 9.470229236319597, 7.17610012755102]"
