dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,300,L1Loss(),"[1.531226818378155, 1.892862099778464, 2.003560700031541, 1.8965762156360555, 1.5632087615599115]"
scgas,300,5,300,L1Loss(),"[2.4942271510992913, 1.646588356964146, 1.7429887400377517, 1.2410622692983084, 1.7683586569393381]"
scgas,300,5,300,L1Loss(),"[0.9557134845192519, 0.7885834799149202, 0.8310843858142827, 0.9044165655013618, 0.8268211813534008]"
scgas,300,5,300,L1Loss(),"[1.0405057793066064, 0.734353622071979, 0.8697679762872274, 0.8425710135643635, 0.8511712466969209]"
scgas,300,5,300,L1Loss(),"[1.1144562125345747, 0.7297581704132114, 0.9518080333735319, 0.9754931248656107, 0.6940859626321232]"
scgas,300,5,300,L1Loss(),"[0.8150652117354649, 0.8119300173953667, 0.8060824503034554, 0.8848711066289779, 0.8422456629136029]"
scgas,300,5,300,L1Loss(),"[0.9818444291144994, 0.6590524441281819, 0.8463736412509176, 0.8455400379425889, 0.8512125351849724]"
scgas,300,5,300,L1Loss(),"[0.8118138285342862, 0.6812405201084106, 0.7320187459856071, 0.6343060414725488, 0.7212772593778722]"
scgas,300,5,300,L1Loss(),"[0.7782555923372472, 0.6240072065924079, 0.7364266414770344, 0.6944465287234804, 0.5866586572983685]"
scgas,300,5,300,L1Loss(),"[0.7784905741111335, 0.7893427478846701, 0.8099607941288276, 0.7178494514675315, 0.7760034897748161]"
scgas,300,5,300,L1Loss(),"[1.0602042409487653, 0.796316031845492, 0.7334225545793571, 0.785342575213231, 0.8685259650735294]"
scgas,300,5,300,L1Loss(),"[1.2909582569618716, 0.8932492079317095, 0.7445087816891254, 0.6961938700544725, 0.8851658540613511]"
scgas,300,5,300,L1Loss(),"[1.023748069128146, 0.755362657149904, 0.6538933363536861, 0.6736183516476133, 0.7742050170898438]"
scgas,300,5,300,L1Loss(),"[1.1800055911923908, 0.6866894614574446, 0.6755426394059354, 0.6948329680556551, 0.6773794286391315]"
scgas,300,5,300,L1Loss(),"[0.8857938312561823, 0.6958844789194708, 0.6797167374783715, 0.6618242876245342, 0.5443689682904411]"
scgas,300,5,300,L1Loss(),"[0.8934456265126415, 0.7009708894940095, 0.6248003044384438, 0.6596042738048309, 0.6821007223690257]"
