dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,1,5,100,MSELoss(),"[12.406861788891662, 8.85343873338829, 7.975001907900688, 12.277881054168052, 8.179966811107413]"
solubility_only3,1,5,100,MSELoss(),"[13.761470140910982, 10.279428419472291, 15.044820257957946, 15.53296892189219, 14.373539198313328]"
solubility_only3,1,5,100,MSELoss(),"[8.613125666207363, 7.464276020602708, 9.367199836893285, 9.537302485131326, 9.332414437603477]"
solubility_only3,1,5,100,MSELoss(),"[9.395590174416338, 8.812643699126072, 10.376430430310839, 10.119155128403465, 10.62995334650507]"
solubility_only3,1,5,100,MSELoss(),"[6.128397657549916, 6.345261548276745, 6.8144989013671875, 6.736226601175742, 6.86274143244257]"
solubility_only3,1,5,100,MSELoss(),"[10.055482886595257, 7.9155239815786596, 10.664968287691156, 11.181173830273652, 10.34351535822382]"
solubility_only3,1,5,100,MSELoss(),"[10.644493268055845, 8.54459621038538, 11.805585495969082, 11.976725260416666, 11.146734982926324]"
solubility_only3,1,5,100,MSELoss(),"[8.968963064488873, 7.605990367968356, 8.714744567871094, 8.884263914672717, 9.102438111968388]"
solubility_only3,1,5,100,MSELoss(),"[9.504614806214903, 7.749085235210575, 9.5221784875748, 9.260748096294005, 9.020025998551324]"
solubility_only3,1,5,100,MSELoss(),"[14.431445840591202, 10.741340741191712, 15.80262594020113, 16.31770618468097, 15.103481065358547]"
solubility_only3,1,5,100,MSELoss(),"[11.104527122764143, 8.218431159861458, 12.046638001786901, 12.453581588627612, 11.300078032032543]"
solubility_only3,1,5,100,MSELoss(),"[11.167579790518406, 8.781576927835925, 11.870642154774767, 11.995564107191969, 11.379986491424358]"
solubility_only3,1,5,100,MSELoss(),"[13.446780796654014, 10.435617060808147, 14.398679368039394, 14.823899137960671, 13.758296537083506]"
solubility_only3,1,5,100,MSELoss(),"[11.684712490900582, 9.066177853425906, 11.689705382002161, 12.074417500343785, 11.439628348445261]"
solubility_only3,1,5,100,MSELoss(),"[10.30909645220206, 8.78981707446326, 11.357050469581116, 11.515146924848734, 10.832502554584023]"
solubility_only3,1,5,100,MSELoss(),"[11.434438695923461, 10.1951986868414, 12.16441053025266, 11.783927220847085, 11.60490548847527]"
solubility_only3,1,5,100,MSELoss(),"[12.406861788891662, 8.85343873338829, 7.975001907900688, 12.277881054168052, 8.179966811107413]"
solubility_only3,1,5,100,MSELoss(),"[13.761470140910982, 10.27942843487743, 15.044820257957946, 15.53296892189219, 14.373539198313328]"
solubility_only3,1,5,100,MSELoss(),"[8.613125666207363, 7.4642760129001395, 9.367200161548372, 9.537302485131326, 9.332414437603477]"
solubility_only3,1,5,100,MSELoss(),"[9.395590174416338, 8.812643699126072, 10.376430430310839, 10.119155396985011, 10.62995334650507]"
solubility_only3,1,5,100,MSELoss(),"[6.128397657549916, 6.345261548276745, 6.814499226022274, 6.736226601175742, 6.86274143244257]"
solubility_only3,1,5,100,MSELoss(),"[10.055482886595257, 7.915523985429944, 10.664968287691156, 11.181173830273652, 10.34351535822382]"
solubility_only3,1,5,100,MSELoss(),"[10.644493674279847, 8.544596333626483, 11.805585495969082, 11.976725260416666, 11.14673579133899]"
solubility_only3,1,5,100,MSELoss(),"[8.968963064488873, 7.605990367968356, 8.714744567871094, 8.884263914672717, 9.102438111968388]"
solubility_only3,1,5,100,MSELoss(),"[9.504614806214903, 7.749085227508005, 9.5221784875748, 9.260748096294005, 9.020025998551324]"
solubility_only3,1,5,100,MSELoss(),"[14.431445840591202, 10.741340741191712, 15.80262594020113, 16.31770618468097, 15.103481065358547]"
solubility_only3,1,5,100,MSELoss(),"[11.104867944701539, 8.218530307328804, 12.046611380069814, 12.455136138613861, 11.300324496843958]"
solubility_only3,1,5,100,MSELoss(),"[11.167478437629992, 8.78165979207254, 11.870710007687832, 11.996072800639439, 11.37990433648722]"
solubility_only3,1,5,100,MSELoss(),"[13.447041795575084, 10.435311083959727, 14.398686510451297, 14.82401355369912, 13.758402034936362]"
solubility_only3,1,5,100,MSELoss(),"[11.685339497647151, 9.065748712500197, 11.689407023977726, 12.074979372937294, 11.439934837897093]"
solubility_only3,1,5,100,MSELoss(),"[10.30951435514377, 8.789782859652046, 11.356770292241523, 11.515975767498626, 10.831941819348872]"
solubility_only3,1,5,100,MSELoss(),"[11.43432353141899, 10.195469447544642, 12.164554027800865, 11.784315052599009, 11.604772908798116]"
