dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,300,5,300,L1Loss(),"[1.2825324918016976, 1.6439530322609575, 1.3631454743383749, 1.3364236876619384, 1.5208332985257165]"
solubility_only3,300,5,300,L1Loss(),"[1.2972751238488203, 1.1075431968268827, 1.2710905275272049, 1.1526675991507194, 1.2481162417251452]"
solubility_only3,300,5,300,L1Loss(),"[0.973519755988721, 0.9251545654867592, 0.9903574399365723, 0.9157133503002371, 1.0258430886057626]"
solubility_only3,300,5,300,L1Loss(),"[0.8761869518962128, 0.9142396102639434, 0.9291909632791999, 0.9243093072211411, 0.97431640625]"
solubility_only3,300,5,300,L1Loss(),"[0.8466063038402836, 0.7769757265235946, 0.8961449670427628, 0.8421811146221944, 0.8596255344627178]"
solubility_only3,300,5,300,L1Loss(),"[0.860538871714611, 0.797832339130647, 0.8931020780374076, 0.8249477385537568, 0.9052244473347622]"
solubility_only3,300,5,300,L1Loss(),"[0.8203754753466473, 0.7266911165988469, 0.8660907454163064, 0.8200772650204956, 0.8815293033566095]"
solubility_only3,300,5,300,L1Loss(),"[0.7499341143677566, 0.7164102128142269, 0.8343369705986431, 0.7593930534225984, 0.8182231801801023]"
solubility_only3,300,5,300,L1Loss(),"[0.6205332572886486, 0.6308007375073944, 0.7068843040757506, 0.6843066064417143, 0.6843969699555794]"
solubility_only3,300,5,300,L1Loss(),"[0.6024812407840956, 0.6229955729452955, 0.6788391120561207, 0.676072287694209, 0.6735594690373513]"
solubility_only3,300,5,300,L1Loss(),"[0.8399271175561361, 0.7621342959227385, 0.8289373548886249, 0.812691433896482, 0.9035424224043315]"
solubility_only3,300,5,300,L1Loss(),"[0.8565674030228166, 0.7202422702521608, 0.8295746950702813, 0.837621334172443, 0.8985438524094304]"
solubility_only3,300,5,300,L1Loss(),"[0.7365442743364549, 0.7043437214157967, 0.7723445783134635, 0.7691654513609025, 0.8155903909058697]"
solubility_only3,300,5,300,L1Loss(),"[0.6667324445105547, 0.6622528007388347, 0.7874142741428987, 0.7114479853930622, 0.7520187783030282]"
solubility_only3,300,5,300,L1Loss(),"[0.5266965348199504, 0.5655009653019859, 0.5686477359014613, 0.5922649236429356, 0.5697957469298777]"
solubility_only3,300,5,300,L1Loss(),"[0.568107453403094, 0.5695087704045033, 0.5716529347514379, 0.6278130520300794, 0.59622142082822]"
