dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,300,5,300,MSELoss(),"[2.532528059328477, 4.575386730087603, 3.0857983919591545, 2.9169395010077994, 4.31045391255714]"
solubility_only3,300,5,300,MSELoss(),"[2.9629649181239652, 2.0528198859380233, 2.6738467398490613, 2.553114424171157, 2.6010371925556552]"
solubility_only3,300,5,300,MSELoss(),"[1.6120598597242344, 1.4573508236143324, 1.7127098236375182, 1.7154561480618438, 1.6701274770551022]"
solubility_only3,300,5,300,MSELoss(),"[1.3915406081850166, 1.4298933370303921, 1.539322698389301, 1.5061354912402032, 1.752794262371232]"
solubility_only3,300,5,300,MSELoss(),"[1.2200544950977856, 1.1754808077338146, 1.2911624944847049, 1.737856687594034, 1.3761802470789546]"
solubility_only3,300,5,300,MSELoss(),"[1.3525083832393419, 1.2186640856558817, 1.367743883424133, 1.1587637796123207, 1.4775137302094856]"
solubility_only3,300,5,300,MSELoss(),"[1.1672991417891143, 1.1531055805511177, 1.2636611916636693, 1.201344335673629, 1.4183448994054204]"
solubility_only3,300,5,300,MSELoss(),"[1.0174776999366204, 0.9699766408165529, 1.1850389451470993, 1.2731141830890367, 1.2455141185659222]"
solubility_only3,300,5,300,MSELoss(),"[0.7810230785647765, 0.7642168094772577, 0.9433590510419307, 1.0423402198261138, 1.007370845828436]"
solubility_only3,300,5,300,MSELoss(),"[0.7680457513063949, 0.8094155026225783, 0.8967402381751374, 0.9521169154130397, 0.9452537671654625]"
solubility_only3,300,5,300,MSELoss(),"[1.3130249427643832, 1.0773438219903273, 1.253052766086491, 1.298586817989476, 1.4656398536884678]"
solubility_only3,300,5,300,MSELoss(),"[1.1888217344978786, 1.1219665014255813, 1.169037505870557, 1.3499824750689902, 1.3432526309933284]"
solubility_only3,300,5,300,MSELoss(),"[1.0321200945519453, 1.0375866971285488, 1.1104217995214098, 1.4682946501478638, 1.1804772706158393]"
solubility_only3,300,5,300,MSELoss(),"[0.8146750342766971, 1.0102381102058158, 1.0411089285639405, 1.3295858407073278, 1.0114807804073909]"
solubility_only3,300,5,300,MSELoss(),"[0.5308715112951418, 0.7123236558590716, 0.6758094343520303, 0.7303428790458617, 0.5986791965180793]"
solubility_only3,300,5,300,MSELoss(),"[0.5800589656198262, 0.7286498226501323, 0.6762336192240241, 0.9750903698127763, 0.6429350118721481]"
