dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,1,2,100,L1Loss(),"[2.477733328585286, 2.484460893004159]"
scgas,1,2,100,L1Loss(),"[2.5725711722315925, 2.54327629133343]"
scgas,1,2,100,L1Loss(),"[2.4610213060397355, 2.460246353100539]"
scgas,1,2,100,L1Loss(),"[2.3070554104010164, 2.293935175815658]"
scgas,1,2,100,L1Loss(),"[2.393820931864121, 2.4106300446866493]"
scgas,1,2,100,L1Loss(),"[2.4983658091064296, 2.518772557788289]"
scgas,1,2,100,L1Loss(),"[2.362816763565679, 2.3771846900759104]"
scgas,1,2,100,L1Loss(),"[2.224394569177035, 2.23876615642814]"
scgas,1,2,100,L1Loss(),"[2.389770520031261, 2.4063567528733834]"
scgas,1,2,100,L1Loss(),"[2.4253382392604714, 2.421037125327815]"
scgas,1,2,100,L1Loss(),"[2.46589884980988, 2.436908343142229]"
scgas,1,2,100,L1Loss(),"[2.587516247042473, 2.58812732195564]"
scgas,1,2,100,L1Loss(),"[2.347812811431787, 2.3713625236477016]"
scgas,1,2,100,L1Loss(),"[2.440323482027121, 2.475484326281355]"
scgas,1,2,100,L1Loss(),"[2.07308486361751, 2.1057553825891606]"
scgas,1,2,100,L1Loss(),"[2.0897978221201727, 2.112590802013683]"
