dataset,epochs,num-folds,SEED,criterion,test_losses,,,,,,
scgas,300,5,200,L1Loss(),"[1.8271400500566533, 1.8307787821843073, 1.7353202135134966, 1.8946737387241461, 1.7196603598305211]",1.82714005,1.830778782,,,,
scgas,300,5,200,L1Loss(),"[1.5612614215948644, 1.5028660113994892, 1.4419625111115284, 1.515329483227852, 1.4747219390381638]",,,,,,
scgas,300,5,200,L1Loss(),"[0.8671794671278733, 0.9658555739965194, 0.8851016362508138, 0.9134721144651755, 0.900937077336418]",,,,,,
scgas,300,5,200,L1Loss(),"[0.8654570090465057, 0.8686494460472693, 0.8515378511868991, 0.8671795893938113, 0.8806358556777906]",,,,,,
scgas,300,5,200,L1Loss(),"[1.0346064812097795, 1.2413906928820488, 1.1393319765726726, 1.168686989026192, 1.086286234017759]",1.034606481,1.241390693,1.139331977,1.168686989,1.086286234,1.134060475
scgas,300,5,200,L1Loss(),"[0.931797675597362, 1.076266239850949, 0.9710609729473407, 1.015536626180013, 0.972253793344711]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6360238882211539, 0.6380450419890575, 0.6388827348366762, 0.6587295532226562, 0.6803964243148463]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6383885970482459, 0.6611382411076472, 0.6222703151213818, 0.6493839973058456, 0.7369020358442118]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6095766165317633, 0.6783010409428523, 0.7007593252719977, 0.6908213175260104, 0.6176884562824481]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6071518873557066, 0.6490222490750827, 0.6146349540123572, 0.9510703209118966, 0.6518441099709216]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6343406775058844, 0.618189444908729, 0.6010675369164883, 0.6171611761435484, 0.67755187890781]",,,,,,
scgas,300,5,200,L1Loss(),"[0.5188978207417023, 0.6283419437897511, 0.6020543391887958, 0.6042926066961044, 0.6330169336483501]",,,,,,
scgas,300,5,200,L1Loss(),"[0.5139828706398989, 0.5652085450979379, 0.5307271541693271, 0.5422666378510304, 0.5251903107371955]",,,,,,
scgas,300,5,200,L1Loss(),"[0.5163986377227001, 0.612576289054675, 0.5467503437629113, 0.5466880248143122, 0.5214431811445437]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6271036588228666, 0.6396971849294809, 0.6374629583114233, 0.6575112954164163, 0.6190400047424122]",,,,,,
scgas,300,5,200,L1Loss(),"[0.6150222680507562, 0.6037477468832945, 0.6304596142891126, 0.6038674819163787, 0.5916313683263029]",,,,,,
scgas,300,5,200,L1Loss(),"[0.511073601551545, 0.5570765397487543, 0.5710436075161665, 0.5470340435321515, 0.5434408827711599]",,,,,,
scgas,300,5,200,L1Loss(),"[0.4922316380036183, 0.5377996762593588, 0.535930444032718, 0.5563573470482459, 0.5433255948197727]",,,,,,
scgas,300,5,200,L1Loss(),"[0.4501089988610683, 0.4868797400058844, 0.47558805881402433, 0.47152409186730015, 0.4695635786452613]",,,,,,
scgas,300,5,200,L1Loss(),"[0.4647176693647336, 0.5001267836644099, 0.49908663676335263, 0.4800889186370067, 0.4679763538007157]",,,,,,
