dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,200,MSELoss(),"[5.242647122114133, 6.139005318666116, 5.250916798909505, 6.3466817415677586, 5.818379265050918]"
scgas,300,5,200,MSELoss(),"[4.747711230547, 4.032535210633889, 4.3462557670397635, 4.274829571063702, 4.0624140047798525]"
scgas,300,5,200,MSELoss(),"[1.4140948026608198, 1.5713992730165138, 1.3332555477435772, 1.5158779682257237, 1.6067508295321236]"
scgas,300,5,200,MSELoss(),"[1.4639710035079565, 1.3131739053970728, 1.3854396282098231, 1.411143877567389, 1.4655622049642447]"
scgas,300,5,200,MSELoss(),"[2.0248296688764524, 2.476544209015675, 2.3762331253443008, 3.325508313301282, 2.1014285834071735]"
scgas,300,5,200,MSELoss(),"[1.64465515430157, 1.7874696682661007, 1.8054147377992287, 2.1339742709428835, 1.8291556020133413]"
scgas,300,5,200,MSELoss(),"[0.8368631265102289, 0.8364583406692896, 0.7728362450232873, 0.7893686294555664, 0.947881095325604]"
scgas,300,5,200,MSELoss(),"[1.003428312448355, 0.9556015332539877, 0.861026372665014, 0.9674506798768655, 0.8204252834137256]"
scgas,300,5,200,MSELoss(),"[0.7660875198168632, 0.7655198268401318, 0.7555701916034405, 0.9367935963166065, 0.8176373369015825]"
scgas,300,5,200,MSELoss(),"[0.6657032110752203, 0.8069054163419284, 0.704858449789194, 0.9390144592676407, 0.7249483102426743]"
scgas,300,5,200,MSELoss(),"[0.7058688432742388, 0.7603910886324369, 0.6634652308928661, 1.0188995018983498, 0.8301128716514514]"
scgas,300,5,200,MSELoss(),"[0.5491146429991111, 0.6593809372339493, 0.7754051990998096, 0.7697696930322891, 0.6719305263921476]"
scgas,300,5,200,MSELoss(),"[0.580366966051933, 0.6888356942396897, 0.5849137306213379, 0.5770373711219201, 0.5821823083554594]"
scgas,300,5,200,MSELoss(),"[0.5902020136515299, 0.6643758186927209, 0.6164973699129545, 0.620714205961961, 0.6580323289377621]"
scgas,300,5,200,MSELoss(),"[0.7729218067267002, 0.8018653331658779, 0.6929340362548828, 0.7269830948267227, 0.7118135153675993]"
scgas,300,5,200,MSELoss(),"[0.6779514703995142, 0.6607447770925668, 0.5938344490833771, 0.7285063083355243, 0.6361908348985373]"
scgas,300,5,200,MSELoss(),"[0.5895739946609888, 0.5057157125228491, 0.5600195848024808, 0.5840345284877679, 0.527671277713471]"
scgas,300,5,200,MSELoss(),"[0.49702996474045974, 0.47160209753574467, 0.4786382821890024, 0.5535870393117269, 0.5336467145730893]"
scgas,300,5,200,MSELoss(),"[0.4385470977196327, 0.41426925170115936, 0.46420437250381863, 0.40853598178961337, 0.40409088134765625]"
scgas,300,5,200,MSELoss(),"[0.44826749654916614, 0.42714971151107395, 0.46927354274651945, 0.4061447045741937, 0.46393870393308206]"
