dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,1,2,100,L1Loss(),"[2.39370658054595, 2.3531594939636746]"
solubility_only3,1,2,100,L1Loss(),"[2.991517619357083, 2.937310048395752]"
solubility_only3,1,2,100,L1Loss(),"[2.145310313323808, 2.0673181997082537]"
solubility_only3,1,2,100,L1Loss(),"[2.296668275023636, 2.350779893971944]"
solubility_only3,1,2,100,L1Loss(),"[1.7327145644224407, 1.7538062047231124]"
solubility_only3,1,2,100,L1Loss(),"[2.2683253435923536, 2.2953970787765603]"
solubility_only3,1,2,100,L1Loss(),"[2.569857341995656, 2.574348039841994]"
solubility_only3,1,2,100,L1Loss(),"[2.2979436120483174, 2.1715780493069583]"
solubility_only3,1,2,100,L1Loss(),"[2.156004009351053, 2.157182651366076]"
solubility_only3,1,2,100,L1Loss(),"[3.04163769164372, 3.0452729591388734]"
solubility_only3,1,2,100,L1Loss(),"[2.5755869373814875, 2.5895841196026748]"
solubility_only3,1,2,100,L1Loss(),"[2.6324000228298168, 2.618710287551307]"
solubility_only3,1,2,100,L1Loss(),"[2.972136328997725, 2.9949121160439907]"
solubility_only3,1,2,100,L1Loss(),"[2.642645608314834, 2.6962397293379117]"
solubility_only3,1,2,100,L1Loss(),"[2.6428467276317824, 2.6139230778080007]"
solubility_only3,1,2,100,L1Loss(),"[2.977342808832888, 2.891270674634517]"
solubility_only3,1,2,100,L1Loss(),"[2.3937065388552696, 2.3531593411326437]"
solubility_only3,1,2,100,L1Loss(),"[2.991517619357083, 2.937310048395752]"
solubility_only3,1,2,100,L1Loss(),"[2.145310313323808, 2.067318241389444]"
solubility_only3,1,2,100,L1Loss(),"[2.2966683028174226, 2.350779893971944]"
solubility_only3,1,2,100,L1Loss(),"[1.732714557473994, 1.7538062029863961]"
solubility_only3,1,2,100,L1Loss(),"[2.26832532969546, 2.2953970370953702]"
solubility_only3,1,2,100,L1Loss(),"[2.569857341995656, 2.574348039841994]"
solubility_only3,1,2,100,L1Loss(),"[2.2979436120483174, 2.1715780770944186]"
solubility_only3,1,2,100,L1Loss(),"[2.1560040232479465, 2.1571826357356296]"
solubility_only3,1,2,100,L1Loss(),"[3.04163769164372, 3.0452729591388734]"
solubility_only3,1,2,100,L1Loss(),"[2.5756013310889294, 2.5896038313322287]"
solubility_only3,1,2,100,L1Loss(),"[2.6324009573959044, 2.6187121006830822]"
solubility_only3,1,2,100,L1Loss(),"[2.9721376492026073, 2.994910552999356]"
solubility_only3,1,2,100,L1Loss(),"[2.6426492128215853, 2.6962363601083665]"
solubility_only3,1,2,100,L1Loss(),"[2.6428486731968723, 2.6139280222391936]"
solubility_only3,1,2,100,L1Loss(),"[2.9773090602270242, 2.8912759177809066]"
