dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,300,5,300,MSELoss(),"[2.8029607296261383, 2.9453226435774758, 2.809534323642928, 3.234514995264478, 2.733633615649011]"
solubility_only3,300,5,300,MSELoss(),"[2.0555190475542027, 2.310167845637539, 2.2442861610199825, 2.3497524098638927, 2.067455415503166]"
solubility_only3,300,5,300,MSELoss(),"[1.3758004220561948, 1.4804339943518336, 1.445091703498506, 1.7252764194338717, 1.3835038612291903]"
solubility_only3,300,5,300,MSELoss(),"[1.247467397082985, 1.4403619131176189, 1.1676243199634497, 1.2457131400458434, 1.356768482709786]"
solubility_only3,300,5,300,MSELoss(),"[0.960958308229137, 1.1900902771447692, 1.1023712852968706, 1.2260322896472147, 1.0527877503657246]"
solubility_only3,300,5,300,MSELoss(),"[0.943970942402266, 1.0841165020442782, 1.0512845208174, 1.1250019887664744, 1.0919713566909817]"
solubility_only3,300,5,300,MSELoss(),"[0.9180484396120874, 1.0520609474073572, 0.9838390230928963, 1.1112797172081763, 1.0562460589422444]"
solubility_only3,300,5,300,MSELoss(),"[0.86786959479326, 0.9638024006096151, 0.9732287194692213, 0.9790911340686361, 0.9521906445090175]"
solubility_only3,300,5,300,MSELoss(),"[0.7392754942840246, 0.7394464066168362, 0.786430953779747, 0.7884681193612826, 0.8143902313458221]"
solubility_only3,300,5,300,MSELoss(),"[0.6393802493013437, 0.709083135927273, 0.7491869940022277, 0.7620946529173485, 0.7981846331193084]"
solubility_only3,300,5,300,MSELoss(),"[0.9020850192978087, 1.0443243244933214, 1.0354276949123151, 1.121734375972672, 1.0013947245337844]"
solubility_only3,300,5,300,MSELoss(),"[0.9667058780780894, 1.036795844662644, 1.120804744887637, 1.0244877597589552, 1.1610977442073225]"
solubility_only3,300,5,300,MSELoss(),"[0.6544477780840922, 0.6875341043054345, 0.6685119828651355, 0.7270742556420523, 0.7574644398132915]"
solubility_only3,300,5,300,MSELoss(),"[0.6025254972020401, 0.6844373777907344, 0.7323797808903894, 0.7405510317824684, 0.7101931455261543]"
solubility_only3,300,5,300,MSELoss(),"[0.40624329551214783, 0.4179554105008537, 0.3686901520244357, 0.4439887370856974, 0.43806135104879035]"
solubility_only3,300,5,300,MSELoss(),"[0.407806717813456, 0.45501489698988645, 0.37902133791841564, 0.42647678850724335, 0.44322007015881787]"
