dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,100,MSELoss(),"[4.010509200096131, 3.1166435156928167, 2.3051705339219835, 3.6552788786093395, 2.8766478231824966]"
esol,300,5,100,MSELoss(),"[2.375552126897706, 1.8134336725042925, 1.65563544538286, 2.082961741086393, 2.2506748590175274]"
esol,300,5,100,MSELoss(),"[0.7350514374838935, 0.6170273979070285, 0.8186795311012409, 1.0385424628853799, 0.9526494042988916]"
esol,300,5,100,MSELoss(),"[0.6608601482046975, 0.5871767711639404, 0.8656879926079677, 0.9285280593236287, 0.7256085484038366]"
esol,300,5,100,MSELoss(),"[0.6111174547672271, 0.6584147935443454, 0.5378213431686163, 0.6346083910597695, 0.6007345443517627]"
esol,300,5,100,MSELoss(),"[0.5722917913066017, 0.6429524580223693, 0.5045322547687424, 0.4980184586180581, 0.5004283712298859]"
esol,300,5,100,MSELoss(),"[0.5190422031614516, 0.5777627440624767, 0.46543749446670213, 0.5531274522675408, 0.5116954264661814]"
esol,300,5,100,MSELoss(),"[0.49482392801178826, 0.5645865268177457, 0.4989674042330848, 0.4390978198581272, 0.5172867234057792]"
esol,300,5,100,MSELoss(),"[0.4237149945894877, 0.4540887608130773, 0.46861748918890955, 0.45972182247373794, 0.42910377779721165]"
esol,300,5,100,MSELoss(),"[0.4131363430288103, 0.44288990122576555, 0.45569895492659673, 0.3919668153921763, 0.4660667821699302]"
esol,300,5,100,MSELoss(),"[0.6569375777244568, 0.6836616198221842, 0.5785520333382819, 0.8125097551279598, 0.5841422028478547]"
esol,300,5,100,MSELoss(),"[0.5861042703522577, 0.6072757932874892, 0.5957692316312913, 0.5950489148073312, 0.5202290158439838]"
esol,300,5,100,MSELoss(),"[0.5408414933416579, 0.4989821608033445, 0.5588534494034119, 0.38072283135520085, 0.4926104519335709]"
esol,300,5,100,MSELoss(),"[0.5015489901436699, 0.5557684464587106, 0.49502172166274655, 0.441266610622406, 0.4940897158063981]"
esol,300,5,100,MSELoss(),"[0.5264847199784385, 0.444345659216245, 0.5092624149719874, 0.4818279483583238, 0.37630512247001546]"
esol,300,5,100,MSELoss(),"[0.40887721406088934, 0.3443146611998479, 0.44309450406167245, 0.5216966071393755, 0.3549018200273556]"
