dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,100,L1Loss(),"[1.7611141955758642, 1.8987676965908742, 1.8782244704839752, 1.874737506776344, 1.8231979981633544]"
freesolv,300,5,100,L1Loss(),"[1.760584883802519, 1.5952616413747231, 1.7008963757612574, 1.6742006437046322, 1.4295701907791254]"
freesolv,300,5,100,L1Loss(),"[1.6415167680875522, 1.6404059102216104, 1.704530280406081, 1.7280380969911109, 1.4417249810604649]"
freesolv,300,5,100,L1Loss(),"[1.5815259978527159, 1.5251863134188914, 1.5661791103092704, 1.8573789221095287, 1.4974737968153626]"
freesolv,300,5,100,L1Loss(),"[1.5032671230045829, 1.78291281752699, 1.7908142870805395, 1.594051331046998, 1.5418061682286153]"
freesolv,300,5,100,L1Loss(),"[0.8122942166065606, 0.9187666975607084, 1.0872191932257704, 0.9218920159527636, 0.9463703213757231]"
freesolv,300,5,100,L1Loss(),"[0.9238422423835815, 0.9045378317044476, 1.045367834136242, 0.8300119385005921, 0.9641135494217618]"
freesolv,300,5,100,L1Loss(),"[0.7055095837810846, 0.8175698227769747, 1.0100417399969626, 0.8355783177173044, 0.8655516018394296]"
freesolv,300,5,100,L1Loss(),"[0.5560023991141733, 0.7237650803693636, 0.9389674419493187, 0.6802813912939838, 0.7205524089682194]"
freesolv,300,5,100,L1Loss(),"[0.5428615555049866, 0.7361175507072388, 0.7805361259640671, 0.5788663203322043, 0.5784342866817503]"
freesolv,300,5,100,L1Loss(),"[1.1506984590545415, 1.4558817946066067, 1.4195384528693251, 1.2764289735809087, 1.4501852925497156]"
freesolv,300,5,100,L1Loss(),"[0.6925212229330708, 0.9435519421194482, 0.9164422853725163, 0.8567146091010627, 0.8905161009490035]"
freesolv,300,5,100,L1Loss(),"[0.7618917029673659, 0.8264204610989788, 0.9028688716137503, 0.7838772901399867, 0.867206207213511]"
freesolv,300,5,100,L1Loss(),"[0.5980644526444082, 0.7327158469853439, 0.7566788440614235, 0.7014215874859667, 0.8115542644762811]"
freesolv,300,5,100,L1Loss(),"[0.5176634976244349, 0.6471199576310286, 0.7894471085916354, 0.610389078695943, 0.5854370462075444]"
freesolv,300,5,100,L1Loss(),"[0.5619139633779451, 0.6745381092462014, 0.6518700817438561, 0.6008739321250615, 0.600898711508467]"
