dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,300,MSELoss(),"[8.292588121309056, 12.292356956662156, 5.103446479857437, 5.863972941721518, 5.7207350148499465]"
freesolv,300,5,300,MSELoss(),"[7.603845671405942, 9.151252326064222, 4.758424834003598, 4.59127393106776, 5.384233838729276]"
freesolv,300,5,300,MSELoss(),"[7.016890998900406, 10.007573405588706, 4.869043245090275, 5.965908020500123, 5.81222021318119]"
freesolv,300,5,300,MSELoss(),"[5.6759715042715, 7.819778202086922, 3.314537829301489, 4.004641675573635, 4.944558344724524]"
freesolv,300,5,300,MSELoss(),"[4.938261017085999, 6.486759576271838, 5.168005034679503, 4.25031971368264, 4.285228086791876]"
freesolv,300,5,300,MSELoss(),"[2.626222355159249, 2.718063204307256, 1.8675997576375647, 1.454530130221149, 1.817059483748811]"
freesolv,300,5,300,MSELoss(),"[2.0163926702784742, 1.7928786991149421, 1.3430952537716843, 1.4781687278447189, 1.738707949755756]"
freesolv,300,5,300,MSELoss(),"[1.7807377041794183, 1.3633051894781159, 1.1333893903597134, 1.5136780025452141, 1.66521854528034]"
freesolv,300,5,300,MSELoss(),"[1.386663406852662, 1.351950998381367, 0.7763990041777844, 1.1549439317598118, 1.4366154049644033]"
freesolv,300,5,300,MSELoss(),"[1.329693381241926, 1.4312979630597933, 0.8054165427140364, 1.254808320773868, 1.0224558542702944]"
freesolv,300,5,300,MSELoss(),"[3.9173106095922274, 4.111568661186639, 3.1175094964936023, 3.9887878538116697, 3.0519146282254286]"
freesolv,300,5,300,MSELoss(),"[1.4492584288589598, 2.108375789612297, 0.9353352944681964, 1.228871863658034, 1.3364153146132371]"
freesolv,300,5,300,MSELoss(),"[1.3085116288793368, 1.4941744766836091, 0.9646866115059439, 1.2346045126126508, 1.0799313519747202]"
freesolv,300,5,300,MSELoss(),"[1.3932871780996248, 1.7708913247416338, 0.9113128391776498, 1.0729980919304796, 0.9537058076216974]"
freesolv,300,5,300,MSELoss(),"[1.273777834073765, 1.2222245283952848, 0.7434642070860374, 1.063062262347364, 0.916246586401044]"
freesolv,300,5,300,MSELoss(),"[0.8108303941140963, 1.438417359599917, 0.5422016128780335, 0.8776910286250077, 0.8538641395004651]"
