dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,100,MSELoss(),"[1.9439121756966657, 1.8848692526028852, 2.1678376986285834, 4.042791712002491, 2.4141968515993075]"
freesolv,300,5,100,MSELoss(),"[2.178820212056318, 2.218178816667692, 2.3509913467046784, 2.450548937940222, 2.505072191471362]"
freesolv,300,5,100,MSELoss(),"[1.8732530789112483, 2.0602212740680366, 3.348465506486067, 2.7595076072873095, 2.0153212347103437]"
freesolv,300,5,100,MSELoss(),"[1.8942077516570806, 2.644617816594642, 3.3040970329224595, 2.071504607914001, 2.2527949391430573]"
freesolv,300,5,100,MSELoss(),"[1.4154634100245678, 1.3535968750480591, 1.7553334273691252, 1.272189418161948, 1.2404308071118275]"
freesolv,300,5,100,MSELoss(),"[1.113214808186208, 1.7226717791219397, 1.609959910235067, 1.287910866925097, 1.3785057845916457]"
freesolv,300,5,100,MSELoss(),"[1.0353986484797921, 1.3169951251172645, 1.5103612584391917, 0.9005364996241773, 1.0891451700270631]"
freesolv,300,5,100,MSELoss(),"[1.1756556653600978, 1.6498392660786787, 1.3449329165961799, 0.7447048998254491, 0.9969801199800186]"
freesolv,300,5,100,MSELoss(),"[0.9908049726110744, 0.9910578539991003, 1.5410231042095994, 0.7823726023276021, 0.7724940319552677]"
freesolv,300,5,100,MSELoss(),"[0.9787872194305179, 1.0685662922896737, 1.6161341329259196, 0.6220734738928126, 0.8989702890847475]"
freesolv,300,5,100,MSELoss(),"[1.8720739169383611, 1.999571957926112, 2.7372018708957464, 2.2375976081908218, 2.421704336318351]"
freesolv,300,5,100,MSELoss(),"[0.7230461751382182, 1.4492018391766885, 1.5669913704939715, 1.5425763317919152, 1.4938024327955173]"
freesolv,300,5,100,MSELoss(),"[0.9197233455387626, 1.4179378719780389, 1.8355178532637948, 0.8567821622833492, 1.145350740326725]"
freesolv,300,5,100,MSELoss(),"[1.7005941736416554, 3.658819784329632, 2.5583963168887642, 2.0097760177972748, 3.8257189088195336]"
freesolv,300,5,100,MSELoss(),"[1.2526593020581824, 1.9488874420406312, 2.1420168839101716, 1.2637036391130583, 1.236506428882366]"
freesolv,300,5,100,MSELoss(),"[1.3041636099026899, 1.159816764471099, 1.0761966855507197, 0.7184569141057533, 0.7675113980551712]"
