dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,100,MSELoss(),"[2.5998888260278945, 1.6953403521806767, 1.865917743780674, 2.1547110141851964, 2.151322654260995]"
scgas,300,5,100,MSELoss(),"[2.068743265592135, 1.79881345308744, 1.634693708175268, 1.795589716006548, 1.6602684971623527]"
scgas,300,5,100,MSELoss(),"[0.8520114972041204, 0.7134426557100736, 0.7432702015607785, 0.8432832131019006, 0.8874968019918131]"
scgas,300,5,100,MSELoss(),"[0.9176816084446051, 0.8008690369434845, 0.6892404678540353, 0.8793815099276029, 0.8476110220717165]"
scgas,300,5,100,MSELoss(),"[0.8098645332532052, 0.5740909820947891, 0.6943879861098069, 0.7634299840682592, 0.6297787797336761]"
scgas,300,5,100,MSELoss(),"[0.6847058809720553, 0.5375844331888052, 0.693980241433168, 0.8266684336540027, 0.6779350305136781]"
scgas,300,5,100,MSELoss(),"[0.702921042075524, 0.5711735884348551, 0.766912790445181, 0.8238570873553936, 0.6092531490630616]"
scgas,300,5,100,MSELoss(),"[0.6306021091265556, 0.505637682401217, 0.6479955819936899, 0.5602347178336902, 0.6223965848977573]"
scgas,300,5,100,MSELoss(),"[0.5810358707721417, 0.4951772812085274, 0.6924521372868464, 0.6407528718312582, 0.5814303315866488]"
scgas,300,5,100,MSELoss(),"[0.6005384738628681, 0.4735625584920247, 0.6343933374453814, 0.6172318030626346, 0.5703569235512242]"
scgas,300,5,100,MSELoss(),"[0.8315790494283041, 0.6853939447647486, 0.7100150034977839, 0.763946655469063, 0.5817040147872778]"
scgas,300,5,100,MSELoss(),"[0.604303946861854, 0.5502155316181672, 0.6493692031273475, 0.8011695788456843, 0.5926977163686539]"
scgas,300,5,100,MSELoss(),"[0.5718059967725705, 0.499461082311777, 0.6625203230442145, 0.5719529604300474, 0.5195208296608239]"
scgas,300,5,100,MSELoss(),"[1.029949114872859, 0.7224261699578701, 1.1813931709680803, 1.2734666848794007, 1.1355479670027955]"
scgas,300,5,100,MSELoss(),"[0.9096223391019381, 0.7678183408883902, 1.0741166946215508, 1.0169745836502466, 0.7765373376230843]"
scgas,300,5,100,MSELoss(),"[0.5009201612228003, 0.3957383877191788, 0.6353013270940536, 0.5270266838562794, 0.47596047252130963]"
