dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,100,MSELoss(),"[0.39173277537027995, 0.4079647742377387, 0.47222211201985675, 0.5816653230455187, 0.5302550278046058]"
esol,300,5,100,MSELoss(),"[0.40774152119954427, 0.5177648247612847, 0.3885366015964084, 0.44667003631591795, 0.5562883116600272]"
esol,300,5,100,MSELoss(),"[0.4290506574842665, 0.5338038635253907, 0.4246142450968424, 0.431586062113444, 0.42388137111579793]"
esol,300,5,100,MSELoss(),"[0.39131214989556207, 0.43614317576090494, 0.43779359181722005, 0.4458716985914442, 0.47668319231613093]"
esol,300,5,100,MSELoss(),"[0.3799119610256619, 0.47224924723307293, 0.47733042399088543, 0.44515978495279945, 0.458201622647861]"
esol,300,5,100,MSELoss(),"[0.4716075303819444, 0.4163047536214193, 0.5179797108968099, 0.41868431939019096, 0.3884704522624415]"
esol,300,5,100,MSELoss(),"[0.6833931054009331, 0.5062920761108398, 0.5464425362481011, 0.6080990261501736, 0.6825432378289983]"
esol,300,5,100,MSELoss(),"[0.5647246721055773, 0.5457852851019965, 0.6047131941053603, 0.56964658525255, 0.5773240648177227]"
esol,300,5,100,MSELoss(),"[0.5763001929389105, 0.44055263095431857, 0.4687258995903863, 0.4115561570061578, 0.45956264613483444]"
esol,300,5,100,MSELoss(),"[0.5272133043077257, 0.5175891621907552, 0.525772705078125, 0.48187862820095484, 0.40840079185721107]"
esol,300,5,100,MSELoss(),"[0.4330955335828993, 0.36876853942871096, 0.4994873979356554, 0.42393313513861763, 0.32303835747000403]"
esol,300,5,100,MSELoss(),"[0.5243996090359158, 0.34212996588812933, 0.44574298434787324, 0.45875186496310766, 0.36139483178764714]"
esol,300,5,100,MSELoss(),"[0.4842128160264757, 0.46177722930908205, 0.4029962836371528, 0.5318731435139974, 0.6145442340867635]"
esol,300,5,100,MSELoss(),"[0.4702138858371311, 0.5393857913547092, 0.5620557318793403, 0.6123128170437283, 0.6653819063161438]"
esol,300,5,100,MSELoss(),"[0.431609369913737, 0.469455329047309, 0.45745577918158636, 0.4370390235053168, 0.4692781087060332]"
esol,300,5,100,MSELoss(),"[0.46152325100368924, 0.4522989188300239, 0.4569134691026476, 0.3902747980753581, 0.45163716723740366]"
esol,300,5,100,MSELoss(),"[0.47996849060058594, 0.4373100831773546, 0.4179664823744032, 0.6998380194769965, 0.6176192497892001]"
esol,300,5,100,MSELoss(),"[0.4297165086534288, 0.39263724433051217, 0.5654171074761285, 0.4370092942979601, 0.42969486051719097]"
esol,300,5,100,MSELoss(),"[0.6833931054009331, 0.5062920761108398, 0.5464425362481011, 0.6080990261501736, 0.6825432378289983]"
esol,300,5,100,MSELoss(),"[0.5647246721055773, 0.5457852851019965, 0.6047131941053603, 0.56964658525255, 0.5773240648177227]"
esol,300,5,100,MSELoss(),"[0.5763001929389105, 0.44055263095431857, 0.4687258995903863, 0.4115561570061578, 0.45956264613483444]"
esol,300,5,100,MSELoss(),"[0.5272133043077257, 0.5175891621907552, 0.525772705078125, 0.48187862820095484, 0.40840079185721107]"
esol,300,5,100,MSELoss(),"[0.4330955335828993, 0.36876853942871096, 0.4994873979356554, 0.42393313513861763, 0.32303835747000403]"
esol,300,5,100,MSELoss(),"[0.5243996090359158, 0.34212996588812933, 0.44574298434787324, 0.45875186496310766, 0.36139483178764714]"
