dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,200,L1Loss(),"[1.5193049006991917, 1.3585521708594428, 1.4371923870510526, 1.4846355639563666, 1.4481930470151523]"
esol,300,5,200,L1Loss(),"[1.0797388701968722, 1.081149312125312, 1.0979809453752305, 1.145495169957479, 1.0165037730716924]"
esol,300,5,200,L1Loss(),"[0.7247000948588054, 0.6932139280107287, 0.6789476511213515, 0.6782615608639188, 0.6541409508247208]"
esol,300,5,200,L1Loss(),"[0.7057425996992324, 0.6928840594821506, 0.6557481384277344, 0.6197885523902046, 0.672937425222691]"
esol,300,5,200,L1Loss(),"[0.5918533812628852, 0.5493030240800646, 0.5959883467356364, 0.6317177115546333, 0.5194822568200234]"
esol,300,5,200,L1Loss(),"[0.5238583850860595, 0.5523905171288385, 0.5746007166968452, 0.5523165369033813, 0.5093044341923382]"
esol,300,5,200,L1Loss(),"[0.49573501269022624, 0.5507977040608724, 0.506745851304796, 0.5463580338160197, 0.4840400465784619]"
esol,300,5,200,L1Loss(),"[0.5096697425842285, 0.5380805153316922, 0.5145180977715387, 0.5880003134409587, 0.4961766613737602]"
esol,300,5,200,L1Loss(),"[0.4840114381578233, 0.454833033879598, 0.49732259538438583, 0.4790167888005575, 0.43163997486299355]"
esol,300,5,200,L1Loss(),"[0.5062476009792751, 0.49770263671875, 0.48429472393459744, 0.5276086457570394, 0.45848036600104514]"
esol,300,5,200,L1Loss(),"[0.5981497520870632, 0.5688013807932536, 0.6422131824493408, 0.722539324230618, 0.5563272505604748]"
esol,300,5,200,L1Loss(),"[0.5538067616356743, 0.5183024618360731, 0.5967881245083279, 0.6336616166432698, 0.5911808208221906]"
esol,300,5,200,L1Loss(),"[0.4807323466406928, 0.4899247418509589, 0.5223199600643582, 0.5531294854482015, 0.4706934827014738]"
esol,300,5,200,L1Loss(),"[0.49323348257276745, 0.5053643062379625, 0.5124172570970323, 0.5492016718122694, 0.45636483226053515]"
esol,300,5,200,L1Loss(),"[0.47189607514275445, 0.45853820006052654, 0.49041489389207626, 0.5113278388977051, 0.4654059441604278]"
