dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,1,2,300,MSELoss(),"[24.97102743405907, 27.669414710998534]"
freesolv,1,2,300,MSELoss(),"[26.467696904388713, 29.003659439086913]"
freesolv,1,2,300,MSELoss(),"[25.293926370554956, 28.083125114440918]"
freesolv,1,2,300,MSELoss(),"[27.68779474814484, 31.05908622741699]"
freesolv,1,2,300,MSELoss(),"[31.972953007139008, 26.855826377868652]"
freesolv,1,2,300,MSELoss(),"[28.255021720096984, 23.66432991027832]"
freesolv,1,2,300,MSELoss(),"[28.35482960285438, 23.592760276794433]"
freesolv,1,2,300,MSELoss(),"[33.041880640490305, 27.817012786865234]"
freesolv,1,2,300,MSELoss(),"[33.406120850374705, 28.451559257507324]"
freesolv,1,2,300,MSELoss(),"[28.64542228674814, 23.87967586517334]"
freesolv,1,2,300,MSELoss(),"[28.96985399013029, 24.20302963256836]"
freesolv,1,2,300,MSELoss(),"[29.261636859570924, 24.688456535339355]"
freesolv,1,2,300,MSELoss(),"[31.013600699206506, 26.17440013885498]"
freesolv,1,2,300,MSELoss(),"[32.693606002951114, 27.795181274414062]"
freesolv,1,2,300,MSELoss(),"[28.415106028972374, 24.689495468139647]"
freesolv,1,2,300,MSELoss(),"[29.771009678377254, 26.071703338623045]"
