dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,300,MSELoss(),"[7.262803205354946, 4.778846320204847, 6.288647028404896, 5.132391862043246, 5.886767656748532]"
freesolv,300,5,300,MSELoss(),"[6.247930571788878, 3.0659807160144714, 4.07370631901298, 3.354097020907665, 5.639008325474863]"
freesolv,300,5,300,MSELoss(),"[6.082899799497109, 4.7498857393039495, 3.9319728941429317, 4.401309035894439, 4.209032182475083]"
freesolv,300,5,300,MSELoss(),"[4.946981595257136, 3.56008833036648, 3.912050622654712, 3.6727261280450296, 4.40438826757533]"
freesolv,300,5,300,MSELoss(),"[2.8547018456646778, 4.097650542972595, 2.96235248235267, 2.7442812581700604, 2.8021062130236443]"
freesolv,300,5,300,MSELoss(),"[1.9928038589597687, 1.8057752293864573, 1.5392985156201942, 1.3989609845979947, 1.743279777410376]"
freesolv,300,5,300,MSELoss(),"[1.7073869479922799, 1.576559682530681, 1.2714265688197819, 1.3662636223740465, 1.6726171378870958]"
freesolv,300,5,300,MSELoss(),"[1.69903005765179, 1.5574063278558685, 1.1445946580781712, 1.5610197472760057, 1.3468429587269557]"
freesolv,300,5,300,MSELoss(),"[1.6357212967759982, 1.4011482479065422, 0.8128246848038801, 1.4163574158676027, 1.3505056383273073]"
freesolv,300,5,300,MSELoss(),"[1.2273965670367863, 1.4232547489676888, 0.6795791415717658, 1.298910756749431, 1.0231815267155189]"
freesolv,300,5,300,MSELoss(),"[3.353387667438177, 3.8330092542753444, 2.8271771528589444, 2.761220916988343, 2.4090672649500022]"
freesolv,300,5,300,MSELoss(),"[1.7872635248139148, 1.520925717090997, 0.9108276667557363, 1.2227668161467304, 1.1285974633602696]"
freesolv,300,5,300,MSELoss(),"[1.3921594694843442, 1.8412979906938207, 1.0638215222696619, 1.2120742948036494, 0.9514430212496802]"
freesolv,300,5,300,MSELoss(),"[1.7464199366531974, 1.194164201030581, 0.78703006233756, 0.9821806779996617, 1.1216396520497234]"
freesolv,300,5,300,MSELoss(),"[1.2456791194405143, 1.380415248119925, 0.8934195961539201, 1.188329921932671, 1.030833011535743]"
freesolv,300,5,300,MSELoss(),"[1.0710452597910964, 1.2566300489771085, 0.581254057996855, 1.0766666892945298, 1.0028371457152694]"
