dataset,epochs,num-folds,SEED,criterion,test_losses
esol,2,5,100,L1Loss(),"[4.4197240777917814, 3.5269686922113945, 2.6960343973977223, 2.5426850353612998, 3.046114899391352]"
esol,2,5,100,L1Loss(),"[2.7357585733840963, 4.64578139991091, 3.5847869179465555, 3.3287479594602423, 3.0651568618475222]"
esol,2,5,100,L1Loss(),"[2.3057734097080034, 3.1051207425301537, 2.880725062977184, 2.7460252794168762, 2.2415421055812463]"
esol,2,5,100,L1Loss(),"[2.619844523216236, 3.631358498021176, 2.95519755970348, 2.905958014019465, 2.4156255161061004]"
esol,2,5,100,L1Loss(),"[2.2956605355526656, 2.2341983192845394, 2.3130930813876067, 1.5923531095860368, 1.760834207721785]"
esol,2,5,100,L1Loss(),"[2.2230625459774345, 1.4807483940793758, 1.1743006099354136, 2.324607267218121, 1.9005071509118174]"
esol,2,5,100,L1Loss(),"[2.5904227406179223, 3.960854781301398, 2.3388093774968928, 2.5913719888460838, 2.0408290788239123]"
esol,2,5,100,L1Loss(),"[2.594967955202519, 2.165381280999435, 2.0967782800847834, 2.6656417523400258, 2.10118506936466]"
esol,2,5,100,L1Loss(),"[2.444160908242445, 2.975111442699767, 2.0996612202037466, 2.3368183071330444, 2.1996581881654027]"
esol,2,5,100,L1Loss(),"[2.500713052372632, 1.8785896635892099, 2.370757432417436, 1.7280307705119504, 1.2510371114693435]"
esol,2,5,100,L1Loss(),"[4.279752834423168, 3.3795631895674036, 2.8010568618774414, 2.545274626219637, 3.2462060174276663]"
esol,2,5,100,L1Loss(),"[2.733699960555025, 4.661322610420093, 3.561157157204368, 3.3640138011867715, 3.091352761960497]"
esol,2,5,100,L1Loss(),"[2.302226327697843, 3.1013273272598, 2.929112937233665, 2.864304332409875, 2.3100960955900303]"
esol,2,5,100,L1Loss(),"[2.655394452208132, 3.800806815164131, 2.94289608001709, 2.9780422146037475, 2.6450554249333402]"
esol,2,5,100,L1Loss(),"[2.3207221526876203, 3.2589589169150903, 2.231393658031117, 2.1966609308275125, 1.689196184569714]"
esol,2,5,100,L1Loss(),"[2.2535306894238136, 1.9228126458954393, 1.7826618888161399, 2.069100913354906, 1.5359494405634262]"
esol,2,5,100,L1Loss(),"[2.571741643098577, 3.8286513612981428, 2.7636795737526634, 2.6683876878124173, 1.6335672303742053]"
esol,2,5,100,L1Loss(),"[2.639507556205962, 2.453734782704136, 2.7526416431773795, 2.7759336374573786, 1.8630048059949689]"
esol,2,5,100,L1Loss(),"[2.426894750636982, 2.8793262013217857, 1.9561736366965554, 2.5547988051075046, 2.5794541087805056]"
esol,2,5,100,L1Loss(),"[2.477286544062557, 2.6730216846131443, 2.209035353227095, 1.7452067035739705, 1.5239926412993787]"
esol,2,5,100,L1Loss(),"[2.9375418555509643, 4.663492403532329, 3.920743630149148, 3.633170241016453, 3.278964229658538]"
esol,2,5,100,L1Loss(),"[2.3264559219382694, 3.176094322873835, 2.621403555436568, 2.7928814645540916, 2.50521713144639]"
esol,2,5,100,L1Loss(),"[2.4807318803332037, 2.9412982338353206, 2.1268764149058947, 2.6009027190127614, 2.0196172583336924]"
esol,2,5,100,L1Loss(),"[2.5398958689297277, 3.7635774445115473, 2.783414112437855, 2.8810194629733847, 2.596045456680597]"
esol,2,5,100,L1Loss(),"[2.5287970826357036, 2.3672331425181605, 1.7478212009776721, 1.8726282604670121, 1.7005597750345867]"
esol,2,5,100,L1Loss(),"[2.666869268235839, 2.136547824792695, 2.1794071370905095, 2.0807213540804588, 1.807202647714054]"
