dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,100,MSELoss(),"[7.166466790276605, 2.9821838216578707, 3.887121932847159, 15.06322688029149, 3.3799626106439633]"
esol,300,5,100,MSELoss(),"[16.845719126621766, 3.681600704527738, 1.1859691273082387, 2.919557151147875, 1.085382153006161]"
esol,300,5,100,MSELoss(),"[2.719158214496484, 1.3473269479316579, 1.073942826010964, 1.8700925536074882, 1.12394424162659]"
esol,300,5,100,MSELoss(),"[2.29553329054468, 1.5178000968799257, 1.4787946527654474, 1.6140645883851132, 0.8571634067624223]"
esol,300,5,100,MSELoss(),"[2.323850723869804, 0.9357066238135622, 0.5925226471640846, 1.2667932995295121, 0.6826246112000709]"
esol,300,5,100,MSELoss(),"[1.128175697773477, 0.8860572764748021, 0.622050614790483, 0.930364140009476, 0.6489657654481775]"
esol,300,5,100,MSELoss(),"[1.6384529571756612, 0.679931452399806, 0.6398724902759899, 0.9392179068872484, 0.7231874091952455]"
esol,300,5,100,MSELoss(),"[1.056180081290696, 0.8293065230051676, 0.7304197311401367, 1.0739292855990135, 0.7076954748116288]"
esol,300,5,100,MSELoss(),"[1.1120260400618502, 0.7902357369138483, 0.6671606410633434, 0.7736062518620895, 0.6233516814661961]"
esol,300,5,100,MSELoss(),"[0.896117538519171, 1.0035224128187747, 0.601909403367476, 1.1219926446171131, 1.4374100133484484]"
esol,300,5,100,MSELoss(),"[2.00566188761989, 1.1392809884590016, 0.7111780860207297, 1.6808482994467526, 0.7084839951758292]"
esol,300,5,100,MSELoss(),"[1.117450124173702, 1.240376213140655, 0.6314332311803644, 1.366708965624793, 0.6257515888588101]"
esol,300,5,100,MSELoss(),"[1.5835520324036807, 1.3499345612107663, 0.6110552440990101, 1.4349739430314403, 0.6434822082519531]"
esol,300,5,100,MSELoss(),"[1.6422464725388266, 1.1537415019252844, 0.7208915710449219, 0.9853145793332891, 0.6047825439303529]"
esol,300,5,100,MSELoss(),"[1.7688681321821311, 0.834445643843266, 0.6558206341483376, 1.1599871748584811, 0.7817502255533256]"
esol,300,5,100,MSELoss(),"[0.9316447824894247, 1.4939861381263064, 0.5653532721779563, 0.9609096009852522, 0.6175883844786999]"
