dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,300,L1Loss(),"[2.0046377633985184, 1.3586409898628866, 1.5240532731668477, 1.4172850714789496, 1.4760847091674805]"
esol,300,5,300,L1Loss(),"[1.1877944018389728, 1.6821332573890686, 1.1491916249099288, 1.135841249417858, 1.9821143640536014]"
esol,300,5,300,L1Loss(),"[0.8907862654677382, 0.8877388536930084, 0.8679199959467916, 0.6661965406241537, 0.8119865711604324]"
esol,300,5,300,L1Loss(),"[0.891674162031294, 0.80900938808918, 0.9011156026599476, 0.6496801817116618, 1.0522124655892915]"
esol,300,5,300,L1Loss(),"[0.7904617206470387, 0.9349992126226425, 0.5318699438595077, 0.6505406657520797, 0.767725371868811]"
esol,300,5,300,L1Loss(),"[0.7521876773318729, 0.7370025888085365, 0.5002972871354483, 0.6334350082386776, 0.7966329472087254]"
esol,300,5,300,L1Loss(),"[0.7326409451596372, 0.7311234772205353, 0.6349466286816643, 0.5820989755689263, 0.7319736569841332]"
esol,300,5,300,L1Loss(),"[0.942379040761037, 0.7228745222091675, 0.5365533134312306, 0.5710982702025512, 0.6664432298357241]"
esol,300,5,300,L1Loss(),"[0.7282565005190738, 0.7560878694057465, 0.534805557102833, 0.5399755229469106, 0.5406810279204467]"
esol,300,5,300,L1Loss(),"[0.7082589639199747, 0.7098181545734406, 0.5372084506507059, 0.5324988398565298, 0.5814151797339181]"
esol,300,5,300,L1Loss(),"[0.8710514962136209, 0.9018478542566299, 0.6123544174490623, 0.6467601364734126, 0.7153272439386243]"
esol,300,5,300,L1Loss(),"[0.8672701517740885, 1.146620273590088, 0.571521453487063, 0.6432146231333414, 0.7077368564694841]"
esol,300,5,300,L1Loss(),"[0.7928047437925596, 0.9166579991579056, 0.6914944417268327, 0.6054652772363829, 0.6183010896789694]"
esol,300,5,300,L1Loss(),"[0.815091304950886, 1.0291926860809326, 0.5974752416888487, 0.656109566782035, 0.7500941753387451]"
esol,300,5,300,L1Loss(),"[0.8691742012092659, 0.7521169111132622, 0.6546354154938633, 0.6545733336974927, 0.6292853076881337]"
esol,300,5,300,L1Loss(),"[0.7218492267368076, 0.7091566324234009, 0.5863490058380423, 0.5162203225101075, 0.6508329159745546]"
