dataset,epochs,num-folds,SEED,criterion,test_losses
esol,300,5,300,MSELoss(),"[9.899480195972027, 3.4367172054778363, 3.8350852656762755, 3.738613740897473, 2.6758813195758395]"
esol,300,5,300,MSELoss(),"[2.565662349666561, 2.9762370586395264, 1.8493160507054005, 2.3142991586893547, 9.576579236538612]"
esol,300,5,300,MSELoss(),"[1.537965929186022, 1.6144134998321533, 1.684039921436495, 0.9575653770724598, 1.9144116874053099]"
esol,300,5,300,MSELoss(),"[1.604939503712697, 1.2174004912376404, 1.2476677385348718, 0.8558685666038877, 2.2931009809547493]"
esol,300,5,300,MSELoss(),"[1.0801460334846564, 1.2168571949005127, 0.4761144952866638, 0.5800791614863718, 2.5593624114990234]"
esol,300,5,300,MSELoss(),"[1.148132289852108, 1.471536099910736, 0.5346253589519019, 0.5924717825667865, 1.3753618837516999]"
esol,300,5,300,MSELoss(),"[0.9107978408401077, 1.0032631158828735, 0.5814651378150125, 0.5085166108374503, 0.9356015820369542]"
esol,300,5,300,MSELoss(),"[1.0260056847924586, 1.0551210939884186, 0.6069137239919126, 0.5438412685020297, 1.071591502038118]"
esol,300,5,300,MSELoss(),"[0.8832891653249929, 0.8765988945960999, 0.5117386567939832, 0.5449677528787393, 0.7182919332914264]"
esol,300,5,300,MSELoss(),"[0.9746591722643053, 0.7223663926124573, 0.7377000642054289, 0.48949793807598724, 0.7474960567795228]"
esol,300,5,300,MSELoss(),"[1.2467712883476738, 1.578847348690033, 0.6209111259978952, 0.693690104978759, 1.0472651240981627]"
esol,300,5,300,MSELoss(),"[1.015922855686497, 1.5837991833686829, 0.6577204361702632, 0.6008288065592448, 1.2231491258211225]"
esol,300,5,300,MSELoss(),"[1.043330699473888, 1.1970790028572083, 0.607085329815022, 0.625880479144783, 1.5784091481538576]"
esol,300,5,300,MSELoss(),"[1.0025157756633587, 1.4737699627876282, 0.6313548967676256, 0.657883614719081, 1.1300491907886256]"
esol,300,5,300,MSELoss(),"[1.051112681895763, 0.9137427806854248, 0.5950717370486954, 0.6689673672203257, 0.8025450661917714]"
esol,300,5,300,MSELoss(),"[0.8218514725968644, 1.0457260608673096, 0.43933248982846157, 0.5496956694359872, 0.7465898856938442]"
