dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,1,2,100,MSELoss(),"[74.5884530203683, 21.906229511924703]"
freesolv,1,2,100,MSELoss(),"[46.4018545798885, 26.510324620488863]"
freesolv,1,2,100,MSELoss(),"[42.89835720617794, 25.29467961325574]"
freesolv,1,2,100,MSELoss(),"[44.141327496871206, 25.875857623655406]"
freesolv,1,2,100,MSELoss(),"[43.9311049378034, 25.487773838327893]"
freesolv,1,2,100,MSELoss(),"[38.73010372421116, 23.113488837854185]"
freesolv,1,2,100,MSELoss(),"[40.10401472073157, 24.28512231627507]"
freesolv,1,2,100,MSELoss(),"[43.8213373573081, 24.718936009193534]"
freesolv,1,2,100,MSELoss(),"[47.114453362029735, 26.515306956732452]"
freesolv,1,2,100,MSELoss(),"[47.540899480430824, 27.798958735679513]"
freesolv,1,2,100,MSELoss(),"[48.256540539195235, 28.56236546075166]"
freesolv,1,2,100,MSELoss(),"[47.677704449996206, 27.189511598046145]"
freesolv,1,2,100,MSELoss(),"[45.2173070815003, 25.826162423660506]"
freesolv,1,2,100,MSELoss(),"[40.19651246302336, 24.061813696106867]"
freesolv,1,2,100,MSELoss(),"[39.69620787981644, 26.852017303011312]"
freesolv,1,2,100,MSELoss(),"[40.056824767473834, 26.336863731270405]"
