dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,1,5,100,L1Loss(),"[5.948411819782663, 6.267242431640625, 5.80182339282746, 4.562402125767299, 2.991519773626603]"
freesolv,1,5,100,L1Loss(),"[5.133839118771437, 7.370704650878906, 4.630374869521783, 3.58803051219267, 4.89585694812593]"
freesolv,1,5,100,L1Loss(),"[4.728760835601062, 6.9365180969238285, 4.3437075517615495, 3.4237223681281597, 4.641895839146206]"
freesolv,1,5,100,L1Loss(),"[4.88104759774557, 7.0527397155761715, 4.481032877552266, 3.493958574182847, 4.6910247802734375]"
freesolv,1,5,100,L1Loss(),"[4.943632823664967, 7.137461853027344, 4.471783131969218, 3.51373207989861, 4.713499523344494]"
freesolv,1,5,100,L1Loss(),"[4.466925225606778, 6.5129951477050785, 4.104113053302376, 3.2486580343807443, 4.270214080810547]"
freesolv,1,5,100,L1Loss(),"[4.63054084777832, 6.763200378417968, 4.22537883447141, 3.415085803761202, 4.486734481084914]"
freesolv,1,5,100,L1Loss(),"[4.923949869667611, 7.064361572265625, 4.374446353133844, 3.4789659836713005, 4.617781866164434]"
freesolv,1,5,100,L1Loss(),"[5.149310228301258, 7.369222259521484, 4.657172932916758, 3.5753330006318933, 4.85504522777739]"
freesolv,1,5,100,L1Loss(),"[5.2017142133014955, 7.480843353271484, 4.811225511589829, 3.695033488554113, 4.962535494849796]"
freesolv,1,5,100,L1Loss(),"[5.412473073819789, 7.545575714111328, 4.880318145362699, 3.750714021570542, 5.05593744913737]"
freesolv,1,5,100,L1Loss(),"[5.411340853063072, 7.667416381835937, 4.843813429073411, 3.695639150282916, 5.047382718040829]"
freesolv,1,5,100,L1Loss(),"[5.19676683007217, 7.363596343994141, 4.621331896100726, 3.5788203519933366, 4.835929598127093]"
freesolv,1,5,100,L1Loss(),"[4.7307912314810405, 6.8244873046875, 4.279960885339854, 3.373360847024357, 4.481116885230655]"
freesolv,1,5,100,L1Loss(),"[5.130357602747475, 7.131539916992187, 4.722609471301643, 3.6684374865363627, 4.694824945359003]"
freesolv,1,5,100,L1Loss(),"[5.040298089748475, 7.114363098144532, 4.664105746210838, 3.626407735487994, 4.631735665457589]"
freesolv,1,5,100,L1Loss(),"[4.966112881171994, 7.187042236328125, 4.538485604889539, 3.5482723460477943, 4.568406513759068]"
