dataset,epochs,num-folds,SEED,criterion,test_losses,,,,,
freesolv,300,5,200,L1Loss(),"[2.6474878608835914, 2.980846643447876, 1.9653639793395996, 3.005444786765359, 3.393650924950315]",,,,,
freesolv,300,5,200,L1Loss(),"[2.5186809193004263, 1.8289373646611753, 4.268638233262665, 4.471075649919181, 2.2363923725328947]",,,,,
freesolv,300,5,200,L1Loss(),"[1.8188629150390625, 2.143353254898735, 3.752096884591239, 4.493857021989493, 2.1413206803171256]",,,,,
freesolv,300,5,200,L1Loss(),"[2.4851727572354405, 2.0751433165177056, 4.022173149731694, 4.328280481798895, 2.229138022974918]",,,,,
freesolv,300,5,200,L1Loss(),"[2.5291501131924714, 2.3935838782269023, 3.076709334704341, 3.900978351461476, 2.4900599027934827]",,,,,
freesolv,300,5,200,L1Loss(),"[1.2745798631147904, 1.1498031616210938, 2.3405866856477697, 2.6104441675646552, 1.6387896286813837]",,,,,
freesolv,300,5,200,L1Loss(),"[1.334745303067294, 1.0606488974198052, 1.6749790600367955, 2.267646000303071, 1.7967960959986637]",,,,,
freesolv,300,5,200,L1Loss(),"[1.111004603992809, 1.0210602490798286, 1.2773350657248983, 1.9884170006061423, 1.289010198492753]",,,,,
freesolv,300,5,200,L1Loss(),"[1.0950943686745382, 0.9277473532635233, 1.4168758742663325, 2.2199925389783135, 1.0497770811382092]",,,,,
freesolv,300,5,200,L1Loss(),"[0.8484262293035334, 0.9056993671085524, 1.0229834926371673, 2.299847306876347, 1.5373798169587787]",,,,,
freesolv,300,5,200,L1Loss(),"[1.5943326776677913, 2.623026889303456, 2.5779926961782027, 3.9642365554283403, 2.1306473581414473]",,,,,
freesolv,300,5,200,L1Loss(),"[0.9216766357421875, 0.9823431346727454, 1.5098052608723542, 2.399706084152748, 1.7195239819978412]",,,,,
freesolv,300,5,200,L1Loss(),"[1.5018665660511363, 0.9678248944489852, 1.5488775681476203, 2.0717812899885506, 1.6648732235557155]",,,,,
freesolv,300,5,200,L1Loss(),"[0.7774449435147373, 1.0757187138433042, 1.3025398079229862, 1.744097479458513, 1.3900745793392784]",,,,,
freesolv,300,5,200,L1Loss(),"[0.955079477483576, 0.9363696056863536, 1.2409444010987574, 1.7958637106007542, 0.9385801616467928]",,,,,
freesolv,300,5,200,L1Loss(),"[0.8487292896617543, 0.9413353463877803, 1.1269237187443948, 2.2496793023471175, 1.5180145062898334]",,,,,
freesolv,300,5,200,L1Loss(),"[1.1580649636008522, 1.298143718553626, 2.2827555442342953, 1.04348820653455, 1.454473194323088]",,,,,
,,,,,1.158064964,1.298143719,2.282755544,1.043488207,1.454473194,1.447385125
