dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,300,L1Loss(),"[1.4214235941569011, 3.4837986628214517, 2.0286922555751903, 3.7640105738784326, 3.0861226620881452]"
freesolv,300,5,300,L1Loss(),"[2.10186029249622, 2.238781452178955, 1.3422766060664737, 4.5184502234825725, 4.044346721625767]"
freesolv,300,5,300,L1Loss(),"[2.504605693201865, 1.753353238105774, 1.6176907769564925, 4.062813685490535, 4.091846832712248]"
freesolv,300,5,300,L1Loss(),"[2.0888164889427925, 2.219424247741699, 1.5152332700532058, 4.147457416240986, 3.852464515982474]"
freesolv,300,5,300,L1Loss(),"[3.1679244502898185, 1.6229090690612793, 2.2229585318729796, 3.80984379695012, 4.1825643902176]"
freesolv,300,5,300,L1Loss(),"[0.8605681388608871, 0.8339462280273438, 1.2657511480923356, 2.8078085092397838, 2.2559965636832584]"
freesolv,300,5,300,L1Loss(),"[1.0381082104098411, 1.0868861675262451, 1.4748011621935615, 1.8684844970703125, 2.06394922611416]"
freesolv,300,5,300,L1Loss(),"[1.0294135309034778, 0.9398256540298462, 1.3834032519110318, 1.4748030442457933, 1.4741048442317908]"
freesolv,300,5,300,L1Loss(),"[1.515535662251134, 0.9262162446975708, 1.0633464681691136, 1.399479939387395, 1.351699626275123]"
freesolv,300,5,300,L1Loss(),"[1.1763528393160911, 0.7126514911651611, 1.0469206448259025, 3.1005595280573917, 0.9834894987703101]"
freesolv,300,5,300,L1Loss(),"[3.309329125189012, 1.6542919874191284, 2.447795473296067, 3.4965380155123196, 2.3421141579594837]"
freesolv,300,5,300,L1Loss(),"[1.2478978556971396, 1.2140899896621704, 1.6508073477909482, 1.8013070913461537, 1.617699543147487]"
freesolv,300,5,300,L1Loss(),"[1.151242902201991, 0.7761908769607544, 1.362219317206021, 3.4414652310884914, 1.5396627570466275]"
freesolv,300,5,300,L1Loss(),"[1.1717076455393145, 0.7669956684112549, 1.4452721168254983, 4.521322983961839, 1.351227929987059]"
freesolv,300,5,300,L1Loss(),"[1.2409183133033015, 0.6873995661735535, 0.9754530808021282, 1.0387232120220478, 1.217096746089756]"
freesolv,300,5,300,L1Loss(),"[1.5012269789172756, 0.7225881814956665, 0.9430532784297548, 2.496756627009465, 1.1510919286185735]"
