dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,300,MSELoss(),"[4.524250666300456, 26.19507344563802, 4.551684424990699, 16.126856948390152, 15.979109965891078]"
freesolv,300,5,300,MSELoss(),"[9.553326022240423, 11.753897666931152, 3.7574262947871766, 32.02742826021635, 27.49236286685998]"
freesolv,300,5,300,MSELoss(),"[9.11162345640121, 8.542583465576172, 4.64251656367861, 33.26560621995192, 35.80279516052371]"
freesolv,300,5,300,MSELoss(),"[9.268963229271673, 15.643022537231445, 4.722581534550108, 39.84711162860577, 25.600749758854967]"
freesolv,300,5,300,MSELoss(),"[9.964531683152721, 3.682393789291382, 5.21081858667834, 21.36535409780649, 20.543212453768053]"
freesolv,300,5,300,MSELoss(),"[2.4793533817414315, 1.7379963397979736, 1.8347683610587284, 13.992267315204327, 10.574671427408854]"
freesolv,300,5,300,MSELoss(),"[3.4311946745841735, 1.5990989208221436, 2.5173139900996766, 8.94368685208834, 6.854759731175709]"
freesolv,300,5,300,MSELoss(),"[3.3087310791015625, 1.3769201040267944, 2.6191811397157867, 5.316852276141827, 2.49166831112103]"
freesolv,300,5,300,MSELoss(),"[5.7534056632749495, 1.111339807510376, 2.3076821688948006, 3.816211407001202, 2.348351882279285]"
freesolv,300,5,300,MSELoss(),"[4.417560208228327, 0.785782516002655, 3.287117530559671, 16.744010338416466, 3.1356894058196336]"
freesolv,300,5,300,MSELoss(),"[10.929386261970766, 4.527909278869629, 10.452739847117456, 16.362037071814903, 8.442078385616373]"
freesolv,300,5,300,MSELoss(),"[3.489110146799395, 1.9069644212722778, 4.435341670595366, 5.5932793250450725, 3.616347611316143]"
freesolv,300,5,300,MSELoss(),"[3.114167736422631, 1.9698888063430786, 3.6960349247373383, 3.734258798452524, 4.275067194839196]"
freesolv,300,5,300,MSELoss(),"[3.3102124121881302, 1.4547123908996582, 4.084413199589171, 15.795758760892427, 4.210295601125144]"
freesolv,300,5,300,MSELoss(),"[3.6847197009671118, 0.7281807661056519, 2.3539452388368804, 3.659083733191857, 2.4615027928888678]"
freesolv,300,5,300,MSELoss(),"[3.2765926238029235, 1.5159224271774292, 2.495941162109375, 7.115067115196815, 2.277248655603951]"
