dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,1,5,200,MSELoss(),"[16.35916449099171, 9.904476249369234, 7.536839135546634, 21.582196687397204, 18.957212505918562]"
scgas,1,5,200,MSELoss(),"[13.000792641251518, 28.4732713575487, 24.12589991369913, 7.7510677991720005, 26.395100565159574]"
scgas,1,5,200,MSELoss(),"[11.27413387924324, 25.75773164823458, 21.738181890443315, 7.274992105464255, 23.803154089095745]"
scgas,1,5,200,MSELoss(),"[12.41096772834713, 27.294018237621753, 23.041782113008722, 7.589218016735292, 25.295935837765956]"
scgas,1,5,200,MSELoss(),"[10.180590197353432, 23.674579570819805, 20.11595828034157, 7.274873968372411, 21.93861369680851]"
scgas,1,5,200,MSELoss(),"[12.43613423640644, 27.23933390827922, 23.242604810138083, 7.573416302750108, 25.110239361702128]"
scgas,1,5,200,MSELoss(),"[12.222687397953372, 27.379375507305195, 23.22133050962936, 7.94029890791319, 25.27536984707447]"
scgas,1,5,200,MSELoss(),"[12.089941346920565, 26.95998630275974, 22.75944341615189, 7.626212134322857, 24.89177609707447]"
scgas,1,5,200,MSELoss(),"[10.822324806111407, 24.386213030133927, 20.588523687318315, 7.515487547985292, 22.96593666888298]"
scgas,1,5,200,MSELoss(),"[12.311299617206485, 27.509369292816558, 23.37489496275436, 7.874028775442318, 25.322834940159574]"
scgas,1,5,200,MSELoss(),"[12.239595841955877, 27.4516696682224, 23.096160178960755, 7.494257568078431, 25.356748670212767]"
scgas,1,5,200,MSELoss(),"[13.004945553377507, 28.389508928571427, 23.849927325581394, 7.67800176376852, 26.430753407579786]"
scgas,1,5,200,MSELoss(),"[12.040385398076777, 25.282565822849026, 21.40235226653343, 7.384031376986838, 23.826566655585108]"
scgas,1,5,200,MSELoss(),"[10.812759417954512, 22.934741528003247, 19.656005859375, 7.129678355261975, 21.70329330119681]"
scgas,1,5,200,MSELoss(),"[9.209671261533643, 18.030923422280843, 15.239845453306685, 6.6226502518384995, 17.6849609375]"
scgas,1,5,200,MSELoss(),"[10.723170784524985, 20.46415730265828, 17.477805913880815, 7.036934452034936, 19.64962391954787]"
