dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,1,5,300,L1Loss(),"[3.3643228998987667, 1.9785278987768644, 3.882177127814441, 3.989994264998526, 2.526642746523202]"
scgas,1,5,300,L1Loss(),"[2.0289839356613606, 2.8073930100233753, 3.3225028018823406, 4.367652263116399, 3.6824509564568015]"
scgas,1,5,300,L1Loss(),"[2.0571662303571263, 2.636093816659556, 3.283070609073511, 4.216894587245556, 3.5597117704503676]"
scgas,1,5,300,L1Loss(),"[1.9920411372659914, 2.737418217056847, 3.2550161476903314, 4.258128874892488, 3.571920237821691]"
scgas,1,5,300,L1Loss(),"[2.02355873850278, 2.7537091529681277, 3.3258118085413173, 4.347752562356652, 3.6637508616727943]"
scgas,1,5,300,L1Loss(),"[1.9892342535021157, 2.611360430581849, 3.1614113622063758, 4.077025247276376, 3.4337079216452207]"
scgas,1,5,300,L1Loss(),"[2.0356278682230227, 2.913457356215337, 3.439344982172819, 4.589319071638474, 3.837332332835478]"
scgas,1,5,300,L1Loss(),"[2.1016650898655023, 2.742999080098123, 3.362995736550965, 4.315241542431193, 3.614740349264706]"
scgas,1,5,300,L1Loss(),"[2.0026486073680667, 2.4765515463072827, 3.120939113949769, 3.9631552040030105, 3.322122012867647]"
scgas,1,5,300,L1Loss(),"[2.0287169336853386, 2.7379133725735922, 3.2635018777527267, 4.262290744606508, 3.584024586397059]"
scgas,1,5,300,L1Loss(),"[1.9951800025501676, 2.6360135127253095, 3.176322578583788, 4.1472579536088015, 3.4760113884420956]"
scgas,1,5,300,L1Loss(),"[2.0637754952362526, 2.600297461326347, 3.1972891788354656, 4.133413052340166, 3.481596823299632]"
scgas,1,5,300,L1Loss(),"[2.0022017377202705, 2.6342265505568294, 3.0976029978502515, 4.010816661589736, 3.3575697954963237]"
scgas,1,5,300,L1Loss(),"[2.0110667274537706, 2.560927181656179, 3.092073786178691, 4.087619886485808, 3.4175673540900737]"
scgas,1,5,300,L1Loss(),"[1.9268003331818306, 2.4937927801590054, 2.979598486983536, 3.76438973803039, 3.071362663717831]"
scgas,1,5,300,L1Loss(),"[1.8668846318199095, 2.4853636619038415, 2.7023688194735738, 3.5829193395212156, 2.840866806927849]"
