dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,100,MSELoss(),"[6.327129891447699, 6.29255265860722, 12.579946207928153, 6.011663520036947, 7.449305016224779]"
scgas,300,5,100,MSELoss(),"[3.694820719027738, 3.458822181008079, 8.473286148088649, 6.763727579574918, 5.381014817425994]"
scgas,300,5,100,MSELoss(),"[1.6089998997679544, 1.565727641133519, 2.2393991212117927, 2.4696967112445414, 2.170960925874256]"
scgas,300,5,100,MSELoss(),"[1.399908993222298, 1.3117169495526846, 2.3565725168134843, 2.3747197446864767, 1.7436100447258982]"
scgas,300,5,100,MSELoss(),"[1.6446827879739463, 1.05930444311786, 1.8621460477375469, 2.220647220528282, 1.6085202483092846]"
scgas,300,5,100,MSELoss(),"[0.9440264920575903, 1.003295943179688, 1.8362857462738698, 1.6005835054222672, 0.8807312323122608]"
scgas,300,5,100,MSELoss(),"[0.8379433308172664, 0.7437786581841382, 1.3458364831709617, 1.5357657353430336, 0.9104774630799586]"
scgas,300,5,100,MSELoss(),"[0.7988555628225344, 0.720005685632879, 1.1877180062598878, 1.3474899358624455, 0.846610062787322]"
scgas,300,5,100,MSELoss(),"[0.6254967505778741, 0.6857106036760591, 1.078645564047821, 0.723151927431598, 0.5901410563462446]"
scgas,300,5,100,MSELoss(),"[0.600045930354967, 0.6171083824201063, 0.9444598728479379, 0.7899278532469637, 0.672679005836954]"
scgas,300,5,100,MSELoss(),"[1.793988009111597, 1.3292858063400566, 2.1300149338237255, 2.108537765569562, 1.8224411529748619]"
scgas,300,5,100,MSELoss(),"[0.8988059507597477, 1.0251270507837271, 2.0445611712875627, 1.1956047491215203, 1.026511594551761]"
scgas,300,5,100,MSELoss(),"[0.7464130996564112, 1.0327467981871072, 2.5524085829282375, 0.9250723493151269, 0.8934142184095318]"
scgas,300,5,100,MSELoss(),"[0.565670555884685, 0.8713887482494503, 1.6799047009529922, 0.7048146943338053, 0.5093317810369997]"
scgas,300,5,100,MSELoss(),"[0.7604197230907755, 1.000210800525043, 1.1010598626424293, 0.9367599487304688, 0.5988243258729273]"
scgas,300,5,100,MSELoss(),"[0.6307536483904638, 0.9089815069038373, 1.22352112736447, 1.0390635661162664, 0.606601416659193]"
