dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,200,L1Loss(),"[2.4759054378587373, 1.7931817394639382, 3.5006492177571915, 2.7472816266511617, 2.9952325531930635]"
scgas,300,5,200,L1Loss(),"[1.443449778226572, 2.0299258541751217, 1.9356162492619005, 2.386440246371323, 1.8637830369015957]"
scgas,300,5,200,L1Loss(),"[0.8867104531493251, 1.0633806501116072, 1.2141927674759265, 1.167959004743464, 1.0465426181225066]"
scgas,300,5,200,L1Loss(),"[0.8877936139576056, 0.99588934167639, 1.1132545471191406, 1.0846229965859644, 0.9941973747091091]"
scgas,300,5,200,L1Loss(),"[0.8442399498903592, 1.051594523640422, 1.1052588529365008, 0.9555487506546003, 0.9771392172955452]"
scgas,300,5,200,L1Loss(),"[0.7055737853484774, 0.8442798961292614, 0.7487876359806505, 0.8625819005406493, 0.7689815440076463]"
scgas,300,5,200,L1Loss(),"[0.7212675982228461, 0.7901297234869623, 0.8171147191247274, 0.8456233280300408, 0.7478833137674534]"
scgas,300,5,200,L1Loss(),"[0.6621927699370633, 0.7661307198660714, 0.7138258468273074, 0.906566826191541, 0.7137534283577127]"
scgas,300,5,200,L1Loss(),"[0.5790690471885561, 0.6796867568771561, 0.5970550359681596, 0.6789953760777024, 0.7203653538480718]"
scgas,300,5,200,L1Loss(),"[0.5595328607941601, 0.7240376658253855, 0.6380875166072402, 0.6908666525117547, 0.7151110060671543]"
scgas,300,5,200,L1Loss(),"[0.9876590742665102, 0.9127444973239651, 1.0505918458450672, 1.117134024002198, 0.9196385160405585]"
scgas,300,5,200,L1Loss(),"[0.7745685368812534, 0.8415667050844663, 0.7548839657805687, 1.2954424560687348, 0.7442976281998005]"
scgas,300,5,200,L1Loss(),"[0.7813633563017353, 0.7770247025923296, 0.6538309496502543, 1.095912568999928, 0.6928746000249335]"
scgas,300,5,200,L1Loss(),"[0.6871697528973529, 0.8388709526557427, 0.5872986372127089, 1.05813967372249, 0.6539304692694481]"
scgas,300,5,200,L1Loss(),"[0.7533113982523921, 0.7244649614606585, 0.5964401599972747, 0.9445487001548565, 0.5693208735039894]"
scgas,300,5,200,L1Loss(),"[0.7202212958260555, 0.7549397357098468, 0.5544494806334029, 1.0466574173939378, 0.5624349391206782]"
