dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,300,MSELoss(),"[8.677123576293498, 15.716932294435374, 14.923849354619565, 11.989846283534789, 5.097245181899473]"
scgas,300,5,300,MSELoss(),"[7.7594720051129284, 3.8984297924888014, 7.426326879718959, 4.314229982708572, 6.768435489430147]"
scgas,300,5,300,MSELoss(),"[2.1943801754664145, 1.6911002583335555, 2.123613395946938, 1.8325847660729644, 1.697026331284467]"
scgas,300,5,300,MSELoss(),"[2.118720212267823, 1.5222954343203392, 1.9449954448930369, 1.409903710041571, 1.853123384363511]"
scgas,300,5,300,MSELoss(),"[1.5309743579359154, 1.5617211073874342, 1.5998137813286493, 1.8049064426247132, 1.2486095652860754]"
scgas,300,5,300,MSELoss(),"[1.6155145786012604, 1.0702097679025349, 1.3490035293886327, 1.1748688024118406, 1.4004955516142004]"
scgas,300,5,300,MSELoss(),"[2.371104679800841, 1.0097924580753053, 1.188334010591443, 1.1887918174813648, 1.1698387594784008]"
scgas,300,5,300,MSELoss(),"[1.070696921309441, 1.0873354151251644, 1.2733748263160654, 1.5520033530139048, 1.330025078268612]"
scgas,300,5,300,MSELoss(),"[0.8842406994013546, 0.7224527864597221, 0.7140002666703806, 0.8319221986543148, 0.7799528234145221]"
scgas,300,5,300,MSELoss(),"[1.0582646753416252, 0.6889820901742703, 0.7773180455969484, 0.979542163533902, 0.7652973848230699]"
scgas,300,5,300,MSELoss(),"[1.8140524073753939, 1.5909478249403397, 1.336202839076919, 1.5957001852333, 1.235519229664522]"
scgas,300,5,300,MSELoss(),"[2.2837912413048156, 1.2755847969966536, 1.2054893954488255, 0.997211841268277, 1.082705508961397]"
scgas,300,5,300,MSELoss(),"[2.045056896500403, 1.363756268775775, 0.809839952712091, 0.8097620272855146, 0.8488812614889706]"
scgas,300,5,300,MSELoss(),"[1.5451021183277769, 0.8845478964882635, 0.741819855350776, 0.6801189457604645, 0.8524439194623161]"
scgas,300,5,300,MSELoss(),"[1.1075670571008573, 0.7494862961145256, 0.5861488188673186, 0.6667866838087729, 0.6425642125746783]"
scgas,300,5,300,MSELoss(),"[1.1693054592763135, 0.7818692221440824, 0.6697382574913485, 0.5907196604877437, 0.6803528729607077]"
