dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,1,5,100,L1Loss(),"[2.9609020287695804, 2.4440974564098723, 2.319759954074357, 2.969736640334975, 2.080346743136195]"
solubility_only3,1,5,100,L1Loss(),"[2.910545615705595, 2.448975291052351, 3.166527971308282, 3.1858451348064496, 2.9966083046616308]"
solubility_only3,1,5,100,L1Loss(),"[2.365894463613704, 2.159395020517179, 2.6465517409304353, 2.5790653039913365, 2.4704852577866308]"
solubility_only3,1,5,100,L1Loss(),"[2.5550419304414516, 2.2567588097516, 2.8035846466713763, 2.7931910683744157, 2.673268880275701]"
solubility_only3,1,5,100,L1Loss(),"[2.6626526234352252, 2.319651623436563, 2.9564540132563164, 2.9037792847888304, 2.7625606612653923]"
solubility_only3,1,5,100,L1Loss(),"[1.9282954972912985, 1.9511625048248893, 2.1596020840583963, 2.0527383365777983, 2.0310856395999326]"
solubility_only3,1,5,100,L1Loss(),"[2.1881103769515002, 2.1166011477166626, 2.486206866325216, 2.3408457606014506, 2.260356599921422]"
solubility_only3,1,5,100,L1Loss(),"[2.7204934626371413, 2.3244413311345475, 3.013710143718314, 2.948828836741096, 2.7297575489574712]"
solubility_only3,1,5,100,L1Loss(),"[2.741894053936798, 2.397920174288184, 3.052238870174327, 2.9807899735286028, 2.8828395565614007]"
solubility_only3,1,5,100,L1Loss(),"[2.9609020287695804, 2.4440974564098723, 2.319759954074357, 2.969736640334975, 2.080346743136195]"
solubility_only3,1,5,100,L1Loss(),"[2.910545615705595, 2.448975291052351, 3.166527971308282, 3.1858451348064496, 2.9966083046616308]"
solubility_only3,1,5,100,L1Loss(),"[2.365894463613704, 2.159395020517179, 2.6465517409304353, 2.5790653039913365, 2.4704852577866308]"
solubility_only3,1,5,100,L1Loss(),"[2.5550419304414516, 2.2567588097516, 2.8035846466713763, 2.7931910683744157, 2.673268880275701]"
solubility_only3,1,5,100,L1Loss(),"[2.9609020287695804, 2.4440974564098723, 2.319759954074357, 2.969736640334975, 2.080346743136195]"
solubility_only3,1,5,100,L1Loss(),"[2.910545615705595, 2.448975291052351, 3.166527971308282, 3.1858451348064496, 2.9966083046616308]"
solubility_only3,1,5,100,L1Loss(),"[2.365894463613704, 2.159395020517179, 2.6465517409304353, 2.5790653039913365, 2.4704852577866308]"
solubility_only3,1,5,100,L1Loss(),"[2.5550419304414516, 2.2567588097516, 2.8035846466713763, 2.7931910683744157, 2.673268880275701]"
solubility_only3,1,5,100,L1Loss(),"[2.6812293739763153, 2.3075552530688266, 2.974112449808324, 2.9003134413783176, 2.754921742622426]"
solubility_only3,1,5,100,L1Loss(),"[1.8610933529160383, 1.931029977851417, 2.076280025725669, 1.95517014775208, 1.9464084549455454]"
solubility_only3,1,5,100,L1Loss(),"[2.1445502409720776, 2.121173685334777, 2.494883841656624, 2.3134223761731643, 2.30969159966273]"
solubility_only3,1,5,100,L1Loss(),"[2.612286610531926, 2.3108002895179993, 2.8774772400551654, 2.915145588655545, 2.7079884863847137]"
solubility_only3,1,5,100,L1Loss(),"[2.6567205597279275, 2.3462761576160043, 2.9836299977404006, 2.875179882490202, 2.7828045775558774]"
solubility_only3,1,5,100,L1Loss(),"[2.768365488671225, 2.391373146669483, 3.033262496298932, 3.003725427474388, 2.843047211501772]"
solubility_only3,1,5,100,L1Loss(),"[3.2036954908323367, 2.686160827513478, 3.4945772455093707, 3.4876742557068208, 3.2785183736030628]"
solubility_only3,1,5,100,L1Loss(),"[3.0031202065567806, 2.452826997236072, 3.264228090326837, 3.2663862272457713, 3.080977180935689]"
solubility_only3,1,5,100,L1Loss(),"[2.647670650640859, 2.242969289564954, 2.8130236686544214, 2.830303263480645, 2.682114455873603]"
solubility_only3,1,5,100,L1Loss(),"[2.7347125721453827, 2.380450632402477, 2.899262448574634, 2.9143659300012033, 2.7336291887902266]"
solubility_only3,1,5,100,L1Loss(),"[2.31370120437292, 2.212034033862465, 2.3734000591521567, 2.2885840219764164, 2.23890519300044]"
solubility_only3,1,5,100,L1Loss(),"[2.647214613420991, 2.515183411722891, 2.7070925286475647, 2.7195224740979955, 2.621676489217392]"
