dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,300,5,200,L1Loss(),"[1.2781020824428508, 1.6713781771777612, 1.3844191824407714, 1.4970608433465455, 1.3609733622902174]"
solubility_only3,300,5,200,L1Loss(),"[1.2319248706884955, 1.261694840450921, 1.1399863092389557, 1.1551942058812792, 1.1201876645588744]"
solubility_only3,300,5,200,L1Loss(),"[0.8851067111556816, 0.8907588537169917, 0.8128304247203892, 0.8352658922427169, 0.8951796582108327]"
solubility_only3,300,5,200,L1Loss(),"[0.9863075785117574, 0.888332877626102, 0.826459436302641, 0.9033067863678264, 1.0118549109069777]"
solubility_only3,300,5,200,L1Loss(),"[0.7969281068917651, 0.8581237107488559, 0.7760787396475297, 0.7751487999318916, 0.8143374857793385]"
solubility_only3,300,5,200,L1Loss(),"[0.8384001884181285, 0.825700902124835, 0.7457894810325755, 0.7705996718362113, 0.8285663487314707]"
solubility_only3,300,5,200,L1Loss(),"[0.8232619523283637, 0.8225485226750266, 0.7440391631715326, 0.7519394847834222, 0.8626466192593232]"
solubility_only3,300,5,200,L1Loss(),"[0.8636316306828118, 0.7484816271018467, 0.7226299372010655, 0.7388581106595904, 0.7641864827795112]"
solubility_only3,300,5,200,L1Loss(),"[0.7913718517104767, 0.6347154067211717, 0.643018289391263, 0.6381389974433685, 0.6641946143772814]"
solubility_only3,300,5,200,L1Loss(),"[0.7824189822015915, 0.6928549644010943, 0.6400595787828504, 0.6672044344037493, 0.6657777227749482]"
solubility_only3,300,5,200,L1Loss(),"[0.8708954448593212, 0.8901879926683233, 0.8106536763914395, 0.7360061182039921, 0.8367013065666313]"
solubility_only3,300,5,200,L1Loss(),"[0.8394396778226566, 0.8067698243064915, 0.7747571116899589, 0.7249883883467344, 0.7724435711433875]"
solubility_only3,300,5,200,L1Loss(),"[0.8186916855456139, 0.7793843834012453, 0.7605815801329189, 0.6462891801495418, 0.7713496833686859]"
solubility_only3,300,5,200,L1Loss(),"[0.7056661434231059, 0.7016397289402937, 0.7192465286964123, 0.6266336744076738, 0.6947239105778599]"
solubility_only3,300,5,200,L1Loss(),"[0.6005322657111797, 0.6145472496560535, 0.6054426803690187, 0.506035216500826, 0.5347898945435823]"
solubility_only3,300,5,200,L1Loss(),"[0.5819906759405773, 0.64433976796331, 0.6008397744471333, 0.5060307636439243, 0.5623316956770731]"
