dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,300,5,200,L1Loss(),"[1.3110154295885574, 1.6008782171819875, 1.2659408327132937, 1.502049135358146, 1.3809400199335924]"
solubility_only3,300,5,200,L1Loss(),"[1.3853805088760829, 1.2820555900306394, 1.1163767273840834, 1.2282096221068195, 1.1427804996577793]"
solubility_only3,300,5,200,L1Loss(),"[1.0027167410158773, 0.9482775034394654, 0.8243509523105494, 0.915994790335682, 0.9505837070913699]"
solubility_only3,300,5,200,L1Loss(),"[0.9810932765374448, 0.9428625389572103, 0.8414955595100069, 0.914763495186779, 0.9598799105601322]"
solubility_only3,300,5,200,L1Loss(),"[0.8772619003578347, 0.8898592226588823, 0.7870430306767721, 0.7728825185900536, 0.8746943665755106]"
solubility_only3,300,5,200,L1Loss(),"[0.8361423999853704, 0.871567937777263, 0.76180887412265, 0.8023477714752483, 0.824310302734375]"
solubility_only3,300,5,200,L1Loss(),"[0.8995765689319442, 0.848608656178052, 0.7484610812122603, 0.7828853963691498, 0.8051870055526095]"
solubility_only3,300,5,200,L1Loss(),"[0.7703550209836922, 0.8348732782931126, 0.7469555473580937, 0.747486627881772, 0.7562537791696984]"
solubility_only3,300,5,200,L1Loss(),"[0.8230257465364191, 0.6532205854143415, 0.6380490661458982, 0.6367559949928355, 0.6558478038519879]"
solubility_only3,300,5,200,L1Loss(),"[0.7105053471841537, 0.6319126016046159, 0.6299765030859634, 0.6389162402286708, 0.6546176347378774]"
solubility_only3,300,5,200,L1Loss(),"[0.8282996451500619, 0.9195830558509518, 0.7431604960366865, 0.7611147087311076, 0.8524310466522482]"
solubility_only3,300,5,200,L1Loss(),"[0.8595433984396019, 0.8191991910566002, 0.7687090180942895, 0.7555080877286251, 0.788303763638732]"
solubility_only3,300,5,200,L1Loss(),"[0.7769525390835195, 0.7721338263526224, 0.7491292510216296, 0.6948838242860598, 0.7017374738709796]"
solubility_only3,300,5,200,L1Loss(),"[0.7563601365337791, 0.7336200738103135, 0.7178000542588759, 0.6213500691351489, 0.7071363032099386]"
solubility_only3,300,5,200,L1Loss(),"[0.5793128668415203, 0.6053268247537535, 0.5946084436667393, 0.5016428974187263, 0.5569134646734104]"
solubility_only3,300,5,200,L1Loss(),"[0.5963346536335019, 0.5819169256136638, 0.6072748597083022, 0.4811641657463858, 0.5429712549945738]"
