dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,300,5,200,MSELoss(),"[2.680167371137285, 4.0476529769269405, 2.5354271482898714, 3.5940078563904496, 3.2749903340782547]"
solubility_only3,300,5,200,MSELoss(),"[2.9258211737709523, 3.2766078870144386, 2.1520075500407225, 2.670338646719389, 2.128575253505451]"
solubility_only3,300,5,200,MSELoss(),"[1.987492390968037, 1.6967136900594184, 1.1598006118024646, 1.4146323836852457, 1.496507796699265]"
solubility_only3,300,5,200,MSELoss(),"[2.0133848021988, 1.765230602117026, 1.254694995652157, 1.4082437069616585, 1.5336746420555445]"
solubility_only3,300,5,200,MSELoss(),"[1.3166281363084509, 1.4509465302418505, 0.9979929626383788, 1.1287294940413715, 1.3471972579173244]"
solubility_only3,300,5,200,MSELoss(),"[1.8852284596082316, 1.3665987753375415, 1.036642603981859, 1.1559758765675197, 1.2268699880839335]"
solubility_only3,300,5,200,MSELoss(),"[1.5879240984348095, 1.3355102196322404, 0.9553562027524667, 1.1021016842851015, 1.2566242654585142]"
solubility_only3,300,5,200,MSELoss(),"[1.3031924145518323, 1.224525389966939, 1.0728604087474969, 1.10653544274446, 1.0407706895209525]"
solubility_only3,300,5,200,MSELoss(),"[2.410442376927061, 0.8198225530331347, 0.7359919351727205, 0.8042448845979209, 0.8297795248295062]"
solubility_only3,300,5,200,MSELoss(),"[1.2837775070709347, 0.866488173108645, 0.7039286802172819, 0.7660035177926037, 0.9509609255531029]"
solubility_only3,300,5,200,MSELoss(),"[1.3659603596759982, 1.5237720143334457, 1.0380172526852227, 1.169377927691023, 1.169543572646384]"
solubility_only3,300,5,200,MSELoss(),"[1.3291485277784316, 1.1844485780727938, 1.05780538429777, 0.9717480311883944, 1.1169184780346662]"
solubility_only3,300,5,200,MSELoss(),"[1.434180139417644, 1.2443225788620282, 1.0302328132538205, 0.8486441995495948, 1.002621645426882]"
solubility_only3,300,5,200,MSELoss(),"[1.104170045101381, 1.0748661106380384, 0.9246411773154777, 0.7008935233142889, 0.7878083166590618]"
solubility_only3,300,5,200,MSELoss(),"[0.8897236213569132, 0.661992541756163, 0.695540865104037, 0.49335730365503616, 0.6688196292145571]"
solubility_only3,300,5,200,MSELoss(),"[0.7673911966232714, 0.6302293364464004, 0.6662848524521705, 0.4720136392896421, 0.6444882917517081]"
solubility_only3,300,5,200,MSELoss(),"[2.711496525139311, 4.009965502575583, 2.8021612996327003, 3.3433690182381697, 3.253660256482653]"
solubility_only3,300,5,200,MSELoss(),"[2.917472271174128, 3.1425136213139813, 2.2166464148289653, 2.1796530393796547, 2.2227855944313584]"
solubility_only3,300,5,200,MSELoss(),"[1.3823625266526314, 1.4402771475929883, 1.221963140277432, 1.2813943524226965, 1.4813540728899468]"
solubility_only3,300,5,200,MSELoss(),"[1.7722995345878847, 1.6852546685039729, 1.2342570787407012, 1.5713678128251405, 1.6303330371016673]"
solubility_only3,300,5,200,MSELoss(),"[2.0324957819268255, 1.344163728424374, 1.0741060720496918, 1.1166410535295432, 1.276873292749852]"
solubility_only3,300,5,200,MSELoss(),"[1.2559493775517583, 1.229539218295938, 1.055429962685067, 1.1579174469564564, 1.310559905789081]"
solubility_only3,300,5,200,MSELoss(),"[2.066572487379937, 1.3145945601279094, 0.9808013075059787, 1.1378884110495309, 1.2421598728002294]"
solubility_only3,300,5,200,MSELoss(),"[1.527522257469463, 1.2135593177815975, 0.9472915173210155, 0.989506876580069, 1.128973933026465]"
solubility_only3,300,5,200,MSELoss(),"[2.662136476921512, 0.8038307868566796, 0.762833989157303, 0.6792886252715209, 0.8339619504812673]"
solubility_only3,300,5,200,MSELoss(),"[1.224221776797245, 0.891602042336134, 0.7830518441371234, 0.9406360430138133, 0.9723670917321305]"
solubility_only3,300,5,200,MSELoss(),"[2.3145292941424747, 1.546864608120297, 1.1184943048444245, 1.0927966358505676, 1.2388489443952866]"
solubility_only3,300,5,200,MSELoss(),"[2.431785409428978, 1.3950995199335445, 1.0696281139277526, 0.9177696014119086, 1.0385503008691175]"
solubility_only3,300,5,200,MSELoss(),"[1.2217861246149242, 1.0373769659023508, 1.0001201452328705, 0.745908894048673, 1.0816005836251974]"
solubility_only3,300,5,200,MSELoss(),"[1.250252036046633, 0.9469414751270496, 0.9984117383817595, 0.7062306163466979, 0.9340035815641649]"
solubility_only3,300,5,200,MSELoss(),"[0.9019943874456017, 0.739991440820137, 0.6969736512122084, 0.5233215652893637, 0.6324505041976002]"
solubility_only3,300,5,200,MSELoss(),"[0.8712425084140759, 0.6753739376702185, 0.6239808425802, 0.45569021991480174, 0.6611506485430951]"
