dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,1,2,200,L1Loss(),"[2.622707559999787, 2.604998039328693]"
scgas,1,2,200,L1Loss(),"[2.5199632711856506, 2.5030304482928614]"
scgas,1,2,200,L1Loss(),"[2.4818644404487684, 2.466561957096]"
scgas,1,2,200,L1Loss(),"[2.455312321997086, 2.446344178888295]"
scgas,1,2,200,L1Loss(),"[2.593354424935438, 2.5245727304462284]"
scgas,1,2,200,L1Loss(),"[2.5194581720326514, 2.4480988956429424]"
scgas,1,2,200,L1Loss(),"[2.575231895471215, 2.4964427080465996]"
scgas,1,2,200,L1Loss(),"[2.4578669057451403, 2.3939351308506165]"
scgas,1,2,200,L1Loss(),"[2.583910686094588, 2.510618914861392]"
scgas,1,2,200,L1Loss(),"[2.4451356896370515, 2.382470022784373]"
scgas,1,2,200,L1Loss(),"[2.4404207775792885, 2.372060425078388]"
scgas,1,2,200,L1Loss(),"[2.528566828452189, 2.4654813494001115]"
scgas,1,2,200,L1Loss(),"[2.4737547312998602, 2.4229817753950043]"
scgas,1,2,200,L1Loss(),"[2.5176977759977706, 2.4377368093682437]"
scgas,1,2,200,L1Loss(),"[1.9448611976090797, 1.9724314932178642]"
scgas,1,2,200,L1Loss(),"[1.8129501416086005, 1.828144005061265]"
