dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,100,MSELoss(),"[6.150399525960286, 5.242617876101763, 5.400340447059045, 5.433693421192658, 5.508022710538139]"
scgas,300,5,100,MSELoss(),"[4.615162482628455, 4.094345630743565, 4.049773436326247, 4.3207702147655, 4.478840739582293]"
scgas,300,5,100,MSELoss(),"[1.5318184387989533, 1.3927880311623597, 1.3483553910866761, 1.4474147405379858, 1.3616760302656374]"
scgas,300,5,100,MSELoss(),"[1.4700837257580879, 1.3075845669477413, 1.1215431262285283, 1.290159286596836, 1.3107098222921452]"
scgas,300,5,100,MSELoss(),"[1.0643840936514049, 0.9756178733630058, 1.2436137199401855, 1.1537723418993828, 1.0131802543664512]"
scgas,300,5,100,MSELoss(),"[0.8260191770700308, 0.7697109197958921, 0.9128370651831994, 0.9161865894611065, 0.8238964507374139]"
scgas,300,5,100,MSELoss(),"[0.7705699113699106, 0.7818471468411959, 0.9158124190110427, 0.8167628263815855, 0.7372816286909695]"
scgas,300,5,100,MSELoss(),"[0.6571551102858323, 0.5966492799612192, 0.8596205833630685, 0.6981388972355769, 0.5866569055916783]"
scgas,300,5,100,MSELoss(),"[0.6094788588010348, 0.5302269886701535, 0.6829146483005621, 0.7580066705361391, 0.5575052572134584]"
scgas,300,5,100,MSELoss(),"[0.5833599750812237, 0.5027688099787786, 0.7091014446356357, 0.6540579306773651, 0.5468462008637742]"
