dataset,epochs,num-folds,SEED,criterion,test_losses
solubility,300,5,100,L1Loss(),"[0.8739875832582131, 0.8479179734450121, 0.8699680895683093, 0.8621197509765625, 0.8651058466432039]"
solubility,300,5,100,L1Loss(),"[0.7595271379519731, 0.7280775921161358, 0.7412495539738582, 0.7384437795785758, 0.7506981794031274]"
solubility,300,5,100,L1Loss(),"[0.7511980966421274, 0.7278886022323218, 0.75223145313752, 0.7492574838491587, 0.7388507487708007]"
solubility,300,5,100,L1Loss(),"[0.736566420335036, 0.7050037325345553, 0.7132590034680488, 0.7176114987104367, 0.7097954452342851]"
solubility,300,5,100,L1Loss(),"[0.7225058531149839, 0.7063134061373197, 0.7377701705541366, 0.7157113843086438, 0.710385458252203]"
solubility,300,5,100,L1Loss(),"[0.834790273813101, 0.8050565748948317, 0.8645820109049479, 0.8519004860902444, 0.829246786502147]"
solubility,300,5,100,L1Loss(),"[0.7298116595928485, 0.6893317276392228, 0.6850010837652745, 0.705247826209435, 0.724934006908655]"
solubility,300,5,100,L1Loss(),"[0.7119656137319712, 0.676470704690004, 0.6909900606595553, 0.6571168009440104, 0.6614655931017904]"
solubility,300,5,100,L1Loss(),"[0.6218123841897035, 0.6018132136418269, 0.647841049585587, 0.6159846770457732, 0.6304006312984283]"
solubility,300,5,100,L1Loss(),"[0.5635394365359575, 0.5677247776129307, 0.566351075783754, 0.5764796447753906, 0.5602604993900233]"
