dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_cherry2,1,2,100,L1Loss(),"[2.515673718644899, 2.481006327297516]"
solubility_cherry2,1,2,100,L1Loss(),"[2.8133191985399733, 2.7504147955238807]"
solubility_cherry2,1,2,100,L1Loss(),"[2.497500617194069, 2.4373565106027413]"
solubility_cherry2,1,2,100,L1Loss(),"[2.6049715871768147, 2.537243122852482]"
solubility_cherry2,1,2,100,L1Loss(),"[2.515673718644899, 2.481006327297516]"
solubility_cherry2,1,2,100,L1Loss(),"[2.8133191985399733, 2.7504147955238807]"
solubility_cherry2,1,2,100,L1Loss(),"[2.497500617194069, 2.4373565106027413]"
solubility_cherry2,1,2,100,L1Loss(),"[2.6049715871768147, 2.537243122852482]"
solubility_cherry2,1,2,100,L1Loss(),"[2.631923713170894, 2.6387898407290264]"
solubility_cherry2,1,2,100,L1Loss(),"[2.1841923735066913, 2.1786435436598524]"
solubility_cherry2,1,2,100,L1Loss(),"[2.361232124636526, 2.357593316610713]"
solubility_cherry2,1,2,100,L1Loss(),"[2.648894237295929, 2.639909359030434]"
solubility_cherry2,1,2,100,L1Loss(),"[2.7013770270240682, 2.694039600255163]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.974078163865436, 2.9665857420670987]"
solubility_cherry2,1,2,100,L1Loss(),"[2.9405694114787697, 2.9388587949949914]"
solubility_cherry2,1,2,100,L1Loss(),"[2.656933388474811, 2.652509547808437]"
solubility_cherry2,1,2,100,L1Loss(),"[2.675246398652081, 2.7114634818492034]"
solubility_cherry2,1,2,100,L1Loss(),"[2.4936773052130046, 2.49426615000359]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.515673718644899, 2.481006327297516]"
solubility_cherry2,1,2,100,L1Loss(),"[2.8133191985399733, 2.7504147955238807]"
solubility_cherry2,1,2,100,L1Loss(),"[2.497500617194069, 2.4373565106027413]"
solubility_cherry2,1,2,100,L1Loss(),"[2.6049715871768147, 2.537243122852482]"
solubility_cherry2,1,2,100,L1Loss(),"[2.6552292212242503, 2.662813694160152]"
solubility_cherry2,1,2,100,L1Loss(),"[2.193542815751559, 2.19000475365494]"
solubility_cherry2,1,2,100,L1Loss(),"[2.4087349930151696, 2.412847235448102]"
solubility_cherry2,1,2,100,L1Loss(),"[2.591872436797138, 2.5907332132386935]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.534986986921507, 2.4804536246099005]"
solubility_cherry2,1,2,100,L1Loss(),"[2.8115088903315932, 2.7374922122369565]"
solubility_cherry2,1,2,100,L1Loss(),"[2.4971675992546594, 2.436148839530269]"
solubility_cherry2,1,2,100,L1Loss(),"[2.614633342931089, 2.5502431391066325]"
solubility_cherry2,1,2,100,L1Loss(),"[2.652122429133531, 2.6624110482033525]"
solubility_cherry2,1,2,100,L1Loss(),"[2.194267036882751, 2.1892425461858678]"
solubility_cherry2,1,2,100,L1Loss(),"[2.411118566401871, 2.403363136987573]"
solubility_cherry2,1,2,100,L1Loss(),"[2.5647851097209573, 2.595900637556742]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.905168829263593, 2.9156913629055987]"
solubility_cherry2,1,2,100,L1Loss(),"[2.5704574790236125, 2.5550330922465183]"
solubility_cherry2,1,2,100,L1Loss(),"[2.8817548743277923, 2.8590295924597378]"
solubility_cherry2,1,2,100,L1Loss(),"[2.9267224093723723, 2.918799476649189]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.513861261889539, 2.480195548924008]"
solubility_cherry2,1,2,100,L1Loss(),"[2.8126203870559485, 2.736333720915469]"
solubility_cherry2,1,2,100,L1Loss(),"[2.4977677144277255, 2.437235473277082]"
solubility_cherry2,1,2,100,L1Loss(),"[2.6159023336230907, 2.5385428802551804]"
solubility_cherry2,1,2,100,L1Loss(),"[2.654627805974986, 2.6624229309725083]"
solubility_cherry2,1,2,100,L1Loss(),"[2.1951831013632463, 2.1915072843221988]"
solubility_cherry2,1,2,100,L1Loss(),"[2.3488791700970433, 2.363408020060577]"
solubility_cherry2,1,2,100,L1Loss(),"[2.653735912648017, 2.65638365891984]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.7478769755684205, 2.7589699378117296]"
solubility_cherry2,1,2,100,L1Loss(),"[2.708556430970607, 2.7159902901426074]"
solubility_cherry2,1,2,100,L1Loss(),"[2.9871029293590596, 2.9995053019178366]"
solubility_cherry2,1,2,100,L1Loss(),"[2.669766474839283, 2.6821160041759486]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[nan, nan]"
solubility_cherry2,1,2,100,L1Loss(),"[2.5081021775044667, 2.451197569692544]"
