dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_cherry2,300,5,100,MSELoss(),"[2.575462786071504, 2.7060796284354858, 2.5571177187521896, 2.6599243232487564, 2.6992494556416315]"
solubility_cherry2,300,5,100,MSELoss(),"[1.8695474462124264, 2.001427483665569, 1.9415217515064462, 1.9023946069281197, 1.9457739223619135]"
solubility_cherry2,300,5,100,MSELoss(),"[1.132671578582627, 1.1562071488042582, 1.1468496621991486, 1.312249016868694, 1.2230387198824841]"
solubility_cherry2,300,5,100,MSELoss(),"[1.1022055245301114, 1.1199389573169931, 1.1192594451220046, 1.2194129533297278, 1.2283801850818452]"
solubility_cherry2,300,5,100,MSELoss(),"[0.8354994256400207, 0.8522762076202529, 0.8398041832072852, 0.9130177861371918, 0.8433174795797225]"
solubility_cherry2,300,5,100,MSELoss(),"[0.8206306252244342, 0.8204070719902825, 0.8379553380033895, 0.9253887552851519, 0.8242543367444634]"
solubility_cherry2,300,5,100,MSELoss(),"[0.8017771682397132, 0.8440067821554005, 0.8080585462630062, 0.8802755552557017, 0.8604150339334953]"
solubility_cherry2,300,5,100,MSELoss(),"[0.7632620772973304, 0.7513238539075637, 0.7607906752103113, 0.8349836204084046, 0.7848747274788822]"
solubility_cherry2,300,5,100,MSELoss(),"[0.7524236242867371, 0.7080417171187465, 0.7553072959318289, 0.7796540281697774, 0.7574795421098127]"
solubility_cherry2,300,5,100,MSELoss(),"[0.8214203958554118, 0.8255502418552279, 0.8553731259743729, 0.8321611036634231, 0.7793254692013524]"
solubility_cherry2,300,5,100,MSELoss(),"[0.7210562410910568, 0.7520243554906461, 0.7006871261938805, 0.7451834828329728, 0.7562063778147978]"
solubility_cherry2,300,5,100,MSELoss(),"[1.0682896498607413, 0.6332835637935074, 0.6056331412140029, 0.6388095547800107, 0.6795591210116859]"
solubility_cherry2,300,5,100,MSELoss(),"[0.5767951118571876, 0.5308819715217624, 0.518973812394078, 0.5631021362783662, 0.5457425499496674]"
solubility_cherry2,300,5,100,MSELoss(),"[0.5093866399585398, 0.4497787877583183, 0.4580765754118094, 0.43120321778438553, 0.43456357213295477]"
