dataset,epochs,num-folds,SEED,criterion,test_losses
solubility_only3,1,2,300,L1Loss(),"[2.670710579293673, 2.673326061169759]"
solubility_only3,1,2,300,L1Loss(),"[2.814321757665749, 2.8278351767904906]"
solubility_only3,1,2,300,L1Loss(),"[2.679475433405197, 2.7019899656146853]"
solubility_only3,1,2,300,L1Loss(),"[2.9556875732644223, 2.970511905592882]"
solubility_only3,1,2,300,L1Loss(),"[2.945044595687116, 2.9891275448867516]"
solubility_only3,1,2,300,L1Loss(),"[2.54916451320405, 2.604837724567138]"
solubility_only3,1,2,300,L1Loss(),"[2.662476586513832, 2.707402768342391]"
solubility_only3,1,2,300,L1Loss(),"[3.0728066310639375, 3.1201645790133097]"
solubility_only3,1,2,300,L1Loss(),"[3.142771569757514, 3.1953772447821818]"
solubility_only3,1,2,300,L1Loss(),"[2.937190821913422, 2.957843199585989]"
solubility_only3,1,2,300,L1Loss(),"[2.76629249558857, 2.8188572151362963]"
solubility_only3,1,2,300,L1Loss(),"[2.61236544471838, 2.6563760439193036]"
solubility_only3,1,2,300,L1Loss(),"[2.8020164058942396, 2.8357836408330725]"
solubility_only3,1,2,300,L1Loss(),"[2.870274528128202, 2.9096439464906885]"
solubility_only3,1,2,300,L1Loss(),"[2.768528839278091, 2.8144589603666343]"
solubility_only3,1,2,300,L1Loss(),"[2.9712075822340336, 3.0175580207725714]"
solubility_only3,1,2,300,L1Loss(),"[2.757961085585297, 2.7723840773851864]"
solubility_only3,1,2,300,L1Loss(),"[3.0815850207497295, 3.098050053885443]"
solubility_only3,1,2,300,L1Loss(),"[2.8690918469038165, 2.895393870019598]"
solubility_only3,1,2,300,L1Loss(),"[3.1136978649702227, 3.1309411534952623]"
solubility_only3,1,2,300,L1Loss(),"[3.0216822389696465, 3.0632058848505435]"
solubility_only3,1,2,300,L1Loss(),"[2.9409231244974885, 3.013427261988177]"
solubility_only3,1,2,300,L1Loss(),"[3.138046862214858, 3.187306112996706]"
solubility_only3,1,2,300,L1Loss(),"[2.9358921294221028, 2.975782728292881]"
solubility_only3,1,2,300,L1Loss(),"[2.6462212512184795, 2.6853786636098977]"
solubility_only3,1,2,300,L1Loss(),"[2.844060289838058, 2.8893483885051503]"
solubility_only3,1,2,300,L1Loss(),"[3.185663275379952, 3.21191404860627]"
solubility_only3,1,2,300,L1Loss(),"[3.1835393436619492, 3.228313193352706]"
solubility_only3,1,2,300,L1Loss(),"[2.723593081281485, 2.774270456905873]"
solubility_only3,1,2,300,L1Loss(),"[2.7956159553458346, 2.845393211456792]"
solubility_only3,1,2,300,L1Loss(),"[2.9462656045437727, 2.989409754332176]"
solubility_only3,1,2,300,L1Loss(),"[2.812584659875199, 2.868327397190843]"
