smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
COC(F)(F)C(F)(F)C(F)(F)F,0.486,0.662,0.443
COC(F)(F)C(F)(F)F,0.587,0.668,0.241
Brc1cc(Br)c(cc1)Oc1ccc(Br)c(Br)c1Br,0.553,0.87,0.808
Clc1c(Oc2ccccc2)c(Cl)ccc1Cl,0.511,0.724,0.702
Clc1cc(Oc2ccccc2)c(Cl)c(Cl)c1,0.51,0.696,0.705
CC(C)C(C(=O)OC(C#N)c1cccc(c1)Oc1ccc(Br)cc1)c1ccc(cc1)OC(F)F,0.206,0.294,0.371
Clc1ccc(cc1)Oc1c(Cl)cccc1Cl,0.51,0.677,0.652
Clc1ccc(cc1)Oc1cccc(Cl)c1Cl,0.511,0.696,0.576
Clc1cc(Cl)c(cc1)Oc1cc(Cl)ccc1,0.51,0.649,0.656
Clc1cc2c(c(Cl)c1Cl)c(Cl)ccc2Cl,0.669,1.11,1.188
COc1ccc(cc1NNC(=O)OC(C)C)-c1ccccc1,0.298,0.407,0.508
CC(C)N(C(=O)COc1[n][n]c([s]1)C(F)(F)F)c1ccc(F)cc1,0.293,0.381,0.451
CS(=O)(=O)c1cc(ccc1C(=O)c1c[n]oc1C1CC1)C(F)(F)F,0.314,0.46,0.614
CCCC(=O)c1c(C)cc(C)c(C2CC(=O)C(=C(O)C2)C(CC)=NOCC)c1C,0.248,0.409,0.563
O=C1c2cc(F)ccc2N=C(N1c1ccc(Cl)cc1Cl)[n]1c[n]c[n]1,0.325,0.474,0.62
CC(=NOC)c1cccc(Oc2[n]c(cc([n]2)OC)OC)c1C(=O)OC,0.245,0.382,0.51
CC1(CC(=NN1c1ccc(Cl)cc1Cl)C(=O)OCC)C(=O)OCC,0.314,0.481,0.624
CCC1(CC2(CO2)c2cc(Cl)ccc2)C(=O)c2ccccc2C1=O,0.349,0.54,0.642
N#Cc1c[nH]cc1-c1cccc2OC(F)(F)Oc21,0.419,0.557,0.685
Cc1[n]c[n]c(NC(CC)c2ccc(cc2)OC(F)F)c1Cl,0.312,0.454,0.486
