target,pred
-3.099999904632568359e+00,-3.275864362716674805e+00
-2.467999935150146484e+00,-2.366878747940063477e+00
-6.307000160217285156e+00,-6.909218311309814453e+00
-4.429999828338623047e+00,-4.140044212341308594e+00
-4.230000019073486328e+00,-4.286154747009277344e+00
-1.840000033378601074e+00,-1.848445057868957520e+00
-4.633999824523925781e+00,-4.767972469329833984e+00
-1.899000048637390137e+00,-2.963021278381347656e+00
-4.119999885559082031e+00,-4.253603935241699219e+00
-3.028000116348266602e+00,-3.153126478195190430e+00
-4.019999980926513672e+00,-4.524930477142333984e+00
-4.400000095367431641e+00,-4.368892192840576172e+00
-1.600000023841857910e+00,-1.049999713897705078e+00
-4.429999828338623047e+00,-4.535307884216308594e+00
-5.283999919891357422e+00,-5.722880840301513672e+00
-4.159999847412109375e+00,-3.523602724075317383e+00
-1.620000004768371582e+00,-1.133660316467285156e+00
-3.499000072479248047e+00,-3.752985715866088867e+00
-4.079999923706054688e+00,-4.616156578063964844e+00
-6.000000238418579102e-01,-2.676758170127868652e-01
-6.200000047683715820e-01,-6.217883229255676270e-01
-4.000000059604644775e-01,-2.255193144083023071e-01
-2.819999933242797852e+00,-2.578911781311035156e+00
-3.200000047683715820e+00,-3.095582723617553711e+00
-4.210000038146972656e+00,-4.628095626831054688e+00
-1.519999980926513672e+00,-1.681192278861999512e+00
-1.809999942779541016e+00,-1.805295348167419434e+00
-2.349999904632568359e+00,-1.992546319961547852e+00
-3.369999885559082031e+00,-3.255685091018676758e+00
-7.277999877929687500e+00,-6.943264007568359375e+00
-6.250000000000000000e+00,-6.612392425537109375e+00
-6.240000128746032715e-01,-7.804130911827087402e-01
-2.589999914169311523e+00,-2.632001876831054688e+00
-7.659999847412109375e+00,-8.650792121887207031e+00
-1.299999952316284180e+00,-1.435861706733703613e+00
-2.359999895095825195e+00,-2.375552177429199219e+00
-1.500000059604644775e-01,-1.393834799528121948e-01
8.500000238418579102e-01,6.512106657028198242e-01
5.799999833106994629e-01,7.512038350105285645e-01
-4.678999900817871094e+00,-5.081258296966552734e+00
-5.899999737739562988e-01,-5.800828337669372559e-01
9.399999976158142090e-01,1.140483379364013672e+00
-7.200000286102294922e-01,-6.182858943939208984e-01
-4.432000160217285156e+00,-4.626573562622070312e+00
-3.220000028610229492e+00,-2.954428434371948242e+00
-6.301000118255615234e+00,-6.131636619567871094e+00
-1.009999990463256836e+00,-1.181516051292419434e+00
-1.159999966621398926e+00,-1.672719836235046387e+00
-1.990000009536743164e+00,-2.211749553680419922e+00
-2.329999923706054688e+00,-2.336439609527587891e+00
-4.239999771118164062e+00,-4.040809154510498047e+00
-4.500000000000000000e+00,-5.263145446777343750e+00
-8.000000000000000000e+00,-8.435437202453613281e+00
-3.180000066757202148e+00,-2.740553855895996094e+00
-7.400000095367431641e-01,-1.177848935127258301e+00
-4.400000095367431641e+00,-4.873535633087158203e+00
-1.807000041007995605e+00,-1.633273124694824219e+00
-6.960000038146972656e+00,-6.441234111785888672e+00
-7.199999809265136719e+00,-7.153431892395019531e+00
1.019999980926513672e+00,1.138905167579650879e+00
-6.860000133514404297e+00,-6.426320075988769531e+00
