target,pred
-3.099999904632568359e+00,-3.331485986709594727e+00
-2.467999935150146484e+00,-2.421584367752075195e+00
-6.307000160217285156e+00,-6.394050121307373047e+00
-4.429999828338623047e+00,-4.189646720886230469e+00
-4.230000019073486328e+00,-4.311913967132568359e+00
-1.840000033378601074e+00,-1.717478513717651367e+00
-4.633999824523925781e+00,-4.380898952484130859e+00
-1.899000048637390137e+00,-1.920379400253295898e+00
-4.119999885559082031e+00,-4.201808452606201172e+00
-3.028000116348266602e+00,-2.625472545623779297e+00
-4.019999980926513672e+00,-4.096374511718750000e+00
-4.400000095367431641e+00,-4.617786407470703125e+00
-1.600000023841857910e+00,-1.126344919204711914e+00
-4.429999828338623047e+00,-4.571506500244140625e+00
-5.283999919891357422e+00,-5.192325592041015625e+00
-4.159999847412109375e+00,-3.667521953582763672e+00
-1.620000004768371582e+00,-1.537014007568359375e+00
-3.499000072479248047e+00,-3.310021162033081055e+00
-4.079999923706054688e+00,-4.905200958251953125e+00
-6.000000238418579102e-01,-3.412376046180725098e-01
-6.200000047683715820e-01,-4.930740296840667725e-01
-4.000000059604644775e-01,-2.894751727581024170e-01
-2.819999933242797852e+00,-2.294836997985839844e+00
-3.200000047683715820e+00,-3.137324333190917969e+00
-4.210000038146972656e+00,-4.491582870483398438e+00
-1.519999980926513672e+00,-1.521428585052490234e+00
-1.809999942779541016e+00,-1.803694248199462891e+00
-2.349999904632568359e+00,-1.969120025634765625e+00
-3.369999885559082031e+00,-3.313509464263916016e+00
-7.277999877929687500e+00,-7.217870235443115234e+00
-6.250000000000000000e+00,-6.341838836669921875e+00
-6.240000128746032715e-01,-7.405084371566772461e-01
-2.589999914169311523e+00,-2.592721700668334961e+00
-7.659999847412109375e+00,-8.565277099609375000e+00
-1.299999952316284180e+00,-1.469481468200683594e+00
-2.359999895095825195e+00,-2.113163948059082031e+00
-1.500000059604644775e-01,-3.740417957305908203e-02
8.500000238418579102e-01,4.135648012161254883e-01
5.799999833106994629e-01,5.690987706184387207e-01
-4.678999900817871094e+00,-5.192980766296386719e+00
-5.899999737739562988e-01,-3.955757617950439453e-01
9.399999976158142090e-01,9.883322119712829590e-01
-7.200000286102294922e-01,-6.172491908073425293e-01
-4.432000160217285156e+00,-4.527345180511474609e+00
-3.220000028610229492e+00,-2.671652317047119141e+00
-6.301000118255615234e+00,-6.046429634094238281e+00
-1.009999990463256836e+00,-1.164951562881469727e+00
-1.159999966621398926e+00,-1.677112579345703125e+00
-1.990000009536743164e+00,-1.832887887954711914e+00
-2.329999923706054688e+00,-1.746868133544921875e+00
-4.239999771118164062e+00,-4.322702407836914062e+00
-4.500000000000000000e+00,-5.073073863983154297e+00
-8.000000000000000000e+00,-8.554344177246093750e+00
-3.180000066757202148e+00,-2.456325531005859375e+00
-7.400000095367431641e-01,-1.065132617950439453e+00
-4.400000095367431641e+00,-4.965669631958007812e+00
-1.807000041007995605e+00,-1.990877628326416016e+00
-6.960000038146972656e+00,-6.587122917175292969e+00
-7.199999809265136719e+00,-6.773603439331054688e+00
1.019999980926513672e+00,9.353018403053283691e-01
-6.860000133514404297e+00,-6.376579284667968750e+00
-3.849999904632568359e+00,-4.157601356506347656e+00
-1.960000038146972656e+00,-2.032561302185058594e+00
-2.676000118255615234e+00,-2.863866329193115234e+00
-4.280000209808349609e+00,-4.094684123992919922e+00
-7.110000133514404297e+00,-7.337839126586914062e+00
-2.059999942779541016e+00,-2.175367593765258789e+00
-3.400000095367431641e+00,-3.569430828094482422e+00
-3.369999885559082031e+00,-2.993215084075927734e+00
-5.889999866485595703e+00,-6.606773853302001953e+00
-2.029999971389770508e+00,-2.198249816894531250e+00
-3.589999914169311523e+00,-3.971803426742553711e+00
-4.300000190734863281e+00,-4.624135017395019531e+00
-3.759999990463256836e+00,-3.728723287582397461e+00
-3.460000038146972656e+00,-3.299661159515380859e+00
-4.289999961853027344e+00,-4.699635028839111328e+00
-4.113999843597412109e+00,-3.805441856384277344e+00
-4.300000190734863281e+00,-4.434680938720703125e+00
-4.099999904632568359e+00,-4.269837379455566406e+00
-4.571000099182128906e+00,-4.465939998626708984e+00
-2.084000110626220703e+00,-2.571579933166503906e+00
-1.929999947547912598e+00,-2.416260242462158203e+00
-3.299999952316284180e+00,-3.420694589614868164e+00
-3.569999933242797852e+00,-2.990265846252441406e+00
-2.430000066757202148e+00,-2.607136964797973633e+00
-4.328000068664550781e+00,-4.200728893280029297e+00
1.580000042915344238e+00,8.183494210243225098e-01
-4.260000228881835938e+00,-4.155041217803955078e+00
-2.670000076293945312e+00,-2.431451559066772461e+00
-5.280000209808349609e+00,-5.456143856048583984e+00
-7.250000000000000000e+00,-7.019188880920410156e+00
-3.536000013351440430e+00,-3.436507940292358398e+00
-1.600999951362609863e+00,-2.146920204162597656e+00
0.000000000000000000e+00,5.825480818748474121e-02
-4.314000129699707031e+00,-4.025821685791015625e+00
-2.589999914169311523e+00,-2.540920734405517578e+00
-7.799999713897705078e-01,-1.036952733993530273e+00
-3.000000000000000000e+00,-3.367163658142089844e+00
-2.563999891281127930e+00,-2.611023426055908203e+00
5.099999904632568359e-01,4.696369767189025879e-01
-1.240000009536743164e+00,-1.076851606369018555e+00
-4.030000209808349609e+00,-4.000972747802734375e+00
-2.460000038146972656e+00,-2.190720796585083008e+00
-2.890000104904174805e+00,-2.890261173248291016e+00
-4.559999942779541016e+00,-4.571733474731445312e+00
7.400000095367431641e-01,4.393379688262939453e-01
-4.570000171661376953e+00,-4.709026336669921875e+00
-4.889999866485595703e+00,-5.113549232482910156e+00
-3.390000104904174805e+00,-2.717905521392822266e+00
-2.420000076293945312e+00,-1.295938491821289062e+00
-2.199999988079071045e-01,1.397952437400817871e-01
-9.000000357627868652e-02,2.169002890586853027e-01
-3.079999923706054688e+00,-2.712223768234252930e+00
-3.099999904632568359e+00,-2.762257575988769531e+00
-1.710000038146972656e+00,-2.168886899948120117e+00
-4.110000133514404297e+00,-4.145695686340332031e+00
-7.699999809265136719e-01,-5.217021107673645020e-01
-8.229999542236328125e+00,-8.678438186645507812e+00
-3.170000076293945312e+00,-3.243752479553222656e+00
-5.751999855041503906e+00,-6.156838417053222656e+00
-6.299999952316284180e-01,-6.860452890396118164e-01
-3.450000047683715820e+00,-3.784538269042968750e+00
-5.190000057220458984e+00,-5.564065933227539062e+00
-2.099999904632568359e+00,-2.006002902984619141e+00
1.070000052452087402e+00,5.688310861587524414e-01
-9.999999776482582092e-03,1.023050546646118164e-01
-2.400000095367431641e+00,-1.991492748260498047e+00
-5.506999969482421875e+00,-5.381689071655273438e+00
-1.990000009536743164e+00,-1.846458196640014648e+00
-4.677999973297119141e+00,-5.510530471801757812e+00
-1.379999995231628418e+00,-1.066600203514099121e+00
-2.730000019073486328e+00,-2.634342193603515625e+00
-2.779999971389770508e+00,-2.096212863922119141e+00
-1.250000000000000000e+00,-8.606918454170227051e-01
-6.980000019073486328e+00,-6.609585285186767578e+00
-2.119999885559082031e+00,-1.923952579498291016e+00
9.599999785423278809e-01,5.528515577316284180e-01
-2.059999942779541016e+00,-2.147243261337280273e+00
-2.943000078201293945e+00,-2.661185503005981445e+00
-2.549999952316284180e+00,-2.751991271972656250e+00
-1.340000033378601074e+00,-1.373949050903320312e+00
-3.269999980926513672e+00,-3.559598684310913086e+00
-1.400000005960464478e-01,-1.854006499052047729e-01
-5.670000076293945312e+00,-5.449517250061035156e+00
6.399999856948852539e-01,4.642094373703002930e-01
-2.355999946594238281e+00,-2.492180824279785156e+00
-3.582999944686889648e+00,-2.314293622970581055e+00
2.800000011920928955e-01,6.959751248359680176e-02
-2.899999916553497314e-01,-1.639856845140457153e-01
-3.589999914169311523e+00,-3.788924932479858398e+00
-4.159999847412109375e+00,-3.550893783569335938e+00
1.100000023841857910e+00,7.361026406288146973e-01
-2.960000038146972656e+00,-3.186660528182983398e+00
-4.380000114440917969e+00,-3.727718353271484375e+00
-7.321000099182128906e+00,-7.686229228973388672e+00
-2.420000076293945312e+00,-1.916261196136474609e+00
-6.019999980926513672e+00,-5.730944156646728516e+00
-8.560000419616699219e+00,-8.558782577514648438e+00
-8.299999833106994629e-01,-1.053550243377685547e+00
-4.599999904632568359e+00,-4.761489868164062500e+00
-2.549999952316284180e+00,-2.521912097930908203e+00
-1.340000033378601074e+00,-1.174239397048950195e+00
-4.804999828338623047e+00,-4.700535297393798828e+00
-1.169999957084655762e+00,-1.457230091094970703e+00
-5.696000099182128906e+00,-4.865906238555908203e+00
-1.340000033378601074e+00,-1.673439741134643555e+00
-4.553999900817871094e+00,-3.639644622802734375e+00
-8.600000381469726562e+00,-8.062187194824218750e+00
-3.190000057220458984e+00,-3.190884113311767578e+00
-1.600000023841857910e+00,-1.329461336135864258e+00
-3.150000095367431641e+00,-3.119670391082763672e+00
5.999999865889549255e-02,6.257929801940917969e-01
-2.920000076293945312e+00,-2.610921382904052734e+00
-2.420000076293945312e+00,-2.459662675857543945e+00
-3.671999931335449219e+00,-3.275457143783569336e+00
-5.269999980926513672e+00,-5.233510017395019531e+00
-2.349999904632568359e+00,-2.035248279571533203e+00
-1.889999985694885254e+00,-2.094720125198364258e+00
-1.230000019073486328e+00,-1.101680994033813477e+00
-3.150000095367431641e+00,-3.536436080932617188e+00
-1.870000004768371582e+00,-2.068530082702636719e+00
-8.039999961853027344e+00,-7.381875991821289062e+00
-1.590000033378601074e+00,-1.747064590454101562e+00
-1.960000038146972656e+00,-1.999712467193603516e+00
-4.000000000000000000e+00,-3.743732690811157227e+00
-1.199999973177909851e-01,-1.554471254348754883e-01
-1.220000028610229492e+00,-1.264952898025512695e+00
-2.000000000000000000e+00,-1.655678033828735352e+00
4.799999892711639404e-01,4.959028959274291992e-01
-1.090000033378601074e+00,-1.088993787765502930e+00
7.149999737739562988e-01,9.527513384819030762e-02
-1.539999961853027344e+00,-1.506763935089111328e+00
-1.740000009536743164e+00,-2.130314826965332031e+00
-9.900000095367431641e-01,-6.215135455131530762e-01
-4.630000114440917969e+00,-4.767144680023193359e+00
-1.909999966621398926e+00,-2.100321054458618164e+00
-2.253000020980834961e+00,-1.913946390151977539e+00
-2.517999887466430664e+00,-2.956875562667846680e+00
