target,pred
-3.099999904632568359e+00,-3.170479536056518555e+00
-2.467999935150146484e+00,-2.169684886932373047e+00
-6.307000160217285156e+00,-6.735453605651855469e+00
-4.429999828338623047e+00,-3.317909717559814453e+00
-4.230000019073486328e+00,-3.786587476730346680e+00
-1.840000033378601074e+00,-1.873145341873168945e+00
-4.633999824523925781e+00,-3.855231523513793945e+00
-1.899000048637390137e+00,-1.684805870056152344e+00
-4.119999885559082031e+00,-3.595068931579589844e+00
-3.028000116348266602e+00,-2.429591178894042969e+00
-4.019999980926513672e+00,-4.182774543762207031e+00
-4.400000095367431641e+00,-4.254736900329589844e+00
-1.600000023841857910e+00,-9.176783561706542969e-01
-4.429999828338623047e+00,-5.114359855651855469e+00
-5.283999919891357422e+00,-5.347266197204589844e+00
-4.159999847412109375e+00,-2.670581579208374023e+00
-1.620000004768371582e+00,-2.447458267211914062e+00
-3.499000072479248047e+00,-4.451345443725585938e+00
-4.079999923706054688e+00,-4.381408691406250000e+00
-6.000000238418579102e-01,-4.704172909259796143e-01
-6.200000047683715820e-01,-4.740078747272491455e-01
-4.000000059604644775e-01,-3.947819769382476807e-01
-2.819999933242797852e+00,-2.280653953552246094e+00
-3.200000047683715820e+00,-3.289747476577758789e+00
-4.210000038146972656e+00,-4.386734962463378906e+00
-1.519999980926513672e+00,-1.955464839935302734e+00
-1.809999942779541016e+00,-1.667592287063598633e+00
-2.349999904632568359e+00,-1.567531228065490723e+00
-3.369999885559082031e+00,-2.590528726577758789e+00
-7.277999877929687500e+00,-7.868751525878906250e+00
-6.250000000000000000e+00,-6.251322746276855469e+00
-6.240000128746032715e-01,-1.702403545379638672e+00
-2.589999914169311523e+00,-2.710756540298461914e+00
-7.659999847412109375e+00,-7.894658088684082031e+00
-1.299999952316284180e+00,-2.113657951354980469e+00
-2.359999895095825195e+00,-1.555366992950439453e+00
-1.500000059604644775e-01,7.855148613452911377e-02
8.500000238418579102e-01,-6.083549559116363525e-02
5.799999833106994629e-01,2.870001792907714844e-01
-4.678999900817871094e+00,-4.415493965148925781e+00
-5.899999737739562988e-01,-3.764593303203582764e-01
9.399999976158142090e-01,1.810840070247650146e-01
-7.200000286102294922e-01,-7.788319587707519531e-01
-4.432000160217285156e+00,-4.393464088439941406e+00
-3.220000028610229492e+00,-2.977466106414794922e+00
-6.301000118255615234e+00,-4.965358734130859375e+00
-1.009999990463256836e+00,-5.246893167495727539e-01
-1.159999966621398926e+00,-1.298489570617675781e+00
-1.990000009536743164e+00,-2.179295539855957031e+00
-2.329999923706054688e+00,-1.268990516662597656e+00
-4.239999771118164062e+00,-3.962391614913940430e+00
-4.500000000000000000e+00,-4.115621566772460938e+00
-8.000000000000000000e+00,-7.538532257080078125e+00
-3.180000066757202148e+00,-2.194742441177368164e+00
-7.400000095367431641e-01,-1.515337347984313965e+00
-4.400000095367431641e+00,-4.642266273498535156e+00
-1.807000041007995605e+00,-1.960582017898559570e+00
-6.960000038146972656e+00,-5.730084419250488281e+00
-7.199999809265136719e+00,-6.901870727539062500e+00
1.019999980926513672e+00,8.721539378166198730e-02
-6.860000133514404297e+00,-6.663778305053710938e+00
-3.849999904632568359e+00,-3.234782457351684570e+00
-1.960000038146972656e+00,-2.178499460220336914e+00
-2.676000118255615234e+00,-2.009165287017822266e+00
-4.280000209808349609e+00,-4.497655868530273438e+00
-7.110000133514404297e+00,-6.706061363220214844e+00
-2.059999942779541016e+00,-2.421503782272338867e+00
-3.400000095367431641e+00,-3.748248815536499023e+00
-3.369999885559082031e+00,-2.555516481399536133e+00
-5.889999866485595703e+00,-5.714590072631835938e+00
-2.029999971389770508e+00,-1.910804510116577148e+00
-3.589999914169311523e+00,-3.595736980438232422e+00
-4.300000190734863281e+00,-3.767425775527954102e+00
-3.759999990463256836e+00,-3.671173810958862305e+00
-3.460000038146972656e+00,-2.773863077163696289e+00
-4.289999961853027344e+00,-4.235214233398437500e+00
-4.113999843597412109e+00,-4.135918617248535156e+00
-4.300000190734863281e+00,-4.239782333374023438e+00
-4.099999904632568359e+00,-4.009413719177246094e+00
-4.571000099182128906e+00,-4.219970703125000000e+00
-2.084000110626220703e+00,-2.053646087646484375e+00
-1.929999947547912598e+00,-2.613606452941894531e+00
-3.299999952316284180e+00,-3.196354866027832031e+00
-3.569999933242797852e+00,-4.236034393310546875e+00
-2.430000066757202148e+00,-2.102097988128662109e+00
-4.328000068664550781e+00,-3.538552522659301758e+00
1.580000042915344238e+00,3.403987288475036621e-01
-4.260000228881835938e+00,-3.461354970932006836e+00
-2.670000076293945312e+00,-2.003910541534423828e+00
-5.280000209808349609e+00,-5.348797798156738281e+00
-7.250000000000000000e+00,-6.966737747192382812e+00
-3.536000013351440430e+00,-2.904527187347412109e+00
-1.600999951362609863e+00,-2.966190576553344727e+00
0.000000000000000000e+00,2.637730538845062256e-01
-4.314000129699707031e+00,-3.513149976730346680e+00
-2.589999914169311523e+00,-2.327464580535888672e+00
-7.799999713897705078e-01,-7.415128946304321289e-01
-3.000000000000000000e+00,-3.357189416885375977e+00
-2.563999891281127930e+00,-2.762281656265258789e+00
5.099999904632568359e-01,-6.519917845726013184e-01
-1.240000009536743164e+00,-1.088641643524169922e+00
-4.030000209808349609e+00,-3.271344900131225586e+00
-2.460000038146972656e+00,-1.876600623130798340e+00
-2.890000104904174805e+00,-2.553552150726318359e+00
-4.559999942779541016e+00,-3.437057733535766602e+00
7.400000095367431641e-01,3.842712640762329102e-01
-4.570000171661376953e+00,-3.854824781417846680e+00
-4.889999866485595703e+00,-4.430871009826660156e+00
-3.390000104904174805e+00,-2.269660472869873047e+00
-2.420000076293945312e+00,-1.308044672012329102e+00
-2.199999988079071045e-01,-6.847248971462249756e-02
-9.000000357627868652e-02,2.692115604877471924e-01
-3.079999923706054688e+00,-2.372179985046386719e+00
-3.099999904632568359e+00,-1.903092622756958008e+00
-1.710000038146972656e+00,-2.123998880386352539e+00
-4.110000133514404297e+00,-3.695125341415405273e+00
-7.699999809265136719e-01,1.741216480731964111e-01
-8.229999542236328125e+00,-7.549010276794433594e+00
-3.170000076293945312e+00,-2.373530626296997070e+00
-5.751999855041503906e+00,-5.276573181152343750e+00
-6.299999952316284180e-01,-1.447189748287200928e-01
-3.450000047683715820e+00,-4.101367473602294922e+00
-5.190000057220458984e+00,-4.798281669616699219e+00
-2.099999904632568359e+00,-1.667701005935668945e+00
1.070000052452087402e+00,2.133316993713378906e-01
-9.999999776482582092e-03,2.497805655002593994e-02
-2.400000095367431641e+00,-1.476338148117065430e+00
-5.506999969482421875e+00,-4.660177230834960938e+00
-1.990000009536743164e+00,-2.308051824569702148e+00
-4.677999973297119141e+00,-4.520170211791992188e+00
-1.379999995231628418e+00,-1.436989665031433105e+00
-2.730000019073486328e+00,-2.154635429382324219e+00
-2.779999971389770508e+00,-1.812803983688354492e+00
-1.250000000000000000e+00,-4.505687057971954346e-01
-6.980000019073486328e+00,-5.279305458068847656e+00
-2.119999885559082031e+00,-1.746164917945861816e+00
9.599999785423278809e-01,2.827094197273254395e-01
-2.059999942779541016e+00,-2.005213260650634766e+00
-2.943000078201293945e+00,-1.723739147186279297e+00
-2.549999952316284180e+00,-2.319620370864868164e+00
-1.340000033378601074e+00,-1.532477617263793945e+00
-3.269999980926513672e+00,-2.809093713760375977e+00
-1.400000005960464478e-01,-6.310786306858062744e-02
-5.670000076293945312e+00,-4.582878112792968750e+00
6.399999856948852539e-01,3.664820790290832520e-01
-2.355999946594238281e+00,-2.310625314712524414e+00
-3.582999944686889648e+00,-2.309663772583007812e+00
2.800000011920928955e-01,-1.021948456764221191e-02
-2.899999916553497314e-01,-4.793979823589324951e-01
-3.589999914169311523e+00,-3.341259241104125977e+00
-4.159999847412109375e+00,-2.876896858215332031e+00
1.100000023841857910e+00,3.867751359939575195e-01
-2.960000038146972656e+00,-2.559331655502319336e+00
-4.380000114440917969e+00,-5.069432258605957031e+00
-7.321000099182128906e+00,-6.212529182434082031e+00
-2.420000076293945312e+00,-2.324307918548583984e+00
-6.019999980926513672e+00,-4.528524398803710938e+00
-8.560000419616699219e+00,-7.791504859924316406e+00
-8.299999833106994629e-01,-1.528346061706542969e+00
-4.599999904632568359e+00,-3.971553087234497070e+00
-2.549999952316284180e+00,-2.045931816101074219e+00
-1.340000033378601074e+00,-1.129185080528259277e+00
-4.804999828338623047e+00,-4.241933822631835938e+00
-1.169999957084655762e+00,-1.470097303390502930e+00
-5.696000099182128906e+00,-4.378099441528320312e+00
-1.340000033378601074e+00,-9.960831403732299805e-01
-4.553999900817871094e+00,-4.081383705139160156e+00
-8.600000381469726562e+00,-7.724808692932128906e+00
-3.190000057220458984e+00,-2.789637565612792969e+00
-1.600000023841857910e+00,-1.689850091934204102e+00
-3.150000095367431641e+00,-3.598008871078491211e+00
5.999999865889549255e-02,3.856116235256195068e-01
-2.920000076293945312e+00,-2.489416837692260742e+00
-2.420000076293945312e+00,-2.237300157546997070e+00
-3.671999931335449219e+00,-2.736136674880981445e+00
-5.269999980926513672e+00,-5.777702331542968750e+00
-2.349999904632568359e+00,-1.883120059967041016e+00
-1.889999985694885254e+00,-1.550446033477783203e+00
-1.230000019073486328e+00,-1.248798131942749023e+00
-3.150000095367431641e+00,-3.239390134811401367e+00
-1.870000004768371582e+00,-1.574421405792236328e+00
-8.039999961853027344e+00,-5.948580741882324219e+00
-1.590000033378601074e+00,-1.604522705078125000e+00
-1.960000038146972656e+00,-1.914868235588073730e+00
-4.000000000000000000e+00,-3.053414583206176758e+00
-1.199999973177909851e-01,-1.939250528812408447e-01
-1.220000028610229492e+00,-1.251799821853637695e+00
-2.000000000000000000e+00,-1.690149307250976562e+00
4.799999892711639404e-01,3.843786120414733887e-01
-1.090000033378601074e+00,-1.609935045242309570e+00
7.149999737739562988e-01,-1.703491210937500000e+00
-1.539999961853027344e+00,-1.561983346939086914e+00
-1.740000009536743164e+00,-3.020609140396118164e+00
-9.900000095367431641e-01,-4.091589748859405518e-01
-4.630000114440917969e+00,-3.695985794067382812e+00
-1.909999966621398926e+00,-2.259392738342285156e+00
-2.253000020980834961e+00,-1.572694659233093262e+00
-2.517999887466430664e+00,-2.696695566177368164e+00
-7.420000076293945312e+00,-7.628073692321777344e+00
-2.509999990463256836e+00,-1.771293878555297852e+00
-2.217999935150146484e+00,-2.428622007369995117e+00
-6.780000209808349609e+00,-6.285904884338378906e+00
-2.296000003814697266e+00,-1.722964286804199219e+00
-6.176000118255615234e+00,-6.362779617309570312e+00
-1.360000014305114746e+00,-9.382254481315612793e-01
-2.617000102996826172e+00,-3.592195272445678711e+00
-6.800000071525573730e-01,-8.785366415977478027e-01
-2.680000066757202148e+00,-2.112267255783081055e+00
-4.690000057220458984e+00,-4.516262054443359375e+00
-1.740000009536743164e+00,-1.612741708755493164e+00
-3.359999895095825195e+00,-3.688259363174438477e+00
-1.059999942779541016e+00,-1.436758279800415039e+00
-3.927999973297119141e+00,-3.866515398025512695e+00
-2.766000032424926758e+00,-2.075131654739379883e+00
-4.369999885559082031e+00,-3.748119592666625977e+00
-2.230000019073486328e+00,-2.690938472747802734e+00
-1.960000038146972656e+00,-1.426514387130737305e+00
-5.239999771118164062e+00,-4.680513381958007812e+00
-2.927999973297119141e+00,-2.842828035354614258e+00
-5.639999866485595703e+00,-6.228661537170410156e+00
-3.684999942779541016e+00,-3.294863939285278320e+00
-6.570000171661376953e+00,-6.224116325378417969e+00
-3.999000072479248047e+00,-4.580235481262207031e+00
-4.861999988555908203e+00,-3.466736316680908203e+00
-2.581000089645385742e+00,-2.033284902572631836e+00
-6.600000262260437012e-01,-3.136392533779144287e-01
-3.420000076293945312e+00,-2.703508615493774414e+00
-2.859999895095825195e+00,-2.440759420394897461e+00
-8.600000381469726562e+00,-7.103331565856933594e+00
-9.599999785423278809e-01,-2.965403199195861816e-01
-4.469999790191650391e+00,-3.819608926773071289e+00
-6.999999880790710449e-01,-5.365340709686279297e-01
-1.480000019073486328e+00,-9.425182342529296875e-01
-4.699999809265136719e+00,-4.079765319824218750e+00
-5.736000061035156250e+00,-5.448220252990722656e+00
-1.970000028610229492e+00,-1.286019563674926758e+00
-3.171000003814697266e+00,-2.970560073852539062e+00
-4.699999809265136719e+00,-4.768718719482421875e+00
-1.169999957084655762e+00,-1.132449865341186523e+00
-4.070000171661376953e+00,-3.504534482955932617e+00
5.799999833106994629e-01,2.846042513847351074e-01
-3.039999961853027344e+00,-2.505151033401489258e+00
-5.099999904632568359e-01,-1.115810126066207886e-01
-1.370000004768371582e+00,-1.897642850875854492e+00
-1.980999946594238281e+00,-3.065369129180908203e+00
-2.089999914169311523e+00,-2.002386569976806641e+00
-7.849999904632568359e+00,-7.162649154663085938e+00
-3.009999990463256836e+00,-2.597080469131469727e+00
-2.680000066757202148e+00,-2.290959119796752930e+00
-5.269999980926513672e+00,-5.579965591430664062e+00
-3.670000076293945312e+00,-3.296938657760620117e+00
1.144000053405761719e+00,-2.246209383010864258e+00
-6.010000228881835938e+00,-6.915261268615722656e+00
-4.949999809265136719e+00,-4.759840011596679688e+00
-3.769999980926513672e+00,-3.844606876373291016e+00
-1.661000013351440430e+00,-1.996577262878417969e+00
-1.950000047683715820e+00,-1.316647291183471680e+00
-2.349999904632568359e+00,-1.886054754257202148e+00
-1.799999952316284180e+00,-1.215512752532958984e+00
