target,pred
-3.099999904632568359e+00,-4.073404312133789062e+00
-2.467999935150146484e+00,-2.381848335266113281e+00
-6.307000160217285156e+00,-6.922833442687988281e+00
-4.429999828338623047e+00,-3.793495178222656250e+00
-4.230000019073486328e+00,-4.108120918273925781e+00
-1.840000033378601074e+00,-1.639989018440246582e+00
-4.633999824523925781e+00,-4.324184417724609375e+00
-1.899000048637390137e+00,-2.040295124053955078e+00
-4.119999885559082031e+00,-4.103360652923583984e+00
-3.028000116348266602e+00,-3.265815258026123047e+00
-4.019999980926513672e+00,-4.427810192108154297e+00
-4.400000095367431641e+00,-4.616246223449707031e+00
-1.600000023841857910e+00,-1.641835689544677734e+00
-4.429999828338623047e+00,-5.085610389709472656e+00
-5.283999919891357422e+00,-5.132028102874755859e+00
-4.159999847412109375e+00,-3.575289726257324219e+00
-1.620000004768371582e+00,-2.656596660614013672e+00
-3.499000072479248047e+00,-4.347104072570800781e+00
-4.079999923706054688e+00,-4.977781772613525391e+00
-6.000000238418579102e-01,-4.048065543174743652e-01
-6.200000047683715820e-01,-3.048557043075561523e-01
-4.000000059604644775e-01,-5.099912881851196289e-01
-2.819999933242797852e+00,-3.147207260131835938e+00
-3.200000047683715820e+00,-3.574458599090576172e+00
-4.210000038146972656e+00,-4.202115535736083984e+00
-1.519999980926513672e+00,-2.053850650787353516e+00
-1.809999942779541016e+00,-1.618201136589050293e+00
-2.349999904632568359e+00,-1.936187982559204102e+00
-3.369999885559082031e+00,-3.765482902526855469e+00
-7.277999877929687500e+00,-8.372588157653808594e+00
-6.250000000000000000e+00,-6.658246040344238281e+00
-6.240000128746032715e-01,-1.286125779151916504e+00
-2.589999914169311523e+00,-3.133027553558349609e+00
-7.659999847412109375e+00,-8.328329086303710938e+00
-1.299999952316284180e+00,-2.435611724853515625e+00
-2.359999895095825195e+00,-2.752866268157958984e+00
-1.500000059604644775e-01,-5.652490258216857910e-02
8.500000238418579102e-01,3.267861604690551758e-01
5.799999833106994629e-01,3.310730755329132080e-01
-4.678999900817871094e+00,-4.525730133056640625e+00
-5.899999737739562988e-01,-6.328122019767761230e-01
9.399999976158142090e-01,3.932756185531616211e-01
-7.200000286102294922e-01,-6.507866382598876953e-01
-4.432000160217285156e+00,-4.975506782531738281e+00
-3.220000028610229492e+00,-3.168042182922363281e+00
-6.301000118255615234e+00,-5.831878662109375000e+00
-1.009999990463256836e+00,-6.633388996124267578e-01
-1.159999966621398926e+00,-1.703834176063537598e+00
-1.990000009536743164e+00,-2.077810287475585938e+00
-2.329999923706054688e+00,-1.462656974792480469e+00
-4.239999771118164062e+00,-3.941195964813232422e+00
-4.500000000000000000e+00,-5.351765155792236328e+00
-8.000000000000000000e+00,-8.055696487426757812e+00
-3.180000066757202148e+00,-2.612421512603759766e+00
-7.400000095367431641e-01,-1.747336864471435547e+00
-4.400000095367431641e+00,-4.841624736785888672e+00
-1.807000041007995605e+00,-2.631002426147460938e+00
-6.960000038146972656e+00,-6.367202281951904297e+00
-7.199999809265136719e+00,-6.944244384765625000e+00
1.019999980926513672e+00,4.135989844799041748e-01
-6.860000133514404297e+00,-7.271829605102539062e+00
-3.849999904632568359e+00,-4.064086437225341797e+00
-1.960000038146972656e+00,-2.612060070037841797e+00
-2.676000118255615234e+00,-2.643404006958007812e+00
-4.280000209808349609e+00,-5.125292301177978516e+00
-7.110000133514404297e+00,-7.756573677062988281e+00
-2.059999942779541016e+00,-2.704058647155761719e+00
-3.400000095367431641e+00,-3.966007232666015625e+00
-3.369999885559082031e+00,-3.613133430480957031e+00
-5.889999866485595703e+00,-6.368303298950195312e+00
-2.029999971389770508e+00,-2.157651901245117188e+00
-3.589999914169311523e+00,-4.423590660095214844e+00
-4.300000190734863281e+00,-4.179094314575195312e+00
-3.759999990463256836e+00,-4.031865596771240234e+00
-3.460000038146972656e+00,-3.185217380523681641e+00
-4.289999961853027344e+00,-4.389657497406005859e+00
-4.113999843597412109e+00,-4.345591545104980469e+00
-4.300000190734863281e+00,-4.784829139709472656e+00
-4.099999904632568359e+00,-4.495131492614746094e+00
-4.571000099182128906e+00,-4.539334774017333984e+00
-2.084000110626220703e+00,-2.703125000000000000e+00
-1.929999947547912598e+00,-3.057502746582031250e+00
-3.299999952316284180e+00,-3.133430480957031250e+00
-3.569999933242797852e+00,-4.058711528778076172e+00
-2.430000066757202148e+00,-2.088973045349121094e+00
-4.328000068664550781e+00,-4.227608203887939453e+00
1.580000042915344238e+00,4.077873229980468750e-01
-4.260000228881835938e+00,-3.947371482849121094e+00
-2.670000076293945312e+00,-2.120998382568359375e+00
-5.280000209808349609e+00,-6.001843452453613281e+00
-7.250000000000000000e+00,-7.523543834686279297e+00
-3.536000013351440430e+00,-3.050242900848388672e+00
-1.600999951362609863e+00,-3.000372886657714844e+00
0.000000000000000000e+00,1.561072468757629395e-02
-4.314000129699707031e+00,-3.804845809936523438e+00
-2.589999914169311523e+00,-2.879157066345214844e+00
-7.799999713897705078e-01,-1.842201352119445801e+00
-3.000000000000000000e+00,-3.580307960510253906e+00
-2.563999891281127930e+00,-2.872555255889892578e+00
5.099999904632568359e-01,1.984034478664398193e-01
-1.240000009536743164e+00,-1.076778292655944824e+00
-4.030000209808349609e+00,-3.710956096649169922e+00
-2.460000038146972656e+00,-2.290293693542480469e+00
-2.890000104904174805e+00,-2.697622776031494141e+00
-4.559999942779541016e+00,-3.955805301666259766e+00
7.400000095367431641e-01,3.478165864944458008e-01
-4.570000171661376953e+00,-3.869877338409423828e+00
-4.889999866485595703e+00,-4.529379367828369141e+00
-3.390000104904174805e+00,-2.915502548217773438e+00
-2.420000076293945312e+00,-1.529461264610290527e+00
-2.199999988079071045e-01,-8.949232101440429688e-02
-9.000000357627868652e-02,4.445916414260864258e-02
-3.079999923706054688e+00,-2.731180191040039062e+00
-3.099999904632568359e+00,-2.652383327484130859e+00
-1.710000038146972656e+00,-2.065333843231201172e+00
-4.110000133514404297e+00,-3.843963623046875000e+00
-7.699999809265136719e-01,6.698624789714813232e-02
-8.229999542236328125e+00,-8.033634185791015625e+00
-3.170000076293945312e+00,-2.609364509582519531e+00
-5.751999855041503906e+00,-6.402143478393554688e+00
-6.299999952316284180e-01,-4.420369863510131836e-02
-3.450000047683715820e+00,-4.456244468688964844e+00
-5.190000057220458984e+00,-4.692647933959960938e+00
-2.099999904632568359e+00,-1.979542374610900879e+00
1.070000052452087402e+00,4.070014953613281250e-01
-9.999999776482582092e-03,-6.566102802753448486e-02
-2.400000095367431641e+00,-1.770893454551696777e+00
-5.506999969482421875e+00,-4.853416919708251953e+00
-1.990000009536743164e+00,-2.424472332000732422e+00
-4.677999973297119141e+00,-5.244521617889404297e+00
-1.379999995231628418e+00,-1.318257808685302734e+00
-2.730000019073486328e+00,-2.617316246032714844e+00
-2.779999971389770508e+00,-2.291048526763916016e+00
-1.250000000000000000e+00,-1.049277901649475098e+00
-6.980000019073486328e+00,-6.887823104858398438e+00
-2.119999885559082031e+00,-1.760200977325439453e+00
9.599999785423278809e-01,3.479782938957214355e-01
-2.059999942779541016e+00,-2.154314041137695312e+00
-2.943000078201293945e+00,-2.323276996612548828e+00
-2.549999952316284180e+00,-2.823842525482177734e+00
-1.340000033378601074e+00,-1.617015719413757324e+00
-3.269999980926513672e+00,-3.213392257690429688e+00
-1.400000005960464478e-01,-5.685265362262725830e-02
-5.670000076293945312e+00,-4.961034297943115234e+00
6.399999856948852539e-01,3.618391156196594238e-01
-2.355999946594238281e+00,-2.603660106658935547e+00
-3.582999944686889648e+00,-2.531886577606201172e+00
2.800000011920928955e-01,-1.885858178138732910e-02
-2.899999916553497314e-01,-3.150936365127563477e-01
-3.589999914169311523e+00,-4.040688991546630859e+00
-4.159999847412109375e+00,-3.557468414306640625e+00
1.100000023841857910e+00,4.080822169780731201e-01
-2.960000038146972656e+00,-3.176612377166748047e+00
-4.380000114440917969e+00,-4.578880786895751953e+00
-7.321000099182128906e+00,-7.187155723571777344e+00
-2.420000076293945312e+00,-2.788187980651855469e+00
-6.019999980926513672e+00,-4.860644340515136719e+00
-8.560000419616699219e+00,-8.250255584716796875e+00
-8.299999833106994629e-01,-1.428457617759704590e+00
-4.599999904632568359e+00,-3.972778320312500000e+00
-2.549999952316284180e+00,-2.110528469085693359e+00
-1.340000033378601074e+00,-1.350425004959106445e+00
-4.804999828338623047e+00,-4.782482624053955078e+00
-1.169999957084655762e+00,-9.125802516937255859e-01
-5.696000099182128906e+00,-4.625628948211669922e+00
-1.340000033378601074e+00,-1.499529957771301270e+00
-4.553999900817871094e+00,-4.263881206512451172e+00
-8.600000381469726562e+00,-7.999016284942626953e+00
-3.190000057220458984e+00,-3.186241149902343750e+00
-1.600000023841857910e+00,-1.937918305397033691e+00
-3.150000095367431641e+00,-3.969236373901367188e+00
5.999999865889549255e-02,3.932966291904449463e-01
-2.920000076293945312e+00,-2.696216106414794922e+00
-2.420000076293945312e+00,-2.356453418731689453e+00
-3.671999931335449219e+00,-3.440475463867187500e+00
-5.269999980926513672e+00,-5.196365356445312500e+00
-2.349999904632568359e+00,-2.047266006469726562e+00
-1.889999985694885254e+00,-1.832104802131652832e+00
-1.230000019073486328e+00,-1.377466559410095215e+00
-3.150000095367431641e+00,-3.604074001312255859e+00
-1.870000004768371582e+00,-1.885114669799804688e+00
-8.039999961853027344e+00,-7.193889141082763672e+00
-1.590000033378601074e+00,-1.722022891044616699e+00
-1.960000038146972656e+00,-2.141026496887207031e+00
-4.000000000000000000e+00,-3.450668811798095703e+00
-1.199999973177909851e-01,-1.822901666164398193e-01
-1.220000028610229492e+00,-1.023500204086303711e+00
-2.000000000000000000e+00,-1.554886698722839355e+00
4.799999892711639404e-01,3.601884543895721436e-01
-1.090000033378601074e+00,-1.600445866584777832e+00
7.149999737739562988e-01,-3.160551488399505615e-01
-1.539999961853027344e+00,-1.441540122032165527e+00
-1.740000009536743164e+00,-3.046694278717041016e+00
-9.900000095367431641e-01,-9.044489264488220215e-01
-4.630000114440917969e+00,-4.126933097839355469e+00
-1.909999966621398926e+00,-1.747582435607910156e+00
-2.253000020980834961e+00,-1.514703631401062012e+00
-2.517999887466430664e+00,-3.202188491821289062e+00
-7.420000076293945312e+00,-7.888726711273193359e+00
-2.509999990463256836e+00,-2.454398155212402344e+00
-2.217999935150146484e+00,-2.587714195251464844e+00
-6.780000209808349609e+00,-6.447275638580322266e+00
-2.296000003814697266e+00,-1.933868765830993652e+00
-6.176000118255615234e+00,-7.077239036560058594e+00
-1.360000014305114746e+00,-1.388327836990356445e+00
-2.617000102996826172e+00,-3.620358943939208984e+00
-6.800000071525573730e-01,-6.560255289077758789e-01
-2.680000066757202148e+00,-2.282424449920654297e+00
-4.690000057220458984e+00,-5.710078239440917969e+00
-1.740000009536743164e+00,-1.915434002876281738e+00
-3.359999895095825195e+00,-3.860129833221435547e+00
-1.059999942779541016e+00,-1.528756976127624512e+00
-3.927999973297119141e+00,-3.887453556060791016e+00
-2.766000032424926758e+00,-2.303368568420410156e+00
-4.369999885559082031e+00,-4.350795745849609375e+00
-2.230000019073486328e+00,-3.117439746856689453e+00
-1.960000038146972656e+00,-1.706754803657531738e+00
-5.239999771118164062e+00,-5.008007049560546875e+00
-2.927999973297119141e+00,-3.345678329467773438e+00
-5.639999866485595703e+00,-6.889883041381835938e+00
-3.684999942779541016e+00,-3.471227645874023438e+00
-6.570000171661376953e+00,-6.814385414123535156e+00
-3.999000072479248047e+00,-4.736188888549804688e+00
-4.861999988555908203e+00,-3.415301799774169922e+00
-2.581000089645385742e+00,-2.144568920135498047e+00
-6.600000262260437012e-01,-7.554512023925781250e-01
-3.420000076293945312e+00,-3.363709449768066406e+00
-2.859999895095825195e+00,-2.796861648559570312e+00
-8.600000381469726562e+00,-7.678251266479492188e+00
-9.599999785423278809e-01,-4.860633015632629395e-01
-4.469999790191650391e+00,-4.177995681762695312e+00
-6.999999880790710449e-01,-6.067018508911132812e-01
-1.480000019073486328e+00,-1.190429091453552246e+00
-4.699999809265136719e+00,-4.247762203216552734e+00
-5.736000061035156250e+00,-5.956675529479980469e+00
-1.970000028610229492e+00,-1.284324049949645996e+00
-3.171000003814697266e+00,-3.158247947692871094e+00
-4.699999809265136719e+00,-5.405632972717285156e+00
-1.169999957084655762e+00,-9.310610294342041016e-01
-4.070000171661376953e+00,-3.681673049926757812e+00
5.799999833106994629e-01,3.413347601890563965e-01
-3.039999961853027344e+00,-3.018305778503417969e+00
-5.099999904632568359e-01,-2.380612194538116455e-01
-1.370000004768371582e+00,-1.888340830802917480e+00
-1.980999946594238281e+00,-3.655471324920654297e+00
-2.089999914169311523e+00,-2.106974601745605469e+00
-7.849999904632568359e+00,-7.696244716644287109e+00
-3.009999990463256836e+00,-3.134424209594726562e+00
-2.680000066757202148e+00,-2.640440464019775391e+00
-5.269999980926513672e+00,-6.123849868774414062e+00
-3.670000076293945312e+00,-3.694778442382812500e+00
1.144000053405761719e+00,-6.306433081626892090e-01
-6.010000228881835938e+00,-5.768581390380859375e+00
-4.949999809265136719e+00,-4.683704853057861328e+00
-3.769999980926513672e+00,-4.073846817016601562e+00
-1.661000013351440430e+00,-2.270719051361083984e+00
-1.950000047683715820e+00,-1.395950436592102051e+00
-2.349999904632568359e+00,-2.140800476074218750e+00
-1.799999952316284180e+00,-1.050810575485229492e+00
-1.899999976158142090e-01,-1.533040255308151245e-01
-3.660000085830688477e+00,-4.356325149536132812e+00
-1.654999971389770508e+00,-1.665206551551818848e+00
-3.380000114440917969e+00,-3.425461769104003906e+00
-3.849999904632568359e+00,-3.584854125976562500e+00
-3.609999895095825195e+00,-3.833606243133544922e+00
-2.680000066757202148e+00,-3.497577667236328125e+00
-5.349999904632568359e+00,-5.124317646026611328e+00
-4.739999771118164062e+00,-4.419607639312744141e+00
-3.390000104904174805e+00,-3.054752826690673828e+00
-3.180000066757202148e+00,-3.707824707031250000e+00
-4.170000076293945312e+00,-4.410706520080566406e+00
-1.827000021934509277e+00,-1.615436553955078125e+00
-8.899999856948852539e-01,-8.801171779632568359e-01
-2.076999902725219727e+00,-2.227496623992919922e+00
-7.869999885559082031e+00,-8.264122962951660156e+00
1.500000059604644775e-01,-5.092680454254150391e-02
-9.331999778747558594e+00,-8.440179824829101562e+00
-2.842999935150146484e+00,-2.269971847534179688e+00
